id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"154167371","Cardiff","Commercial Development","Harriet Street, Cathays","£150,000","Offers in Excess of","2","1","","","","","","An investment opportunity in the heart of Cathays, a busy vibrant area with an array of amenities, shops and within easy reach to the City Centre and Cardiff University.","https://www.rightmove.co.uk/properties/154167371#/?channel=COM_BUY","2024-10-24T15:58:17Z","","price_reduced","Marketed by CPS Homes, Cardiff","","51.491154","-3.17746","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_13_0000_max_476x317.jpeg"
"154167371","Cardiff","Commercial Development","Harriet Street, Cathays","£150,000","Offers in Excess of","2","1","","","","","","An investment opportunity in the heart of Cathays, a busy vibrant area with an array of amenities, shops and within easy reach to the City Centre and Cardiff University.","https://www.rightmove.co.uk/properties/154167371#/?channel=COM_BUY","2024-10-24T15:58:17Z","","price_reduced","Marketed by CPS Homes, Cardiff","","51.491154","-3.17746","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58239/154167371/58239_10535094_IMG_13_0000_max_476x317.jpeg"
"721765649652401","Cardiff","Retail Property (high street)","87 Queen Street & 2A Park Place, Cardiff CF10 2BE","£1,760,000","Offers in Excess of","","","8,973 sq. ft.","8973","8973","834","834","Prominent corner position with return frontage onto Park Place, directly opposite Next and in close proximity to Marks & Spencer, Sports Direct, and WHSmith.","https://www.rightmove.co.uk/properties/721765649652401#/?channel=COM_BUY","2025-11-27T16:54:02Z","","new","Marketed by Green & Partners LLP, London","","51.482573","-3.174553","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281132/721765649652401/281132_87QueenStreetCosta_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281132/721765649652401/281132_87QueenStreetCosta_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281132/721765649652401/281132_87QueenStreetCosta_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281132/721765649652401/281132_87QueenStreetCosta_IMG_03_0000_max_476x317.jpeg"
"169779743","Cardiff","Office","Unit, R2 Capital Business Park, Parkway, CF3 2PU ","£250,000","","","","1,684 sq. ft.","1684","1684","156","156","The property forms part of a 2 storey purpose built hybrid block, with the ground floor comprising office space and warehouse with roller shuttered access. There is also additional office space to the first floor. The office accommodation benefits from suspended ceilings, spot/category 5 lighti...","https://www.rightmove.co.uk/properties/169779743#/?channel=COM_BUY","2025-11-27T13:18:01Z","","new","Marketed by MGY, Cardiff","","51.504885","-3.11121","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/8k/7979/169779743/7979_101298031701_IMG_13_0000_max_476x317.jpeg"
"169639166","Cardiff","Warehouse","Wroughton Place, Ely, Cardiff, CF5 4AB","POA","","","","14,856 sq. ft.","14856","14856","1380","1380","An Industrial unit with a secure compound benefitting from excellent frontage on to Cowbridge Road West. (Freehold or Leasehold)","https://www.rightmove.co.uk/properties/169639166#/?channel=COM_BUY","2025-11-24T10:18:54Z","","new","Marketed by JLL, Cardiff - Industrial","","51.484243","-3.232477","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/169639166/291635_338154-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/169639166/291635_338154-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/169639166/291635_338154-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/169639166/291635_338154-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/169639166/291635_338154-1_IMG_04_0000_max_476x317.jpeg"
"161199950","Cardiff","Plot","Caer Wenallt, Rhiwbina, Cardiff","£195,000","","","","","","","","","*****PLOT OF LAND WITH FULL PLANNING PERMISSION FOR A 4 BEDROOM DETACHED DWELLING*****","https://www.rightmove.co.uk/properties/161199950#/?channel=COM_BUY","2025-04-28T10:07:51Z","","new","Marketed by Thomas H Wood, Whitchurch","","51.530445","-3.230102","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42572/161199950/42572_33842608_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42572/161199950/42572_33842608_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42572/161199950/42572_33842608_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42572/161199950/42572_33842608_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42572/161199950/42572_33842608_IMG_04_0000_max_476x317.jpeg"
"169561202","Cardiff","Land","Land lying to the North West of, Parkstone Avenue, Old St Mellons, Cardiff, CF3 5TY","£30,000","Guide Price","","","","","","","","FOR SALE BY PUBLIC AUCTION: The auction will take place online on 9th December 2025 at 05:06 PM with registration through our website.","https://www.rightmove.co.uk/properties/169561202#/?channel=COM_BUY","2025-11-21T09:56:32Z","","new","Marketed by Seel & Co Ltd, Cardiff - Auctions","","51.528301","-3.108266","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138296/169561202/138296_317890_IMG_09_0000_max_476x317.jpeg"
"169457126","Cardiff","Mixed Use","Whitchurch Road, Heath, Cardiff, CF14","£900,000","","","","","","","","","Great investor opportunity to own a mixed use property, consisting of 4 x residential apartments and 2 x commercial units. The development also comes with two garages to the rear. All units are currently occupied with a gross yield of 7%. ","https://www.rightmove.co.uk/properties/169457126#/?channel=COM_BUY","2025-11-18T16:22:45Z","","new","Marketed by Belvoir, Cardiff","","51.50272","-3.19057","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127654/169457126/127654_P2180_IMG_12_0000_max_476x317.jpeg"
"720137901199281","Cardiff","Distribution Warehouse","Unit 20 Ely Distribution Centre, Cardiff, CF5 5NJ","£650,000","Offers Over","","","10,399 sq. ft.","10399","10399","966","966","For Sale: Industrial unit in a well established trading location","https://www.rightmove.co.uk/properties/720137901199281#/?channel=COM_BUY","2025-11-18T09:42:02Z","","new","Marketed by Cooke & Arkwright Limited, Industrial Agency","","51.472816","-3.236735","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250439/720137901199281/250439_337158-1_IMG_05_0000_max_476x317.jpeg"
"169367522","Cardiff","Restaurant","Pearl Street, Cardiff","£230,000","","","","","","","","","A mixed-use freehold end of terrace property for sale with vacant possession and with no chain. Consisting of a ground floor commercial unit with a long history as a Chinese takeaway and a first floor apartment with its own private access.","https://www.rightmove.co.uk/properties/169367522#/?channel=COM_BUY","2025-11-15T00:24:39Z","","new","Marketed by David's Homes, Cardiff","","51.4866","-3.15255","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288425/169367522/288425_CS0338_IMG_24_0001_max_476x317.jpeg"
"169309943","Cardiff","Office","50 Cathedral Road, Cardiff, CF11 9LL","POA","","","","2,834 sq. ft.","2834","2834","263","263","The property occupies an excellent position fronting Cathedral Road, Cardiff, an established professional location just north of Cardiff city centre. The property comprises a self-contained 3 storey semi-detached office building. The property is also suitable for change of use, subject to planning.","https://www.rightmove.co.uk/properties/169309943#/?channel=COM_BUY","2025-11-13T15:20:01Z","","new","Marketed by Emanuel Jones LLP, Cardiff","","51.48543","-3.19343","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f9ffee531/169309943/f9ffee531390c11a42e3cd5a94369ee9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2d9b099be/169309943/2d9b099becc062ee26027f9e4ffab6dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e4ab5e6b9/169309943/e4ab5e6b9ca884c6ae16a52285f9b63f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1457378c9/169309943/1457378c9ed54deb6b1cef1f7ac81f58_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f0cdb4e5b/169309943/f0cdb4e5b966e45da84afdbeccd01e4b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/94aa3db06/169309943/94aa3db06df953d554186f714b2069c6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/31782f731/169309943/31782f731095a6420b13aae7e9edafb5_max_476x317.jpeg"
"169279280","Cardiff","Commercial Property","Newport Road, CF3","£500,000","","2","","","","","","","A fabulous converted Baptist Chapel in a village situated on the A48 between Newport and Cardiff with parking outside. The premises has to be fully appreciated but comprises the main hall with a mezzanine level used as a board room. ","https://www.rightmove.co.uk/properties/169279280#/?channel=COM_BUY","2025-11-13T10:00:26Z","","new","Marketed by Richard Hayward Properties, Cardiff","","51.54407","-3.08003","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/222k/221489/169279280/221489_CasteltonBaptistChapelNewport_IMG_22_0000_max_476x317.jpeg"
