id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"144434711","Monmouthshire","Retail Property (high street)","St Mary Street, Chepstow, Monmouthshire, NP16","£480,000","Offers in Excess of","","","","","","","","A unique opportunity to purchase a substantial Grade II Listed commercial property set within the heart of the historic town of Chepstow.","https://www.rightmove.co.uk/properties/144434711#/?channel=COM_BUY","2024-02-06T15:31:36Z","","price_reduced","Marketed by David James, Magor","","51.642601","-2.67366","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/144434711/195764_MAG230016_IMG_17_0000_max_476x317.jpeg"
"169541126","Monmouthshire","Commercial Development","Bulwark Road, Chepstow, NP16","£900,000","Guide Price","","","","","","","","Development opportunity providing substantial detached commercial property set within a plot occupying an elevated position within Chepstow.","https://www.rightmove.co.uk/properties/169541126#/?channel=COM_BUY","2025-11-20T15:16:18Z","","new","Marketed by David James, Magor","","51.636696","-2.678428","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169541126/195764_MAG250106_IMG_06_0000_max_476x317.jpeg"
"165245972","Monmouthshire","Plot","Rockfield Road, Monmouth, NP25","£150,000","Guide Price","2","","","","","","","Full Planning Permission for two new build semi-detached houses, located in a sought-after location within level walking distance of Monmouth town with far-reaching countryside views.","https://www.rightmove.co.uk/properties/165245972#/?channel=COM_BUY","2025-08-01T16:36:38Z","","price_reduced","Marketed by David James, Magor","","51.814823","-2.727758","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/165245972/195764_MAG250079_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/165245972/195764_MAG250079_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/165245972/195764_MAG250079_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/165245972/195764_MAG250079_IMG_03_0000_max_476x317.jpeg"
"169340069","Monmouthshire","Retail Property (high street)","Monnow Street, Monmouth, Monmouthshire, NP25","£450,000","Guide Price","","","","","","","","A substantial and characterful Grade II listed property offering mixed-use accommodation with retail frontage on Monmouth’s historic high street. Extending over three floors with a wea","https://www.rightmove.co.uk/properties/169340069#/?channel=COM_BUY","2025-11-14T12:00:47Z","","new","Marketed by David James, Magor","","51.810837","-2.717999","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169340069/195764_WER250173_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169340069/195764_WER250173_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169340069/195764_WER250173_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169340069/195764_WER250173_IMG_03_0000_max_476x317.jpeg"
"169243748","Monmouthshire","Commercial Property","Highstreet, Chepstow, NP16","£330,000","","2","2","2,680 sq. ft.","2680","2680","249","249","* COMMERCIAL PROPERTY * GROUND FLOOR RETAIL SPACE * FIRST AND SECOND FLOOR APARTMENTS * IDEAL LOCATION IN HEART OF TOWN * INCREDIBLE BUSINESS OPPORTUNITY","https://www.rightmove.co.uk/properties/169243748#/?channel=COM_BUY","2025-11-11T17:17:06Z","","size_change","Marketed by Number One Real Estate, Newport","","51.641301","-2.675454","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/223k/222917/169243748/222917_190ba94e-0040-422e-bdc8-2e71531e9e6f_IMG_31_0000_max_476x317.jpeg"
"149662685","Monmouthshire","Office","Nailers Lane, Monmouth, Monmouthshire, NP25","£295,000","Offers in Region of","","","","","","","","A mainly stone and brick-built two-storey building with garaging suitable for various uses. To the rear of the building is a fenced garden area and extensive hardstanding area to the front.","https://www.rightmove.co.uk/properties/149662685#/?channel=COM_BUY","2024-06-28T12:17:16Z","","price_reduced","Marketed by David James, Monmouth","","51.811762","-2.717583","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/11k/10745/149662685/10745_MON240130_IMG_05_0000_max_476x317.jpeg"
"169044314","Monmouthshire","Land","The Causeway, Undy, NP26","£75,000","Guide Price","","","","","","","","A single parcel of level-lying, permanent pastureland extending to approximately 4.71 acres (1.91 ha) located on the outskirts of the village of Undy. ","https://www.rightmove.co.uk/properties/169044314#/?channel=COM_BUY","2025-11-06T09:50:17Z","","new","Marketed by David James, Magor","","51.574589","-2.810801","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/196k/195764/169044314/195764_WER250167_IMG_05_0000_max_476x317.jpeg"
"168307049","Monmouthshire","Residential Development","Little Mill, Pontypool, Monmouthshire, NP4 0HX","POA","","","","","","","","","The land at Little Mill is situated adjacent to Cae Melin and offers a prime village residential development opportunity. The site is draft allocated in the Replacement Local Development Plan (RLDP) for 20 dwellings (50% affordable).","https://www.rightmove.co.uk/properties/168307049#/?channel=COM_BUY","2025-10-17T13:19:06Z","","new","Marketed by Powells, Monmouth","","51.722511","-2.977906","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/168307049/127693_S1476842_IMG_09_0000_max_476x317.jpeg"
"162178742","Monmouthshire","Pub","Waenllapria, NP7","£320,000","Guide Price","2","","","","","","","Monmouthshire/Brecon Beacons village freehouse Lounge bar/restaurant (40) and public bar (28)Recently upgraded self-contained owners' flatAdditional one bed Airbnb apartment. Gardens and car parking. Turnover £280,000 per annum net of VAT Leasehold £25,000","https://www.rightmove.co.uk/properties/162178742#/?channel=COM_BUY","2025-05-20T12:00:07Z","","price_reduced","Marketed by Sidney Phillips Limited, Wales","","51.80293","-3.12928","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/162178742/205043_91656_IMG_08_0000_max_476x317.jpeg"
"167854355","Monmouthshire","Retail Property (high street)","39 Monnow Street, Monmouth, NP25 3EF","£200,000","Offers in Excess of","","","1,080 sq. ft.","1080","1080","100","100","The property is located in Monmouth, accessible via the A40 to the north and south with multiple bus routes serving the local area and beyond. It is situated on Monnow Street, the prime retail thoroughfare of the town. The property provides a ground floor retail area with upper floor ancillary.","https://www.rightmove.co.uk/properties/167854355#/?channel=COM_BUY","2025-10-06T13:46:22Z","","new","Marketed by Emanuel Jones LLP, Cardiff","","51.81099","-2.71737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3262fbe4c/167854355/3262fbe4c65e63c2817365cfaaf48834_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/32f66da7f/167854355/32f66da7f0ab4003f297a7d22efb6d28_max_476x317.jpeg"
"167851775","Monmouthshire","Residential Development","Monmouth,Monmouthshire,NP25 5SB","Sale by Tender","","","","","","","","","The land at St Thomas Road offers an exciting residential or commercial infill development site opportunity, being located within the settlement of Monmouth, between St Thomas Road and Wonastow Road Business Park (West).","https://www.rightmove.co.uk/properties/167851775#/?channel=COM_BUY","2025-10-06T13:00:20Z","","new","Marketed by Powells, Monmouth","","51.809383","-2.729515","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167851775/127693_S1466529_IMG_08_0000_max_476x317.jpeg"
"167848742","Monmouthshire","Residential Development","Shirenewton, Chepstow, Monmouthshire","Sale by Tender","","","","","","","","","The land at Shirenewton is situated adjacent to Redd Landes, fronting onto the Earlswood Road, and offers a prime village residential development opportunity. The site is draft allocated in the replacement Local Development Plan (RLDP) for 26 dwellings (50% affordable).","https://www.rightmove.co.uk/properties/167848742#/?channel=COM_BUY","2025-10-06T12:15:22Z","","new","Marketed by Powells, Monmouth","","51.641014","-2.758426","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/128k/127693/167848742/127693_S1466475_IMG_07_0000_max_476x317.jpeg"
"167768084","Monmouthshire","Office","Unit 6 Beaufort Park Way, Chepstow, Monmouthshire, NP16 5UH","£1,950,000","","","","10,000–12,275 sq. ft.","10000","12275","929","1140","High Quality Modern Offices in a strategic location serving Wales and the South West. A mix of open plan, meeting rooms and breakout area with a full height reception area with climbing wall.","https://www.rightmove.co.uk/properties/167768084#/?channel=COM_BUY","2025-10-03T13:30:17Z","","new","Marketed by M4 Property Consultants, Newport","","51.62115","-2.66993","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83430/167768084/83430_CREO_IMG_09_0000_max_476x317.jpeg"
"166533950","Monmouthshire","Pub","NP4","£28,500","Leasehold","2","","","","","","","Monmouthshire High quality successful pub and dining venue Three section main bar and dining areas (50)Restaurant (50)Function room (80)Owners accommodation Gardens and parking.","https://www.rightmove.co.uk/properties/166533950#/?channel=COM_BUY","2025-09-03T12:57:24Z","","price_reduced","Marketed by Sidney Phillips Limited, Wales","","51.68284","-2.96356","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205043/166533950/205043_95956_IMG_07_0000_max_476x317.jpeg"
