id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"156271406","West Yorkshire","Land","Bronte Way, Mirfield, West Yorkshire, WF14","£795,000","Guide Price","","","5,741 sq. ft.","5741","5741","533","533","FOR SALE RESIDENTIAL DEVELOPMENT OPPORTUNITY 4 BRONTE WAY, MIRFIELD, WF14 9NT FOUR BEDROOM DETACHED HOUSE AND LAND WITH PERMISSION GRANTED TO DEVELOP TWO ADDITIONAL FOUR BEDROOM DETACHED HOUSES PLUS ASSOCIATED GARAGES. THE SITE AMOUNTS T0 CIRCA 0.191 HECTARES/ 0.471 ACRES. ","https://www.rightmove.co.uk/properties/156271406#/?channel=COM_BUY","2024-12-26T10:28:20Z","","price_reduced","Marketed by Holroyd Miller, Wakefield","","53.675054","-1.681218","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155252/156271406/155252_HLC240026_IMG_11_0000_max_476x317.jpeg"
"170018558","West Yorkshire","Warehouse","Claye House lane ","£195,000","Offers Over","","","2,454 sq. ft.","2454","2454","228","228","Excellent redevelopment opportunity in Greetland, Halifax. Approx 228m² site with warehouse and land, offering potential for a 3-bed house with double garage and a 4-bed house with parking (STPP). Great investment in a prime, well-connected location.","https://www.rightmove.co.uk/properties/170018558#/?channel=COM_BUY","2025-12-04T17:06:22Z","","new","Marketed by Latchkey and Vault, Manchester","","53.68917","-1.85891","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/254k/253025/170018558/253025_Hollynswarehouse_IMG_00_0000_max_476x317.jpeg"
"169962860","West Yorkshire","Plot","Land at Huddersfield Road, Thongsbridge, Holmfirth HD9","£8,000","Guide Price","","","","","","","","LAND FOR SALE BY ONLINE AUCTION (12th December at 1pm) - two plots of land for sale adjacent Huddersfield Road. Subject to the usual planning this land could be a lovely memorial garden, forest school, fairy door woodland trail.....other uses also available. The property known as 'land on the...","https://www.rightmove.co.uk/properties/169962860#/?channel=COM_BUY","2025-12-03T14:32:16Z","","price_reduced","Marketed by SnowGate Estate Agency, Holmfirth","","53.579662","-1.782402","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/18k/17759/169962860/17759_34338717_IMG_01_0000_max_476x317.jpeg"
"170010110","West Yorkshire","Land","Kings Road and Queens Road","£225,000","","","","","","","","","A building plot for sale with full planning permission for the development of two semi detached and one detached property under planning number 18/04833/FUL Further information can found by visiting the Bradford Planning portal at ","https://www.rightmove.co.uk/properties/170010110#/?channel=COM_BUY","2025-12-04T15:34:57Z","","new","Marketed by Hunters, Bingley","","53.860778","-1.848089","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/100k/99269/170010110/99269_34341223_IMG_00_0000_max_476x317.jpeg"
"161023850","West Yorkshire","Warehouse","Tadman Street, Wakefield, West Yorkshire, WF1","£400,000","Offers in Excess of","","","4,773–5,949 sq. ft.","4773","5949","443","553","The unit is a semi-detached steel portal frame warehouse/workshop unit with single storey office extension to the front set in an enclosed, shared yard with space for approximately 6 vehicles.","https://www.rightmove.co.uk/properties/161023850#/?channel=COM_BUY","2025-04-23T14:06:22Z","","price_reduced","Marketed by Malcolm Stuart Property Consultants LLP, Tadcaster","","53.67263","-1.49636","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/161023850/140816_TADSELL_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/161023850/140816_TADSELL_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/161023850/140816_TADSELL_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/161023850/140816_TADSELL_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/141k/140816/161023850/140816_TADSELL_IMG_02_0000_max_476x317.jpeg"
"167187263","West Yorkshire","Commercial Property","Retail, West Yorkshire","£100,000","","","","","","","","","INDUSTRIAL SUPPLIES BUSINESS Profitable business with untapped growth potential Strong performance without any online sales activity Remarkably low net rent of just £6,000 per annum Operating profit of £82,817 Annual Gross Turnover £772,954 REF 591240. EPC Band C. Business £100,000 Huddersfield ","https://www.rightmove.co.uk/properties/167187263#/?channel=COM_BUY","2025-09-19T12:00:59Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","53.6393","-1.7804","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/167187263/153122_591240_IMG_06_0000_max_476x317.jpeg"
"158342483","West Yorkshire","Cafe","Cafe & Sandwich Bars, West Yorkshire","£74,950","","","","","","","","","RESTAURANT AND PIZZA TAKEAWAY Prime location New lease with sensible rent Easily operated with minimal staff Viewing is strongly recommended Weekly turnover £6,000 to £7,000 REF 590922. EPC Band B. Business £74,950 Leeds","https://www.rightmove.co.uk/properties/158342483#/?channel=COM_BUY","2025-02-17T12:00:07Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","53.8107","-1.5572","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/158342483/153122_590922_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/158342483/153122_590922_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/158342483/153122_590922_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/158342483/153122_590922_IMG_03_0000_max_476x317.jpeg"
"169985318","West Yorkshire","Guest House","Field End Road, Leeds","£335,000","","3","2","","","","","","A beautifully extended and fully renovated semi-detached home, perfectly positioned on a desirable corner plot in East Leeds. This stunning property boasts off-street parking, modern interiors, bifolding doors, and an impressive open-plan kitchen/dining area.","https://www.rightmove.co.uk/properties/169985318#/?channel=COM_BUY","2025-12-04T10:05:25Z","","new","Marketed by William H. Brown, Crossgates","","53.79544","-1.46332","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/2k/1961/169985318/1961_CGT111385_IMG_04_0000_max_476x317.jpeg"
"169969367","West Yorkshire","Office","Merchants Quay, Ashley Lane, Shipley, BD17 7DB","POA","","","","2,226–8,625 sq. ft.","2226","8625","207","801","Merchants Quay is a recently refurbished former textile mill, which now provides in excess of 22,000 sq ft of high quality office accommodation over five floors. Enjoying all the attributes of a period property with exposed brickwork walls and metal columns, Merchants Quay provides a unique oppor...","https://www.rightmove.co.uk/properties/169969367#/?channel=COM_BUY","2025-12-03T16:25:35Z","","new","Marketed by Eddisons Commercial Limited, Bradford","","53.836131","-1.779196","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236918/169969367/236918_3003570FH_IMG_16_0000_max_476x317.jpeg"
"169966553","West Yorkshire","Retail Property (high street)","50 High Street, Horbury, Wakefield, WF4 5LE","£179,500","","","","403 sq. ft.","403","403","37","37","This is a semi detached retail property with one bedroomed accomodation above. For many years the premises have been utilised as a vetinary clinic and therefore would suit a similar use. The ground floor area offers a front retail area with kitchen and store to the rear. An initial staircase lead...","https://www.rightmove.co.uk/properties/169966553#/?channel=COM_BUY","2025-12-03T15:41:03Z","","new","Marketed by Vickers Carnley, Wakefield","","53.659924","-1.556109","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a159b9054/169966553/a159b9054cb2c5643e51003593c82b21_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c3f1101b9/169966553/c3f1101b9fe4845036bb64f7d717a8c6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6f1647633/169966553/6f16476336a0075d3277891992fcfe78_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/47c190cc6/169966553/47c190cc69ef8210c73bcc1f0c5a41fe_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c237e1709/169966553/c237e17091acae86616cda6846261787_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/60b576551/169966553/60b576551dc9d911f2d849a55582eca2_max_476x317.jpeg"
"153010610","West Yorkshire","Commercial Property","Meltham Road, Huddersfield, HD4 7EX","£190,000","","3","1","","","","","","CHECK OUT THIS FANTASTIC INVESTMENT OPPORTUNITY TO PURCHASE A COMMERCIAL UNIT ALONG WITH A 2/3 BEDROOM FLAT LOCATED ON MELTHAM ROAD! THIS IS THE CHANCE TO PURCHASE BOTH A COMMERCIAL AND RESIDENTIAL PROPERTY IN ONE! OPPORTUNITIES LIKE THIS DON'T COME UP OFTEN ON THIS VERY POPULAR AND BU...","https://www.rightmove.co.uk/properties/153010610#/?channel=COM_BUY","2024-09-25T15:57:47Z","","price_reduced","Marketed by Earnshaw Estates, Kirkburton","","53.614716","-1.814202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267674/153010610/267674_S1083490_IMG_19_0000_max_476x317.jpeg"
"722867959048801","West Yorkshire","Light Industrial","Unit 4 Knottingley Park, Knottingley Road, Knottingley, WF11 0BU","POA","","","","70,500 sq. ft.","70500","70500","6550","6550","Freehold & Leasehold industrial units available on a design and build basis.","https://www.rightmove.co.uk/properties/722867959048801#/?channel=COM_BUY","2025-12-03T11:44:07Z","","size_change","Marketed by Dove Haigh Phillips LLP, Leeds","","53.703373","-1.273809","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867959048801/58716_274000-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867959048801/58716_274000-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/59k/58716/722867959048801/58716_274000-1_IMG_02_0000_max_476x317.jpeg"
"162793589","West Yorkshire","Commercial Property","Galloway House, 241 Leeds Road, Huddersfield","£525,000","","","","7,292 sq. ft.","7292","7292","677","677","The property comprises a substantial former Cooperative building which provides commercial accommodation over 2 levels, with a ground floor showroom and warehouse, and first floor stores and offices. Overall, the accommodation extends to 488.66m² (5,260ft²) plus basement stores extending to 188.7...","https://www.rightmove.co.uk/properties/162793589#/?channel=COM_BUY","2025-06-03T15:01:40Z","","new","Marketed by BRAMLEYS LLP, Huddersfield","","53.656166","-1.774108","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229391/162793589/229391_33929057_IMG_11_0000_max_476x317.jpeg"
"156056669","West Yorkshire","Retail Property (high street)","Material Worth, Haworth Road, Keighley, West Yorkshire, BD22","£19,500","Leasehold","","","","","","","","BUSINESS FOR SALE Long-Established Custom-Made Soft Furnishings Business £19,500 + SAV LEASEHOLD Impressive character double-fronted premises with showrooms and workshops. Fully fitted with quality fixtures, fittings & equipment. Loyal and local clientele... Request full details! ","https://www.rightmove.co.uk/properties/156056669#/?channel=COM_BUY","2024-12-18T13:20:29Z","","price_reduced","Marketed by Alan J Picken, Ilkley","","53.83518","-1.93508","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230060/156056669/230060_RM10644_IMG_08_0000_max_476x317.jpeg"
"166485734","West Yorkshire","Cafe","Cafe & Sandwich Bars, West Yorkshire","£24,950","","","","","","","","","SANDWICH BAR Beautifully presented Secure lease with sensible rent An excellent opportunity Convenient roadside parking Weekly Turnover £1,800 to £2,200 REF 591213. EPC Band D. Business £24,950 Wakefield","https://www.rightmove.co.uk/properties/166485734#/?channel=COM_BUY","2025-09-02T13:00:57Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","53.6867","-1.5138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/57a9bebf5/166485734/57a9bebf50d3e962c392f4cfb4281e51_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/23ac12b1c/166485734/23ac12b1c93a4eec20035e9503c018b9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4d16b6cc1/166485734/4d16b6cc1b57d9be86ce9d040bd75470_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cc3ff75a2/166485734/cc3ff75a2955d0a8d8ffad5d95522f5c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b36c85f6e/166485734/b36c85f6ea2cd50a54a484ed6cf4411d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f64e1bf7f/166485734/f64e1bf7f9d73e20f6a5cb8019dbada5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f4c2674b9/166485734/f4c2674b90deab0a890efe076e9e0413_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b01dba662/166485734/b01dba6629af57b049150aea4f51d3ca_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccac73988/166485734/ccac739889f82bcbc7fb40feca3dc94a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1f913ec44/166485734/1f913ec44086948d82821508c286b651_max_476x317.jpeg"
