id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162947849","Southwark","Office","3 Risborough Street, London, SE1","£1,100,000","","","2","For Sale / To LetGround & First Floor Commercial UnitClose to Southwark station, London SE1Close to all amenities1,409 sq ftAvailable now£1.1m","https://www.rightmove.co.uk/properties/162947849#/?channel=COM_BUY","2025-06-06T11:30:24Z","","new","Marketed by Lim Commercial, Covering London Bridge & Surrounding","","51.50336","-0.10028","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284714/162947849/284714_3risboroughstreetse10hf_IMG_08_0000_max_476x317.jpeg"
"166703681","Southwark","Office","Unit 1, 8 Tyers Gate, London","£550,000","Guide Price","","","An opportunity to acquire a well-presented, self-contained office located in a cul-de-sac just off Bermondsey Street, directly adjacent to Leathermarket Gardens Park. The subject property is positioned over ground and lower ground floor levels of a purpose-built mixed-use block at the end of a s...","https://www.rightmove.co.uk/properties/166703681#/?channel=COM_BUY","2025-09-08T10:06:35Z","","price_reduced","Marketed by Acorn Limited, Acorn Commercial","","51.500832","-0.082435","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/166703681/83142_28879FH_IMG_07_0000_max_476x317.jpeg"
"169897901","Southwark","Restaurant","Borough High Street, London SE1","£1,500,000","","","","999 Leasehold Commercial Unit for Sale - Borough High Street, SE1 1LL","https://www.rightmove.co.uk/properties/169897901#/?channel=COM_BUY","2025-12-02T01:02:14Z","","new","Marketed by Stelfort, London","","51.5035","-0.091794","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169897901/67576_CS0008_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169897901/67576_CS0008_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169897901/67576_CS0008_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/68k/67576/169897901/67576_CS0008_IMG_03_0000_max_476x317.jpeg"
"169884104","Southwark","Land","93 Gordon Road, London, Greater London, SE15 3RR","£1,500,000","","","","This rare development opportunity comprises a freehold site with planning consent for a contemporary 5-storey residential building. The approved scheme provides for 9 high-quality private apartments designed to meet the growing demand for modern housing in one of South London's most dynamic and d...","https://www.rightmove.co.uk/properties/169884104#/?channel=COM_BUY","2025-12-01T15:26:12Z","","new","Marketed by Kalmars Commercial Limited, London","","51.468212","-0.060366","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884104/271649_8512FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884104/271649_8512FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884104/271649_8512FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884104/271649_8512FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884104/271649_8512FH_IMG_04_0000_max_476x317.jpeg"
"169884086","Southwark","Land","93, Haymerle Road, London, SE15 6SQ","£1,500,000","Offers in Excess of","","","Freehold Residential-Led Development Opportunity - Planning Permission Granted for 9 private residential units and a commercial unit. Planning consent allows for the demolition of the existing buildings and construction of a new six-storey residential-led mixed-use development comprising nine ap...","https://www.rightmove.co.uk/properties/169884086#/?channel=COM_BUY","2025-12-01T15:25:54Z","","new","Marketed by Kalmars Commercial Limited, London","","51.48141","-0.068531","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169884086/271649_8501FH_IMG_08_0000_max_476x317.jpeg"
"169872437","Southwark","Commercial Development","93 Gordon Road, Peckham, London, SE15","£1,500,000","","","","- Freehold development site in Peckham, SE15 - Planning permission approved for demolition of existing single storey building and erection of a 5-storey building - Consent for 9 private residential units: 1 x Studio 1 x 1-Bed Flat 7 x 2-Bed Flats - Total Net Internal Area (NIA): 523 sqm (...","https://www.rightmove.co.uk/properties/169872437#/?channel=COM_BUY","2025-12-01T12:47:51Z","","new","Marketed by Whozoo, London","","51.468742","-0.060779","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169872437/241562_LON0009F0_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169872437/241562_LON0009F0_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169872437/241562_LON0009F0_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169872437/241562_LON0009F0_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/169872437/241562_LON0009F0_IMG_04_0000_max_476x317.jpeg"
"146518961","Southwark","Showroom","Lower Road, London, SE16","£200,000","Offers in Region of","","","Are you a motorcycle enthusiast looking for a rewarding business opportunity? Look no further! Raceways Motorcycles is now available for sale, offering you the chance to step into a well-established, thriving sales, rental, and service business with a loyal customer base.","https://www.rightmove.co.uk/properties/146518961#/?channel=COM_BUY","2024-04-06T11:22:42Z","","new","Marketed by Goodwins Business Brokers Ltd, Covering - Nationwide","","51.49224","-0.04514","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146518961/263843_GO2819_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146518961/263843_GO2819_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146518961/263843_GO2819_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263843/146518961/263843_GO2819_IMG_03_0000_max_476x317.jpeg"
"169746260","Southwark","Office","21 Queen Elizabeth Street, London, SE1 2PD","POA","","","","21 Queen Elizabeth Street is a self-contained office building, arranged over ground, first, second and third floor mezzanine floor. Originally constructed as a 1950s warehouse building, the property has been thoughtfully re-designed and converted into a characterful office building which retains...","https://www.rightmove.co.uk/properties/169746260#/?channel=COM_BUY","2025-11-26T15:43:09Z","","new","Marketed by USP London, USP London","","51.502287","-0.075399","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169746260/204890_2371S_IMG_05_0000_max_476x317.jpeg"
"167781701","Southwark","Commercial Property","14 Choumert Road, London, SE15 4SE","£255,000","Guide Price","","1","Sold in auction by Under the Hammer. If you would like your property to be sold in our next auction please contact our sales team on .","https://www.rightmove.co.uk/properties/167781701#/?channel=COM_BUY","2025-10-03T16:12:02Z","","price_reduced","Marketed by Under The Hammer, Covering Nationwide","","51.468164","-0.068245","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269126/167781701/269126_15_10431_IMG_14_0000_max_476x317.png"
"169651901","Southwark","Office","Trident House, 46-48 Webber Street, London, SE1 8QW","POA","","","","Trident House is located just west of Blackfriars Road and is within a 5 minute walk of Waterloo station. Nearby amenities include The Cut, with its parade of boutique shops and restaurants. The 1st and 2nd floors have been fully fitted out, ready for immediate occupation. The 1st floor is curre...","https://www.rightmove.co.uk/properties/169651901#/?channel=COM_BUY","2025-11-24T13:32:59Z","","new","Marketed by USP London, USP London","","51.501373","-0.105912","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169651901/204890_0268S_IMG_09_0000_max_476x317.jpeg"
"169642736","Southwark","Office","176 Tower Bridge Road, London, SE1 3LU","POA","","","","176 Tower Bridge Road is a well-presented, self-contained period building arranged over ground, first and second floors. The property has been well maintained throughout the years, and was fitted with a new air-conditioning system in 2022. It retains many original features, including a striking ...","https://www.rightmove.co.uk/properties/169642736#/?channel=COM_BUY","2025-11-24T11:10:48Z","","new","Marketed by USP London, USP London","","51.500428","-0.078324","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/169642736/204890_2394S_IMG_08_0000_max_476x317.jpeg"
"169543403","Southwark","Office","Shad Thames, London, SE1","£35,000","","1","","Step into an address of distinction, where history meets modern sophistication on the banks of the Thames. This exceptional 15,988 sq ft office space offers not only a home but a legacy - a listed building that has been thoughtfully restored to the highest standards of quality and sustainability.","https://www.rightmove.co.uk/properties/169543403#/?channel=COM_BUY","2025-11-20T15:57:34Z","","new","Marketed by BELCOR, City Fringe","","51.50059","-0.07374","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189137/169543403/189137_Office_Space_London_Bridge_IMG_06_0000_max_476x317.png"
"169360850","Southwark","Retail Property (high street)","American Dry Cleaning Company, 148 Blackfriars Road, London, SE1 8EL","£300,000","Guide Price","","","Interested parties should contact Knight Frank Auctions for further information. ","https://www.rightmove.co.uk/properties/169360850#/?channel=COM_BUY","2025-11-14T16:59:30Z","","new","Marketed by Knight Frank Auctions, Auctions","","51.500111","-0.104345","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223211/169360850/223211_315525_IMG_12_0000_max_476x317.jpeg"
"169120367","Southwark","Office","Unit 10 Bickels Yard, 151-153 Bermondsey Street, London, SE1 3HA","£1,700,000","Offers in Region of","","","Available immediately this newly refurbished office space is located on the first floor of Bickels Yard, a modern courtyard office development. It is finished to a good specification, including air-conditioning, raised floors, underfloor trunking, a lift and a mixture of large double glazed windo...","https://www.rightmove.co.uk/properties/169120367#/?channel=COM_BUY","2025-11-07T13:51:57Z","","new","Marketed by Kalmars Commercial Limited, London","","51.499545","-0.080748","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/272k/271649/169120367/271649_8470FH_IMG_15_0000_max_476x317.jpeg"
"168998087","Southwark","Office","Blackfriars Circus, 15 Glade Path, London, SE1 8EG","£1,150,000","","","","This available office is part of the Blackfriars Circus, a modern mixed use development located in the heart of Southwark. The office is fully self-contained and has been fully fitted out by the current occupier to include workstations, a kitchen, demised WC's and a large boardroom. The unit al...","https://www.rightmove.co.uk/properties/168998087#/?channel=COM_BUY","2025-11-05T09:17:27Z","","new","Marketed by USP London, USP London","","51.49907","-0.103928","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168998087/204890_2401S_IMG_06_0000_max_476x317.jpeg"
"168975785","Southwark","Office","23 Magdalen Street, London, SE1 2EN","POA","","","","The building has recently been refurbished throughout, offering high quality, fully fitted office space ready for immediate occupation. The ground, lower ground and basement levels provide 8,601 sq ft of space. 23 Magdalen Street currently provides newly refurbished office accommodation. The pr...","https://www.rightmove.co.uk/properties/168975785#/?channel=COM_BUY","2025-11-04T14:26:40Z","","new","Marketed by USP London, USP London","","51.50369","-0.082003","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_08_0006_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_01_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_10_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_11_0007_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_12_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/205k/204890/168975785/204890_2402S_IMG_13_0003_max_476x317.jpeg"
