id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168824222","Westminster","Retail Property (high street)","26 Church Street, Marylebone, London, NW8 8EP","£795,000","","","","New Instruction - For Sale: Impressive commercial unit in outstanding condition over the ground and basement floors in Marylebone.","https://www.rightmove.co.uk/properties/168824222#/?channel=COM_BUY","2025-10-31T08:51:26Z","","new","Marketed by WINKWORTH DEVELOPMENT AND COMMERCIAL INVESTMENT LIMITED, London","","51.524152","-0.169487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_07_0000_max_476x317.jpeg"
"169813478","Westminster","Retail Property (high street)","34 Spring Street, Paddington, London, W2 1JA","£490,000","Guide Price","","","**For Sale By Public Auction 10th December 2025 09:30 AM To inspect the legal documents for this property go to our website to download the legal pack** A Well Located Commercial Investment Trading as a Restaurant Subject to a Lease Producing £55,000 Per Annu...","https://www.rightmove.co.uk/properties/169813478#/?channel=COM_BUY","2025-11-28T11:57:37Z","","price_reduced","Marketed by Auction House London, London","","51.514824","-0.175389","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e065c45e2/169813478/e065c45e2b6afea96c6ddf7c37e9eaa4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/931bb9251/169813478/931bb925109ccf381ebdd959f7e623d7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/13715184c/169813478/13715184c2a181bc15b31a90227f81ee_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d43e93311/169813478/d43e93311c60fba4f954f447f5ba2e25_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ecc19fa5/169813478/9ecc19fa50a172e2dc4fb27b0afb58ec_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/146100f7c/169813478/146100f7cce8e74d53a361682a170a60_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1c2e7328b/169813478/1c2e7328b34dec69bb5340fd4b744392_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e940e172f/169813478/e940e172f96d11451c785d12c0a2c038_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/13e1f36d5/169813478/13e1f36d511fe815d05d48fa1791977f_max_476x317.jpeg"
"167119046","Westminster","Commercial Property","Nugent Terrace, St Johns Wood, NW8","£400,000","","","","A superb ground-floor unit for sale in this ideal location just off Abbey Road. Nugent Terrace is a small local shopping destination with a variety of local & specialist occupants, including pavement cafes and convenience stores. Comprising the ground floor of an attractive per...","https://www.rightmove.co.uk/properties/167119046#/?channel=COM_BUY","2025-09-17T19:25:37Z","","price_reduced","Marketed by Greenstone Residential, St. Johns Wood","","51.532077","-0.180859","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88567/167119046/88567_34181057_IMG_06_0000_max_476x317.jpeg"
"169437839","Westminster","Plot","Great Cumberland Place, London, W1H 7LJ","£750,000","Offers in Excess of","","","A rare refurbishment/development opportunity in the heart of Marylebone. • An elegant mid-terrace, period Property located between Hyde Park and Marylebone High Street • The Property is Grade II listed and currently arranged as seven residential apartments • The Property offers the purchaser a u...","https://www.rightmove.co.uk/properties/169437839#/?channel=COM_BUY","2025-11-18T11:08:01Z","","new","Marketed by Knight Frank Land, London","","51.5162","-0.1605","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_00_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_01_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_02_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_03_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_04_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_05_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_06_0004_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/238k/237041/169437839/237041_KRD012547655_IMG_07_0004_max_476x317.jpeg"
"169302752","Westminster","Garage","Courtnell Street, London, W2","£295,000","Guide Price","","","A rare opportunity to acquire a secure self contained garage in the heart of The Artesian Village, Notting Hill.","https://www.rightmove.co.uk/properties/169302752#/?channel=COM_BUY","2025-11-13T13:49:07Z","","new","Marketed by Elsom Spettigue Associates, Suffolk","","51.51671","-0.19915","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287816/169302752/287816_45Courtnell_IMG_09_0000_max_476x317.jpeg"
"169245254","Westminster","Restaurant","Park Street, Mayfair, London, W1K","£400,000","","","","A rare opportunity to acquire the long leasehold of a fully-fitted restaurant premises ideally situated in the heart of Mayfair, W1","https://www.rightmove.co.uk/properties/169245254#/?channel=COM_BUY","2025-11-11T17:56:03Z","","new","Marketed by Century 21 London Central, Westminster","","51.512953","-0.156038","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/46k/45920/169245254/45920_L819439_IMG_07_0000_max_476x317.jpeg"
"168985172","Westminster","Pub","Queens Arms, 1 Kilburn High Road, London, NW6 5SE","£2,000,000","Offers in Region of","","","Freehold Tied Public House Investment for Sale in Kilburn","https://www.rightmove.co.uk/properties/168985172#/?channel=COM_BUY","2025-11-04T16:33:19Z","","new","Marketed by Savills, Margaret Street - Licensed Leisure","","51.535043","-0.190138","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225521/168985172/225521_336307-1_IMG_12_0000_max_476x317.jpeg"
"168824222","Westminster","Retail Property (high street)","26 Church Street, Marylebone, London, NW8 8EP","£795,000","","","","New Instruction - For Sale: Impressive commercial unit in outstanding condition over the ground and basement floors in Marylebone.","https://www.rightmove.co.uk/properties/168824222#/?channel=COM_BUY","2025-10-31T08:51:26Z","","new","Marketed by WINKWORTH DEVELOPMENT AND COMMERCIAL INVESTMENT LIMITED, London","","51.524152","-0.169487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229532/168824222/229532_334206-1_IMG_07_0000_max_476x317.jpeg"
"87348561","Westminster","Mixed Use","13 & 14 South Audley Street, W1, London","£35,000,000","Guide Price","","","Currently owned and occupied by a private family office in mixed-commercial and residential use, with access to a private communal garden, one of the “secret gardens” of Mayfair.","https://www.rightmove.co.uk/properties/87348561#/?channel=COM_BUY","2025-10-29T14:33:30Z","","new","Marketed by Savills, Margaret Street- Development","","51.508145","-0.150899","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/87348561/208037_0CE172A6-927A-4D26-968D-AA7DB1E89D9A_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/87348561/208037_0CE172A6-927A-4D26-968D-AA7DB1E89D9A_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/87348561/208037_0CE172A6-927A-4D26-968D-AA7DB1E89D9A_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/87348561/208037_0CE172A6-927A-4D26-968D-AA7DB1E89D9A_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208037/87348561/208037_0CE172A6-927A-4D26-968D-AA7DB1E89D9A_IMG_09_0003_max_476x317.jpeg"
"151642277","Westminster","Office","The Battleship Building, 179 Harrow Road, London, W2 6NB","£20,000,000","Offers in Region of","","","Self-contained building for sale in Paddington W2, west London.","https://www.rightmove.co.uk/properties/151642277#/?channel=COM_BUY","2024-08-22T17:00:12Z","","size_change","Marketed by Pilcher London, London","","51.52035","-0.180948","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/77k/76308/151642277/76308_143560-1_IMG_08_0000_max_476x317.jpeg"
"167313416","Westminster","Hotel","Project Harbour, Care Of Graham + Sibbald, 72-75 Marylebone High Street, London, Greater London","POA","","150","","Graham + Sibbald is delighted to offer for sale, on a confidential basis, a c. 150 bedroom hotel with further growth potential","https://www.rightmove.co.uk/properties/167313416#/?channel=COM_BUY","2025-09-23T14:13:15Z","","size_change","Marketed by Graham & Sibbald, Hotels","","51.521252","-0.152184","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265616/167313416/265616_54739FH_IMG_00_0000_max_476x317.jpeg"
"168681857","Westminster","Retail Property (high street)","12 Craven Terrace, London, W2","£480,000","","","","Comprises ground floor retail shop t/a office. Situated within short walk from Hyde Park and Queen`s Gardens, with occupiers nearby include Hotels, Restaurants, Beauty Salon and many more. ","https://www.rightmove.co.uk/properties/168681857#/?channel=COM_BUY","2025-10-28T06:28:51Z","","new","Marketed by Blue Alpine, London","","51.51289","-0.1793","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/248ceba77/168681857/248ceba77801734d685e471d52cbf972_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6a87f645c/168681857/6a87f645ceace196302591a1f75bb38a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/28c929248/168681857/28c92924882f26ca4ddd995690c719da_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/31b6effc9/168681857/31b6effc9bb8c30d3f0dadf031172e8d_max_476x317.jpeg"
"168656795","Westminster","Office","63 Catherine Place, London, SW1E 6DY","£7,000,000","Offers in Excess of","","","Attractive corner freehold, situated in a discreet and desirable location, suitable to owner occupiers and investors.","https://www.rightmove.co.uk/properties/168656795#/?channel=COM_BUY","2025-10-27T16:11:18Z","","new","Marketed by Savills, West End Offices","","51.498942","-0.139313","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d550d89e7/168656795/d550d89e774dcfd957bbbe7b52e8e473_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3e1a4cd1a/168656795/3e1a4cd1adc010b509518dc08cc96f8c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/056db161c/168656795/056db161cffe71d261155d060e2e7230_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6f72b5c67/168656795/6f72b5c6707e0abd17b5602c28c6895b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7d1dcfe09/168656795/7d1dcfe093b84a7f0dbc620a668e67db_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a36ba358/168656795/5a36ba35846e2ff225f7875d8d2a5209_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d34931020/168656795/d349310206e97ad511e25707461ceab9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/94fcb4135/168656795/94fcb4135f1cc74466928d0bf03f4be3_max_476x317.jpeg"
"168647237","Westminster","Office","Freehold Office, 28-30 Hanway Street, London, W1T 1UL","£4,000,000","","","","FREEHOLD OPPORTUNITY FOR SALE WITH SIGNIFICANT REDEVELOPMENT POTENTIAL (STPP)","https://www.rightmove.co.uk/properties/168647237#/?channel=COM_BUY","2025-10-27T14:27:33Z","","new","Marketed by Robert Irving Burns, Robert Irving Burns","","51.516817","-0.132343","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207110/168647237/207110_335429-1_IMG_16_0000_max_476x317.jpeg"
"168396311","Westminster","Plot","Piccadilly, Mayfair, London, W1J","£29,950,000","Guide Price","","","A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq ft...","https://www.rightmove.co.uk/properties/168396311#/?channel=COM_BUY","2025-10-20T15:32:56Z","","new","Marketed by Knight Frank, Mayfair","","51.503841","-0.149513","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65815/168396311/65815_WER012276965_IMG_20_0000_max_476x317.jpeg"
