id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169959611","West Sussex","Land","Kingston Broadway, Shoreham-By-Sea","£599,950","","1","1","","","","","","*** £599,950 *** WARWICK BAKER ESTATE AGENTS ARE DELIGHTED TO OFFER THIS DEVELOPMENT SITE LOCATED ON THE SHOREHAM/SOUTHWICK BORDER OFF HAWKINS ROAD. THE PLOT MEASURES 0.11 HECTARES AND IS CURRENTLY A REDUNDANT COMMERCIAL YARD, WITH MAINLY GARAGES AND A WORKSHOP FOR REPAIR AND STORAG...","https://www.rightmove.co.uk/properties/169959611#/?channel=COM_BUY","2025-12-03T13:54:41Z","","new","Marketed by Warwick Baker Estate Agents, Shoreham-By-Sea","","50.84159","-0.245653","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_14_0000_max_476x317.jpeg"
"170002487","West Sussex","Commercial Property","Broadwalk, Crawley, Crawley, RH10","£5,200,000","Guide Price","","1","","","","","","Galaxy HQ presents: a rare mixeduse investment opportunity in the heart of Crawley, RH10 1EE. This prime property boasts 6 high-street retail units and 11 stylish residential flats, perfectly combining commercial and residential income streams for a truly diversified investment.","https://www.rightmove.co.uk/properties/170002487#/?channel=COM_BUY","2025-12-04T14:04:29Z","","new","Marketed by GALAXY REAL ESTATE LIMITED, Hayes","","51.11586","-0.18523",""
"723048699913473","West Sussex","Commercial Property","Former House Of Fraser, 12-18 West Street,, 51-55 Tower Street, Chichester, PO19 1QF","POA","","","","70,000 sq. ft.","70000","70000","6503","6503","Mixed use redevelopment scheme (subject to planning)","https://www.rightmove.co.uk/properties/723048699913473#/?channel=COM_BUY","2025-12-04T11:24:08Z","","new","Marketed by Savills, Southampton - Licensed Leisure","","50.836808","-0.78113","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048699913473/225509_22840-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225509/723048699913473/225509_22840-1_IMG_01_0000_max_476x317.png"
"169959611","West Sussex","Land","Kingston Broadway, Shoreham-By-Sea","£599,950","","1","1","","","","","","*** £599,950 *** WARWICK BAKER ESTATE AGENTS ARE DELIGHTED TO OFFER THIS DEVELOPMENT SITE LOCATED ON THE SHOREHAM/SOUTHWICK BORDER OFF HAWKINS ROAD. THE PLOT MEASURES 0.11 HECTARES AND IS CURRENTLY A REDUNDANT COMMERCIAL YARD, WITH MAINLY GARAGES AND A WORKSHOP FOR REPAIR AND STORAG...","https://www.rightmove.co.uk/properties/169959611#/?channel=COM_BUY","2025-12-03T13:54:41Z","","new","Marketed by Warwick Baker Estate Agents, Shoreham-By-Sea","","50.84159","-0.245653","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/36k/35366/169959611/35366_34338591_IMG_14_0000_max_476x317.jpeg"
"157762406","West Sussex","Industrial Park","Charwood House, Oakhurst Business Park, Wilberforce Way, Southwater, West Sussex RH13 9RT","£7,950,000","From","","","39,117–58,944 sq. ft.","39117","58944","3634","5476","Modern self-contained warehouse/light industrial unit with high bay warehouse and fully fitted offices. The unit is also fully fitted with narrow isle racking and ready to occupy.","https://www.rightmove.co.uk/properties/157762406#/?channel=COM_BUY","2025-02-04T14:27:24Z","","size_change","Marketed by SHW, Crawley & Gatwick","","51.036238","-0.345655","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285437/157762406/285437_20296FH_IMG_18_0000_max_476x317.jpeg"
"167135552","West Sussex","Plot","East Street, Littlehampton","£400,000","Guide Price","","","","","","","","This unique site presents a rare opportunity for developers and investors to create a standout project in the heart of Littlehampton. The approved planning permission for 9 luxury apartments ensures a streamlined development process with a suggested gross development value of £2,500,000. ","https://www.rightmove.co.uk/properties/167135552#/?channel=COM_BUY","2025-09-18T11:14:25Z","","price_reduced","Marketed by Lextons Auctions, Sussex","","50.810859","-0.539255","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243101/167135552/243101_34181935_IMG_33_0000_max_476x317.jpeg"
"169894010","West Sussex","Warehouse","Urban, Crawley, Crompton Way, Crawley, RH10 9QR","POA","","","","19,007 sq. ft.","19007","19007","1766","1766","Brand New Development of 3 High Quality Industrial / Logistics Units","https://www.rightmove.co.uk/properties/169894010#/?channel=COM_BUY","2025-12-01T17:54:13Z","","new","Marketed by Hollis Hockley, Basingstoke","","51.127871","-0.181859","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297368/169894010/297368_120245-1_IMG_08_0000_max_476x317.jpeg"
"169886468","West Sussex","Land","Billingshurst - 2 building plots","POA","","","","","","","","","Site with detailed planning permission for two building plots for detached houses at East Street, Billingshurst, West Sussex, RH14 9DB. A rare opportunity to acquire two well-positioned building plots with detailed permission for a pair of four-bedroom detached homes, each set within their own g...","https://www.rightmove.co.uk/properties/169886468#/?channel=COM_BUY","2025-12-01T15:56:15Z","","new","Marketed by Fowlers, Storrington","","51.01886","-0.44324","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169886468/23087_100074007215_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169886468/23087_100074007215_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169886468/23087_100074007215_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169886468/23087_100074007215_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169886468/23087_100074007215_IMG_04_0000_max_476x317.jpeg"
"169775702","West Sussex","Land","Goring Way, Ferring, Worthing","£200,000","Offers Over","3","3","","","","","","** Closing date for sealed bids is Thursday 18th December 2025 ** Full planning details can be viewed on the Arun Council website using reference: FG/14/25/PL. This exceptional plot presents a rare and exciting opportunity for anyone who has ever aspired to design and build the...","https://www.rightmove.co.uk/properties/169775702#/?channel=COM_BUY","2025-11-27T12:03:31Z","","new","Marketed by James & James Estate Agents, Worthing","","50.814235","-0.443823","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccf8f8d67/169775702/ccf8f8d67132cce6463b8ddb205bab07_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/91715ae22/169775702/91715ae220d664de624c4a39a3356bbc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/184ce51b3/169775702/184ce51b3993c603f528e2affcc29ef4_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ebe8b8430/169775702/ebe8b84302f370caa9b8fec792a18cdd_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/48bdb41c7/169775702/48bdb41c7fab59836165804852d83921_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e10cbaeaf/169775702/e10cbaeaf22a954e305ddd649843d6ca_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/836aa03b0/169775702/836aa03b00a153639e0bd1383c276df1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a9cb6260a/169775702/a9cb6260a0d0a41c7eb80b6886833f57_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d9401bb58/169775702/d9401bb58a74ba3796d7155a5cf60585_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/06ac10fb0/169775702/06ac10fb0da58e14b6850aaddd00cf07_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/850ae643d/169775702/850ae643d18c409e990cc97b65567b32_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b7c6c92c9/169775702/b7c6c92c9647bd3fb5a1c539f70dc01f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c3c8b28b1/169775702/c3c8b28b1b28cfaf23c6fc0ad3e7be3a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0a74e4129/169775702/0a74e4129ffa3b07c34d33950bd91091_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c28957406/169775702/c2895740659a6572897a52088c10a250_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7ca3b7416/169775702/7ca3b7416e54dabebf678a8f038c9172_max_476x317.jpeg"
"169742693","West Sussex","Office","East Grinstead, West Sussex","£475,000","","","","2,686 sq. ft.","2686","2686","250","250","CIRCA 2,686 SQ FT (249.54 SQ M) Attractive Grade II self-contained commercial building Redevelopment opportunity STPP Potential for 4 car parking spaces on separate lease Central location in the Historic Town Centre FOR SALE - £475,000 SUBJE...","https://www.rightmove.co.uk/properties/169742693#/?channel=COM_BUY","2025-11-26T14:42:18Z","","new","Marketed by RH & RW Clutton, East Grinstead","","51.123891","-0.008263","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78842/169742693/78842_RHS250024_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78842/169742693/78842_RHS250024_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78842/169742693/78842_RHS250024_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78842/169742693/78842_RHS250024_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78842/169742693/78842_RHS250024_IMG_04_0000_max_476x317.jpeg"
"169728680","West Sussex","Land","The Haven Brighton Road, Brighton Road, Lancing","£650,000","Guide Price","","","","","","","","Of interest to Developers A seafront freehold block comprising 27 flats (sold off on leases and one with 48 years unexpired) with planning permission for 9 new rooftop apartments to which 7 are duplexes (7 x Two Bedrooms & 2 x Three Bedrooms), well located for the shopping and recreational ameni...","https://www.rightmove.co.uk/properties/169728680#/?channel=COM_BUY","2025-11-26T10:45:38Z","","new","Marketed by Savills, Savills Auctions- Commercial","","50.821567","-0.316607","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169728680/238697_D799E0ED-6FB8-4584-8A3E-AF7DC7E96635_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169728680/238697_D799E0ED-6FB8-4584-8A3E-AF7DC7E96635_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169728680/238697_D799E0ED-6FB8-4584-8A3E-AF7DC7E96635_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169728680/238697_D799E0ED-6FB8-4584-8A3E-AF7DC7E96635_IMG_03_0000_max_476x317.jpeg"
"169666001","West Sussex","Land","Washington - development parcel with full planning consent","POA","","","","","","","","","Property located in Washington - development parcel with full planning consent","https://www.rightmove.co.uk/properties/169666001#/?channel=COM_BUY","2025-11-24T17:03:42Z","","new","Marketed by Fowlers, Storrington","","50.91038","-0.42097","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/24k/23087/169666001/23087_100074007209_IMG_06_0000_max_476x317.jpeg"
"169576328","West Sussex","Retail Property (out of town)","One Stop, Aldwick Street, Bognor Regis, West Sussex, PO21 3AP","£450,000","Guide Price","","","3,000–3,500 sq. ft.","3000","3500","279","325","Freehold Convenience Store Investment - FOR SALE BY AUCTION 11TH DECEMBER 2025","https://www.rightmove.co.uk/properties/169576328#/?channel=COM_BUY","2025-11-21T17:20:40Z","","new","Marketed by Acuitus Limited, Acuitus","","50.78141","-0.70562","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/276k/275780/169576328/275780_A13114-LOT6-BOGNORREGIS_IMG_06_0000_max_476x317.jpeg"
"169497005","West Sussex","Leisure Facility","Adversane Hall, Adversane Lane, Billingshurst, RH149JN","£125,000","","","","679 sq. ft.","679","679","63","63","Self contained Village Hall in Billinghurst","https://www.rightmove.co.uk/properties/169497005#/?channel=COM_BUY","2025-11-19T15:24:33Z","","new","Marketed by Owen Isherwood, Guildford","","50.997773","-0.467775","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286343/169497005/286343_337993-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286343/169497005/286343_337993-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286343/169497005/286343_337993-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286343/169497005/286343_337993-1_IMG_03_0000_max_476x317.jpeg"
