id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"147964307","County Durham","Commercial Property","Swan Street, Evenwood, County Durham, DL14","£155,000","","","","A very comfortable and well appointed two bedroom stone built detached bungalow with double garage and surrounding grounds, together with a large general storage building and yard. The principle building and yard extend to approximately 0.45 acres, in addition to the bungalow and garage....","https://www.rightmove.co.uk/properties/147964307#/?channel=COM_BUY","2024-05-14T10:52:02Z","","price_reduced","Marketed by Addisons Chartered Surveyors, Barnard Castle","","54.624577","-1.764916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36311/147964307/36311_10423486_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36311/147964307/36311_10423486_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36311/147964307/36311_10423486_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36311/147964307/36311_10423486_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/37k/36311/147964307/36311_10423486_IMG_17_0000_max_476x317.jpeg"
"169948115","County Durham","Retail Property (high street)","Middle Street, Blackhall Colliery, Hartlepool, Durham, TS27 4EA","£85,000","Guide Price","","","TO BE SOLD VIA AUCTION A fantastic mixed-use property situated in the thriving retail heart of Blackhall Colliery, Hartlepool. This versatile building comprises a ground-floor retail unit with W/C and a first-floor 2-bedroom flat, presenting an ideal opportunity for both business owners and in...","https://www.rightmove.co.uk/properties/169948115#/?channel=COM_BUY","2025-12-03T10:35:11Z","","new","Marketed by Pattinsons, Pattinsons Commercial North East","","54.7475","-1.2916","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169948115/251951_497648_IMG_10_0000_max_476x317.jpeg"
"169946315","County Durham","Retail Property (high street)","Middle Street, Blackhall Colliery, Hartlepool, Durham, TS27 4EE","£95,000","Guide Price","","","TO BE SOLD VIA AUCTION An excellent opportunity to acquire a prominent mixed-use property in the busy retail centre of Blackhall Colliery, Hartlepool. This versatile building comprises a ground-floor retail unit with W/C and kitchen facilities, along with two self-contained first-floor two 1 b...","https://www.rightmove.co.uk/properties/169946315#/?channel=COM_BUY","2025-12-03T10:07:07Z","","new","Marketed by Pattinsons, Pattinsons Commercial North East","","54.7475","-1.29","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251951/169946315/251951_498620_IMG_27_0000_max_476x317.jpeg"
"169894973","County Durham","Office","Unit 3 Pioneer Court, Morton Palms Business Park, Darlington DL1 4WD","£280,000","","","","Pioneer Court is located on Morton Palms Business Park, Darlington, immediately adjacent to the A66 and accessed via the B6280 Yarm Road. The A66 Trunk Road links directly to the A1(M) to the west and the A19(T) to the east. Darlington Railway Station is approximately 3 miles ...","https://www.rightmove.co.uk/properties/169894973#/?channel=COM_BUY","2025-12-01T18:38:47Z","","new","Marketed by Connect Property North East Ltd, Stockton-On-Tees","","54.51677","-1.50365","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/139k/138803/169894973/138803_G74733S_IMG_06_0000_max_476x317.jpeg"
"168322283","County Durham","Industrial Development","Plot 2, Unit 7 Graythorp Industrial Estate, County Durham, TS25 2DF","£30,000","Guide Price","",""," PRIME NEW LISTING. We are excited to present this vacant commercial unit located within a prime location in Plot 2, Unit 7 Graythorp Industrial Estate, County Durham, TS25 2DF. **50, Caithness Road, Hartlepool TS25 3AN sold for £60,000 in 2022** **32, Forfar Road, Hartlepool TS25 4DF sold ...","https://www.rightmove.co.uk/properties/168322283#/?channel=COM_BUY","2025-10-17T16:30:56Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","54.638406","-1.201723","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/168322283/251369_221918760_IMG_14_0000_max_476x317.jpeg"
"169832648","County Durham","Shop","Former Methodist Chapel, Byers Green","£150,000","Guide Price","","","An opportunity to purchase a retail premises in the village of Byers Green.","https://www.rightmove.co.uk/properties/169832648#/?channel=COM_BUY","2025-11-28T16:37:15Z","","new","Marketed by Vickers & Barrass, Darlington","","54.701637","-1.655725","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/240k/239702/169832648/239702_34331868_IMG_04_0000_max_476x317.jpeg"
"158654735","County Durham","Land","Mallory Road, Norton, Stockton-on-Tees, Durham, TS20 1TJ","£100,000","","3","1","A rare and exciting proposal to build a house to your own specification with planning permission granted for a four bedroom detached dwelling all within a short walk of Norton High Street and Village Green. Planning application can be seen from Ref. No: 23/1543/FUL ","https://www.rightmove.co.uk/properties/158654735#/?channel=COM_BUY","2025-02-25T07:20:01Z","","new","Marketed by Pattinson Estate Agents, Norton","","54.5886","-1.316","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/271k/270428/158654735/270428_474145_IMG_10_0000_max_476x317.jpeg"
"169830032","County Durham","Land","Land @ Amberwood Close, Hartlepool, County Durham TS27 3QB","£12,000","Guide Price","","","2870m² LAND FOR SALE BY AUCTION 19TH - 20TH JANUARY","https://www.rightmove.co.uk/properties/169830032#/?channel=COM_BUY","2025-11-28T16:10:26Z","","new","Marketed by Auction House, Covering Cheshire, Staffordshire & Shropshire","","54.714777","-1.251273","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/169830032/281663_202511262251sq_5iy3_IMG_10_0000_max_476x317.jpeg"
"169813775","County Durham","Residential Development","St Cuthbert's, Chester Le Street","£120,000","Guide Price","","","Freehold Former Social Club Opportunity Comprises approximately 246.90 sq m (2,658 sq ft). Planning granted for demolition and to build 4 semi-detached houses Vacant","https://www.rightmove.co.uk/properties/169813775#/?channel=COM_BUY","2025-11-28T12:01:59Z","","price_reduced","Marketed by Savills, Savills Auctions- Commercial","","54.850212","-1.571719","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169813775/238697_830B1236-94D4-44B4-8AE5-94F0CE9461E2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169813775/238697_830B1236-94D4-44B4-8AE5-94F0CE9461E2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169813775/238697_830B1236-94D4-44B4-8AE5-94F0CE9461E2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238697/169813775/238697_830B1236-94D4-44B4-8AE5-94F0CE9461E2_IMG_03_0000_max_476x317.jpeg"
"169785524","County Durham","Heavy Industrial","Percy Road, Darlington, Durham, DL3 0RX","£90,000","Guide Price","","","**Being sold via Secure Sale online bidding. Terms & Conditions apply** Percy Road is in a well-established commercial area of Darlington, with great access to local transport links and main routes. The property sits in a secure, gated setting, offering privacy, safety, and convenience. Th...","https://www.rightmove.co.uk/properties/169785524#/?channel=COM_BUY","2025-11-27T15:00:07Z","","new","Marketed by Pattinsons, Pattinsons Auction- National Auctioneer","","54.5466","-1.5594","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251528/169785524/251528_485179_IMG_09_0000_max_476x317.jpeg"
"721801924108832","County Durham","Distribution Warehouse","20 Percy Road, Darlington, DL3 0RX","POA","","","","Industrial unit with compound and covered storage available for sale by auction. Starting bids £90,000. Suitable for motor trade use.","https://www.rightmove.co.uk/properties/721801924108832#/?channel=COM_BUY","2025-11-27T14:07:03Z","","new","Marketed by Align Chartered Surveyors, Northallerton","","54.546694","-1.55855","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/721801924108832/226952_301952-1_IMG_17_0000_max_476x317.jpeg"
"169741829","County Durham","Land","20 Front Street, Staindrop, Darlington","£160,000","","","","Land for sale!! They're not making any more of it! Rare as hens teeth, right in the centre of Staindrop. Why buy a house when you can build one just as you want it. Located in the charming village of Staindrop, Darlington, this parcel of land just off Front Street presents ...","https://www.rightmove.co.uk/properties/169741829#/?channel=COM_BUY","2025-11-26T14:28:23Z","","new","Marketed by Carver Residential, Darlington","","54.58044","-1.800082","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/33k/32831/169741829/32831_34322314_IMG_09_0000_max_476x317.jpeg"
"169057970","County Durham","Takeaway","Fish & Chips, County Durham","£185,000","","","","FISH, CHIPS AND PIZZA Prime position near a large shoppers car park Loyal local customer base with strong repeat trade Run by owners with two full-time staff Well-organised kitchen for high throughput Weekly Turnover £10,500 to £11,500 REF 591314. EPC Band C. Business, Offers Around £185,000 Sh...","https://www.rightmove.co.uk/properties/169057970#/?channel=COM_BUY","2025-11-06T13:00:21Z","","price_reduced","Marketed by Ernest Wilson & Co Limited, EW Leeds","","54.6292","-1.6372","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/154k/153122/169057970/153122_591314_IMG_07_0000_max_476x317.jpeg"
"719240401969505","County Durham","Commercial Property","Kingswood, 379 Norton Road, Stockton-on-Tees, TS20 2PJ","£595,000","Offers in Region of","","","Kingswood bed and breakfast is a 17 bedroom (all with ensuite) Semi-detached property set over 4 floors. FOR SALE Freehold £595,000","https://www.rightmove.co.uk/properties/719240401969505#/?channel=COM_BUY","2025-11-13T10:50:09Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","54.583387","-1.311287","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240401969505/226952_287340-1_IMG_09_0000_max_476x317.jpeg"
