id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169023152","Greenwich","Light Industrial","65.6 Sienna, White Hart Avenue, White Hart Triangle, Thamesmead, SE28 0GW","£1,475,000","","","","5,900 sq. ft.","5900","5900","548","548","Virtual freehold business unit for sale. Recently refurbished with substantial yard and loading facilities.","https://www.rightmove.co.uk/properties/169023152#/?channel=COM_BUY","2025-11-05T15:13:34Z","","new","Marketed by Hindwoods, London","","51.496983","0.101471","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_11_0000_max_476x317.jpeg"
"161007416","Greenwich","Retail Property (high street)","15-21 Blackheath Road, London, SE10 8PE","£700,000","","","","2,814 sq. ft.","2814","2814","261","261","For Sale 2 X Double Retail Unit Located On Blackheath Road. Excellent Transport Links.","https://www.rightmove.co.uk/properties/161007416#/?channel=COM_BUY","2025-04-23T10:54:19Z","","new","Marketed by Hindwoods, London","","51.473922","-0.019941","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/161007416/287591_276561-1_IMG_24_0000_max_476x317.jpeg"
"169893083","Greenwich","Warehouse","The Yard, Nathan Way, Greenwich, SE28 0AX","POA","","","","35,640 sq. ft.","35640","35640","3311","3311","A landmark warehouse targeting EPC A+, with future-ready power in a prime London location.","https://www.rightmove.co.uk/properties/169893083#/?channel=COM_BUY","2025-12-01T17:36:20Z","","new","Marketed by Hollis Hockley, Reading","","51.495148","0.101434","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893083/297365_335283-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893083/297365_335283-1_IMG_01_0000_max_476x317.jpeg"
"169881647","Greenwich","Leisure Facility","Court Yard, Eltham","£1,300,000","Guide Price","","","","","","","","The detached part two/part three storey (plus basement) building was built in 1900's with later additions. The property was constructed traditionally having solid brick loadbearing walls under a pitched slate covered roof. Windows are Upvc double glazing, casement windows. Formally in use as a m...","https://www.rightmove.co.uk/properties/169881647#/?channel=COM_BUY","2025-12-01T14:47:03Z","","price_reduced","Marketed by Acorn Limited, Acorn Commercial","","51.44743","0.04608","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/84k/83142/169881647/83142_24430FH_IMG_17_0000_max_476x317.jpeg"
"169573160","Greenwich","Land","Car Park Adj. to Charlton Assembly Rooms, The Village, Charlton, London, SE7 8UD","£325,000","Guide Price","","","","","","","","FOR SALE BY AUCTION ON 11th December at 12:00 £325,000 plus VACANT FREEHOLD CAR PARK WITH DEVELOPMENT POTENTIAL (SUBJECT TO ALL NECESSARY CONSENTS)","https://www.rightmove.co.uk/properties/169573160#/?channel=COM_BUY","2025-11-21T13:28:30Z","","new","Marketed by Strettons, Strettons Auctions","","51.481899","0.038505","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573160/201329_317881_IMG_09_0001_max_476x317.jpeg"
"169573118","Greenwich","Land","Charlton Village Car Park, Torrance Close, Charlton, London, SE7 8UD","£230,000","Guide Price","","","","","","","","FOR SALE BY AUCTION ON 11th December at 12:00 £230,000 plus VACANT FREEHOLD CAR PARK WITH DEVELOPMENT POTENTIAL (SUBJECT TO ALL NECESSARY CONSENTS)","https://www.rightmove.co.uk/properties/169573118#/?channel=COM_BUY","2025-11-21T13:27:27Z","","new","Marketed by Strettons, Strettons Auctions","","51.481586","0.038616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201329/169573118/201329_317569_IMG_06_0000_max_476x317.jpeg"
"169571468","Greenwich","Land","Abery Street Car Park, Plumstead High Street, Plumstead, London, SE18 1DB","£375,000","Guide Price","","","","","","","","FOR SALE BY AUCTION ON 11th December at 12:00 £375,000 plus VACANT FREEHOLD CAR PARK WITH DEVELOPMENT POTENTIAL (SUBJECT TO ALL NECESSARY CONSENTS)","https://www.rightmove.co.uk/properties/169571468#/?channel=COM_BUY","2025-11-21T12:53:06Z","","new","Marketed by Strettons, Strettons Auctions","","51.488216","0.090277","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a91010b2/169571468/2a91010b2c54cc05f007f0b57b3d0611_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f072d6bce/169571468/f072d6bce728c893e44ffbadc3e45ff2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/219c567ba/169571468/219c567ba3aaf0822d87baa3fc20d065_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8ee2e7e14/169571468/8ee2e7e14df8f2002d2371de8806b10c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/15a960c1c/169571468/15a960c1ccbae3c6f7de4a0bdad7d3ac_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/54917fb3d/169571468/54917fb3d404c0e8a07bf04f8c975aaf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aede06883/169571468/aede068835612aa55c61f095871eb34c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ce81c8b4/169571468/9ce81c8b495560747b150d8da882e74d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1c6862217/169571468/1c686221708fbbdeeb0f4dc7f3f1af2c_max_476x317.jpeg"
"169570937","Greenwich","Land","Old Dover Road Car Park, Old Dover Road, Blackheath, London, SE3 7BT","£500,000","Guide Price","","","","","","","","FOR SALE BY AUCTION ON 11th December at 12:00 £500,000 plus VACANT FREEHOLD CAR PARK WITH DEVELOPMENT POTENTIAL (SUBJECT TO ALL NECESSARY CONSENTS)","https://www.rightmove.co.uk/properties/169570937#/?channel=COM_BUY","2025-11-21T12:41:16Z","","new","Marketed by Strettons, Strettons Auctions","","51.476669","0.02113","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f0b810afe/169570937/f0b810afe6093df5476df3318466f0ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/083657d2c/169570937/083657d2c87cb8354dbdb003a28ea6cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bd9277aba/169570937/bd9277abaede1925d884d0ef7b62dda8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/99481a6de/169570937/99481a6de938a7066dcfe54d4e3a15ab_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/70febd437/169570937/70febd4373770200dc37aa47d65e5a63_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e8b7da14c/169570937/e8b7da14c1a6d1b1ff8c1d2429aa84b8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3aeaee312/169570937/3aeaee3125d6b0f3322ad43e4a441347_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f2afed14c/169570937/f2afed14c4269eef16189d28a02dc6a2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/66deb05c3/169570937/66deb05c3ce152033c79a5d892f2df79_max_476x317.jpeg"
"169494956","Greenwich","Shop","Westcombe Hill, London, SE3","£1,250,000","From","4","","3,136 sq. ft.","3136","3136","291","291","A mixed use freehold which is located in a popular part of Blackheath.","https://www.rightmove.co.uk/properties/169494956#/?channel=COM_BUY","2025-11-19T14:54:03Z","","new","Marketed by Bryan & Keegan, London","","51.477729","0.019212","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/103k/102278/169494956/102278_BBY250162_IMG_10_0000_max_476x317.jpeg"
"722869166810256","Greenwich","Commercial Development","Central 12, Lombard Wall, Charlton, SE7, Lombard Wall, London, SE7 7SH","£3,500,000","Offers in Region of","","","11,800 sq. ft.","11800","11800","1096","1096","Prime Freehold South East London - 11,800 sq ft. Logistics / Trade Unit available for Pre-Let - Or freehold 0.45 Acre Site with Planning.","https://www.rightmove.co.uk/properties/722869166810256#/?channel=COM_BUY","2025-12-03T11:50:07Z","","new","Marketed by CBRE Industrial, London","","51.491222","0.02466","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869166810256/217223_63689-1_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869166810256/217223_63689-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869166810256/217223_63689-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869166810256/217223_63689-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/218k/217223/722869166810256/217223_63689-1_IMG_04_0000_max_476x317.jpeg"
"169224236","Greenwich","Commercial Development","Wickham Lane, Abbey Wood, SE2 0XJ","£475,000","","","","1,600 sq. ft.","1600","1600","149","149","*MIXED USE INVESTMENT OPPORTUNITY FOR SALE* Total rental income of £32,300pa. Ground floor income £15,500pa, 3 bedroom flat producing a rental of £16,800pa.","https://www.rightmove.co.uk/properties/169224236#/?channel=COM_BUY","2025-11-11T12:53:12Z","","new","Marketed by Hummerstone & Hawkins, Welling","","51.48506","0.10248","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/60k/59133/169224236/59133_10673_IMG_07_0000_max_476x317.jpeg"
"169023152","Greenwich","Light Industrial","65.6 Sienna, White Hart Avenue, White Hart Triangle, Thamesmead, SE28 0GW","£1,475,000","","","","5,900 sq. ft.","5900","5900","548","548","Virtual freehold business unit for sale. Recently refurbished with substantial yard and loading facilities.","https://www.rightmove.co.uk/properties/169023152#/?channel=COM_BUY","2025-11-05T15:13:34Z","","new","Marketed by Hindwoods, London","","51.496983","0.101471","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287591/169023152/287591_336507-1_IMG_11_0000_max_476x317.jpeg"
"167111324","Greenwich","Light Industrial","124-126 Nathan Way, London, SE28 0AU","£4,000,000","From","","","44,666–46,666 sq. ft.","44666","46666","4150","4335","The property comprises a self-contained open storage yard with two steel frame constructed workshops as well as a few smaller portacabin structures used as offices. Currently occupied by a waste management company, the site is well secured and accessed via an electrical gate fronting onto Kellner...","https://www.rightmove.co.uk/properties/167111324#/?channel=COM_BUY","2025-09-17T16:52:44Z","","size_change","Marketed by Kalmars Commercial Limited, London","","51.494003","0.096217","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f7578e1b0/167111324/f7578e1b016c90241ad33a948ed9d8fe_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c952be002/167111324/c952be0024c0d51d6a290547d9e32e15_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3cbf3805a/167111324/3cbf3805ab80792b4e05b3d5189bfa9d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/386e82b7f/167111324/386e82b7fbe578bc503568c3fcf5c36a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/790df148e/167111324/790df148e1dcb490dd89d4692f7e3479_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/06dd0d048/167111324/06dd0d048dc742873f684a2483a6d4bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c044f3e39/167111324/c044f3e390bd0f7967a4d683c8fd98b0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/834f41b6e/167111324/834f41b6ed294cdfb7728237cf975b5a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eb8498de5/167111324/eb8498de59823962e808bb7c00baa2d5_max_476x317.jpeg"
"168867986","Greenwich","Land","LONDON LAND @, Crookston Road, London, London SE9 1YQ","£500","Guide Price","","","","","","","","LAND FOR SALE IN LONDON BY AUCTION 19TH - 20TH JANUARY","https://www.rightmove.co.uk/properties/168867986#/?channel=COM_BUY","2025-10-31T21:54:00Z","","new","Marketed by Auction House, Covering Cheshire, Staffordshire & Shropshire","","51.463384","0.059714","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281663/168867986/281663_202508131449sq_8i49_copy_2025-10-31_214434_IMG_05_0000_max_476x317.jpeg"
"167103137","Greenwich","Commercial Property","Shooters Hill Transmitter Stoney Alley, Plumstead, SE18","£250,000","","","","26,499 sq. ft.","26499","26499","2462","2462","A Freehold Site extending to Approximately 0.026 Hectares (0.065 Acres)","https://www.rightmove.co.uk/properties/167103137#/?channel=COM_BUY","2025-09-17T15:16:39Z","","price_reduced","Marketed by Keller Williams Oxygen, Covering Nationwide","","51.468042","0.066333","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/244k/243590/167103137/243590_RX633732_IMG_12_0000_max_476x317.jpeg"
