id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"155924690","Stirlingshire","Commercial Property","10 Station Road, Grangemouth, FK3 8DG","£40,000","Guide Price","",""," Prime New Listing. Prime Property Auctions is excited to present this exceptionally rare development opportunity located within a prime location in Grangemouth   (Subject to gaining necessary planning consents) This property has large scope to be kept as a commercial unit or pote...","https://www.rightmove.co.uk/properties/155924690#/?channel=COM_BUY","2024-12-13T12:19:09Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","56.020094","-3.723014","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/155924690/251369_213266268_IMG_07_0002_max_476x317.jpeg"
"163765853","Stirlingshire","Land","Land at 12 Stirling Road, Drymen, G63 0BN","£75,000","Guide Price","","","  - PRIME NEW LISTING. We are excited to present this superb development opportunity featuring detailed planning permission for a two-storey house, ideally situated within a prime location in Drymen.   - Sales Evidence: **8 Stirling Road, Drymen, Stirling, G63 0BN sold for £250...","https://www.rightmove.co.uk/properties/163765853#/?channel=COM_BUY","2025-06-25T10:32:36Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","56.065926","-4.451587","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/163765853/251369_218298532_IMG_10_0000_max_476x317.jpeg"
"167732993","Stirlingshire","Commercial Development","3 Princes Street, Falkirk, FK1 1LS","£225,000","Guide Price","",""," We are excited to present this excellent commercial development opportunity, situated in a prime location in Falkirk.    Property requires full renovation. Sure to appeal to shrewd commercial investors looking for a large unit they can put their own stamp on.    For ...","https://www.rightmove.co.uk/properties/167732993#/?channel=COM_BUY","2025-10-02T17:58:16Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","56.000494","-3.783585","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/167732993/251369_221105330_IMG_26_0000_max_476x317.jpeg"
"169376216","Stirlingshire","Land","Land at Main Street, Avonbridge, FK1 2NG","£25,000","Guide Price","",""," PRIME NEW LISTING. We are excited to present this development plot with planning for 2 semi-detached properties located within a prime location in Avonbridge.   The plot benefits from previous planning permission for two-bedroom semi-detached properties, offering a fantastic op...","https://www.rightmove.co.uk/properties/169376216#/?channel=COM_BUY","2025-11-15T14:51:36Z","","price_reduced","Marketed by Prime Property Auctions (Scotland) Ltd, Glasgow","","55.933837","-3.744816","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_16_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251369/169376216/251369_220089816_IMG_15_0000_max_476x317.jpeg"
"169863182","Stirlingshire","Residential Development","Development of Former William Simpson's Care Home, Old Plean, Stirling FK7","£950,000","Offers Over","","","IMPRESSIVE HISTORIC B LISTED BUILDING BUILT CIRCA 1836 CURRENTLY PRESENTED TO THE MARKET WITH PLANNING PERMISSION FOR 17 APARTMENTS, OFFERING AN IDEAL DEVELOPMENT OPPORTUNITY WITH EASY LINKS TO EDINBURGH, STIRLING AND FALKIRK For sale is the former William Simpson’s Care Home with planni...","https://www.rightmove.co.uk/properties/169863182#/?channel=COM_BUY","2025-12-01T11:16:26Z","","new","Marketed by G & S Properties, Bearsden","","56.061847","-3.871819","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/66k/65710/169863182/65710_34333378_IMG_19_0000_max_476x317.jpeg"
"169764719","Stirlingshire","Industrial Park","Unit 7 , A9 Estate, Abbotsford Industrial Estate, Falkirk, Falkirk, FK2 7YZ","£275,000","Offers in Excess of","","","Abbotsford Business Park is a new industrial estate situated in the north of Falkirk. The estate is accessed from the A9, just north of Bankside and Middlefield Industrial Estates. The premises comprise a mid terraced industrial unit of steel frame construction which benefits from a minimum eave...","https://www.rightmove.co.uk/properties/169764719#/?channel=COM_BUY","2025-11-27T09:17:13Z","","new","Marketed by Ryden LLP, Edinburgh","","56.016281","-3.782847","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/169764719/287741_18650FH_IMG_06_0000_max_476x317.jpeg"
"169750976","Stirlingshire","Land","Fintry Road, Grangemouth, FK3","£65,000","Offers Over","","","Residential building plot in desirable cul-de-sac location with mains services still in place. Approx 439m2 plot size allows for single or 1.5 storey dwelling, subject to local authority planning consents. Contact Gordon Henry, RE/MAX, for details.","https://www.rightmove.co.uk/properties/169750976#/?channel=COM_BUY","2025-11-26T16:58:04Z","","new","Marketed by RE/MAX Property Marketing Centre, Bellshill","","56.000917","-3.711609","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130174/169750976/130174_f62bcce0-f3bf-45c8-8875-f9c00da4dc3a_IMG_14_0000_max_476x317.jpeg"
"157150799","Stirlingshire","Land","Salmon Galore, 3.77 Acres, Balquhidder, Lochearnhead","£39,500","Guide Price","","","Massive waterside plot (3.77 Acres) with huge riverside frontage, FISHING RIGHTS and roadside access in beautiful setting on the banks of the Balvaig River. This amazing Scottish land for sale has been measured at 15,277sqm and is located in one of the most attractive and accessible areas of Sc...","https://www.rightmove.co.uk/properties/157150799#/?channel=COM_BUY","2025-01-21T08:55:00Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","56.35329","-4.34487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b2c651542/157150799/b2c651542ce3eb7910357ef8a0c6e4d3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ac7cbac4/157150799/0ac7cbac474014061384619052f609dd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52670e582/157150799/52670e582d26e03d2ee5e078094cfa43_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2103784be/157150799/2103784bea163672f2508bdc388028a3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f3ab84ba3/157150799/f3ab84ba3707afcaf060cc63517b22ba_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9e2becdc9/157150799/9e2becdc95c73893b7307a309f0e6b60_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ec973974/157150799/4ec9739741fc53f9d9fe2c4790c94f30_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/70844d92a/157150799/70844d92a34cfdad837ded31f618b868_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4c95609b6/157150799/4c95609b60e4e8848bb1c76c8fcc65a7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bc2db5f64/157150799/bc2db5f649522b56e5b779bac358fcfe_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4fbe5e4f/157150799/d4fbe5e4f16187fad9ea84d8c2fa64b1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c4cdd3114/157150799/c4cdd311452cd8901e1f512729a02fc0_max_476x317.jpeg"
"164310653","Stirlingshire","Land","The Salmon Trap, Balquhidder, Lochearnhead, Stirling","£19,000","Guide Price","","","2.12 ACRE plot with FISHING RIGHTS in beautiful setting on the banks of the Balvaig River. This Scottish land for sale has been measured at 8,616sqm (2.12 acres) and is located in one of the most attractive and accessible areas of Scotland. The historic village of Balquhidder is famous as the re...","https://www.rightmove.co.uk/properties/164310653#/?channel=COM_BUY","2025-07-08T15:17:28Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","56.35329","-4.34487","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/164310653/267062_289FH_IMG_12_0000_max_476x317.jpeg"
"166758356","Stirlingshire","Land","The Salmon Trap - Plot 24 , Balquhidder, Lochearnhead, Stirling, FK19 8PB","£18,000","Guide Price","","","0.67 ACRE waterside plot with FISHING RIGHTS in beautiful setting on the banks of the Balvaig River. This Scottish land for sale has been measured at 2750sqm (0.67acres) and is located in one of the most attractive and accessible areas of Scotland. The historic village of Balquhidder is famous a...","https://www.rightmove.co.uk/properties/166758356#/?channel=COM_BUY","2025-09-09T10:36:16Z","","price_reduced","Marketed by Braveheart Auctions Limited, Edinburgh","","56.352112","-4.376971","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/166758356/267062_350FH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/166758356/267062_350FH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/166758356/267062_350FH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/268k/267062/166758356/267062_350FH_IMG_03_0000_max_476x317.jpeg"
"169526168","Stirlingshire","Land","Land at Main Street, Avonbridge, FK1 2NG","£45,000","Guide Price","","","PRIME NEW LISTING. We are excited to present this development plot with planning for 2 semi-detached properties located within a prime location in Avonbridge.","https://www.rightmove.co.uk/properties/169526168#/?channel=COM_BUY","2025-11-20T11:42:16Z","","new","Marketed by Prime Property, Glasgow","","55.93372","-3.74522","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286790/169526168/286790_220089816_IMG_15_0000_max_476x317.jpeg"
