id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"157106288","Newham","Warehouse","Unit 3, International Business Park, Stratford, E15 2GN","POA","","","","Unit 3 International Business Park is a refurbished self contained industrial / logistics unit totaling 53,741 sq ft.","https://www.rightmove.co.uk/properties/157106288#/?channel=COM_LET","2025-01-20T12:14:17Z","","size_change","Marketed by Savills, Margaret Street - Industrial","","51.533696","-0.001446","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/157106288/214130_117672-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/157106288/214130_117672-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/157106288/214130_117672-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214130/157106288/214130_117672-2_IMG_03_0000_max_476x317.jpeg"
"169931294","Newham","Commercial Property","Barking Road, London","£3,333 pcm","","","","** VIEWINGS BY APPOINTMENT ONLY ** McDowalls are delighted to bring to market this commercial property, prominently situated on the ever popular Barking Road. The premises features a spacious ground floor unit with additional basement space, offering an excellent opportunity for Class E ...","https://www.rightmove.co.uk/properties/169931294#/?channel=COM_LET","2025-12-02T16:51:46Z","","new","Marketed by McDowalls, East Ham","","51.530712","0.040922","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/10k/9596/169931294/9596_34337125_IMG_10_0000_max_476x317.jpeg"
"169914308","Newham","Shop","Katharine Road, Forest Gate, E7","£2,083 pcm","","","","Greenlands are pleased to offer this ground-floor with the basement 1300 sq ft commercial unit is situated on busy Katharine Road in the heart of Forest Gate, E7. Offered in shell condition, the premises provide a blank canvas ideal for a variety of businesses looking to design and fit out a spac...","https://www.rightmove.co.uk/properties/169914308#/?channel=COM_LET","2025-12-02T12:35:32Z","","new","Marketed by Greenlands, London","","51.541795","0.037878","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296147/169914308/296147_GRN_004951_IMG_12_0000_max_476x317.jpeg"
"169910768","Newham","Commercial Property","Leamouth Peninsula,  London, E14","£2,584 pcm","","","1","This 1,292 sqft Class E commercial unit is positioned within the vibrant and architecturally renowned London City Island neighbourhood, known for it's strong residential community, cultural attractions, and excellent transport links via Canning Town station.","https://www.rightmove.co.uk/properties/169910768#/?channel=COM_LET","2025-12-02T11:40:43Z","","new","Marketed by JBrown International, London","","51.51311","0.00562","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169910768/254015_7156_IMG_06_0000_max_476x317.jpeg"
"122260313","Newham","Office","Avicenna House, 258-262 Romford Road, London, E7","POA","","","","SERVICED OFFICES TO LET ON FLEXIBLE AGREEMENTS","https://www.rightmove.co.uk/properties/122260313#/?channel=COM_LET","2022-04-11T16:35:54Z","","size_change","Marketed by Taylor Freeman Kataria, Ilford","","51.54591","0.02267","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/41f49dc05/122260313/41f49dc05f7df5e42988fa8cb7053218_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/acfa57c7c/122260313/acfa57c7c4b34e12d6347652542f59e3_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3fff664ae/122260313/3fff664ae798e6356119f6b77a74b860_max_476x317.jpeg"
"169905266","Newham","Commercial Property","Leamouth Peninsula,  London, E14","£3,250 pcm","","","1","A versatile commercial unit located in the soughtafter London City Island development. The space offers a turnkey opportunity for F&B operators while remaining suitable for a wide range of commercial uses, including retail, leisure, wellness, office, and creative studios.","https://www.rightmove.co.uk/properties/169905266#/?channel=COM_LET","2025-12-02T10:04:08Z","","new","Marketed by JBrown International, London","","51.51345","0.00664","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254015/169905266/254015_7154_IMG_07_0000_max_476x317.jpeg"
"169824869","Newham","Retail Property (high street)","The Grove, 124 The Grove, E15","£5,000 pcm","","","","Rare opportunity to acquire highly desirable 989 sq. ft retail unit in the heart of Stratford. Excellent store frontage, high footfall, near transport links. Ground floor, shell condition, suitable for variety of trades. Rent: £60,000 p.a.","https://www.rightmove.co.uk/properties/169824869#/?channel=COM_LET","2025-11-28T14:54:59Z","","new","Marketed by City & Urban (Shoreditch), London","","51.543101","0.003462","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295745/169824869/295745_c90bd7ec-d1d2-46f0-97ac-12b3d0300389_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295745/169824869/295745_c90bd7ec-d1d2-46f0-97ac-12b3d0300389_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295745/169824869/295745_c90bd7ec-d1d2-46f0-97ac-12b3d0300389_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295745/169824869/295745_c90bd7ec-d1d2-46f0-97ac-12b3d0300389_IMG_03_0000_max_476x317.jpeg"
"167473352","Newham","Land","Land at, 83 Churchill Road, Newham, London, E16","£1,250 pcm","","","","Deal for parking multiple cars or use as general open storageExcellent central access to major routesProtected with gated entry for peace of mindRare chance to secure on a flexible basisAvailable for immediate use","https://www.rightmove.co.uk/properties/167473352#/?channel=COM_LET","2025-09-26T12:24:53Z","","price_reduced","Marketed by Whozoo, London","","51.512943","0.036442","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167473352/241562_LON0009D3_IMG_12_0000_max_476x317.jpeg"
"142220312","Newham","Retail Property (high street)","Green Street, London, E13","£2,500 pcm","","","","TO LET - 'E' CLASS COMMERCIAL UNIT WITH FRONT FORECOURT AND REAR GARDEN","https://www.rightmove.co.uk/properties/142220312#/?channel=COM_LET","2023-11-21T09:30:31Z","","new","Marketed by Taylor Freeman Kataria, Ilford","","51.53326","0.03664","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211298/142220312/211298_465GS_IMG_02_0000_max_476x317.jpeg"
"168851279","Newham","Retail Property (high street)","Market Village, 70-73 The Mall, Stratford Centre, London, E15 1XQ","£1,098 pcm","From","","","Several units available within the heart of the vibrant and busy Stratford Market Village","https://www.rightmove.co.uk/properties/168851279#/?channel=COM_LET","2025-10-31T15:27:30Z","","size_change","Marketed by Dobbin & Sullivan, London","","51.54193","0.000836","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/168851279/97157_233122-2_IMG_07_0000_max_476x317.jpeg"
"169521659","Newham","Serviced Office","London, Coppermaker Square, 1 Cherry Park Lane, Coppermaker, Ground and First Floor, E20 1NX","£195 pcm","From","","4","Flexible coworking in The Conductor. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/169521659#/?channel=COM_LET","2025-11-20T10:34:21Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.54176","-0.00607","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521659/129853_UKbwp10576_IMG_03_0000_max_476x317.jpeg"
"169521269","Newham","Serviced Office","London, Coppermaker Square, 1 Cherry Park Lane, Coppermaker, Ground and First Floor, E20 1NX","£139 pcm","From","","4","Enjoy unlimited office access at The Conductor. Work in modern, light-filled spaces with scenic green views and top business facilities.","https://www.rightmove.co.uk/properties/169521269#/?channel=COM_LET","2025-11-20T10:28:58Z","","new","Marketed by IW Group Services (UK) Limited, Regus","","51.54176","-0.00607","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521269/129853_UKbwg10576_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521269/129853_UKbwg10576_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521269/129853_UKbwg10576_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521269/129853_UKbwg10576_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/169521269/129853_UKbwg10576_IMG_01_0000_max_476x317.jpeg"
"169503515","Newham","Retail Property (Shopping Centre)","The Shopping Hall, Myrtle Road, London, E6","£2,500 pcm","","","","Retail/Leisure Unit Available Now - 957 sq.ft. - Unit fitted to shell - Crittall style window shop fronts - Enquire now","https://www.rightmove.co.uk/properties/169503515#/?channel=COM_LET","2025-11-19T17:09:16Z","","new","Marketed by DRANSFIELD PROPERTIES LIMITED, Dransfield Properties","","51.5338","0.05195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/169503515/80733_EH10_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/169503515/80733_EH10_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/169503515/80733_EH10_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/169503515/80733_EH10_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/169503515/80733_EH10_IMG_04_0000_max_476x317.jpeg"
"142695230","Newham","Retail Property (Shopping Centre)","Unit 4, The Market Place, Myrtle Road, London, E6","£2,917 pcm","","","","Brand New Retail/Leisure Unit Available Now - 957 sq.ft. - Unit fitted to shell - Crittall style window shop fronts - Enquire now","https://www.rightmove.co.uk/properties/142695230#/?channel=COM_LET","2023-12-05T12:13:42Z","","size_change","Marketed by DRANSFIELD PROPERTIES LIMITED, Dransfield Properties","","51.5338","0.05195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_02_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_03_0003_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/81k/80733/142695230/80733_EH01_IMG_10_0000_max_476x317.jpeg"
"169445636","Newham","Distribution Warehouse","Unit C,  Prologis Park, Twelvetrees Crescent, Bromley-by Bow, E3 3JG","POA","","","","Detached Modern Warehouse / Industrial Unit","https://www.rightmove.co.uk/properties/169445636#/?channel=COM_LET","2025-11-18T13:18:44Z","","new","Marketed by JLL, London - Industrial","","51.521596","-0.003127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/169445636/263627_302429-2_IMG_17_0000_max_476x317.jpeg"
"169439942","Newham","Land","Land at Oriental Road, London, E16 2BZ","£4,500 pcm","","","","A versatile open storage site positioned beneath the DLR viaduct in a well-connected East London location, ideal for open air storage","https://www.rightmove.co.uk/properties/169439942#/?channel=COM_LET","2025-11-18T11:40:31Z","","new","Marketed by Dobbin & Sullivan, London","","51.503536","0.041769","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/98k/97157/169439942/97157_336118-2_IMG_06_0000_max_476x317.jpeg"
"169413644","Newham","Warehouse","Unit D, Project Park, North Crescent, Canning Town, London, E16","POA","","","","The property comprises a mid-terrace industrial/warehouse unit providing clear warehouse accommodation throughout and access via a sectional up and over loading door plus separate personnel entrance. The unit benefits from an ancillary office and WC facilities. Externally, the property benefits f...","https://www.rightmove.co.uk/properties/169413644#/?channel=COM_LET","2025-11-17T15:57:25Z","","new","Marketed by Kemsley LLP, Rainham","","51.523922","-0.001055","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264542/169413644/264542_8907358LH_IMG_07_0000_max_476x317.jpeg"
