id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"156014822","Birmingham","Warehouse","Catalyst Park, Drews Lane, Birmingham, B8 2ET","POA","","","","New Speculative Industrial / Warehouse Units - Available Q4 2025","https://www.rightmove.co.uk/properties/156014822#/?channel=COM_LET","2024-12-17T12:27:53Z","","new","Marketed by Savills, Birmingham Industrial","","52.501492","-1.831474","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214100/156014822/214100_274472-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214100/156014822/214100_274472-2_IMG_00_0000_max_476x317.jpeg"
"169957064","Birmingham","Warehouse","Great Brook Street, Nechells, Birmingham, B7 4EN","£6,250 pcm","","","","An Industrial Warehouse Premises Located Close to Birmingham City Centre and Just Outside of the CAZ.","https://www.rightmove.co.uk/properties/169957064#/?channel=COM_LET","2025-12-03T12:53:28Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.486482","-1.879235","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169957064/103822_345559-2_IMG_10_0000_max_476x317.jpeg"
"722869804368784","Birmingham","Office","Nelson House, Edward Street, Birmingham, B1 2RA","£6,637 pcm","","","","A Grade 2 listed building, refurbished to retain many period features. Located within a short walk of Brindleyplace and Birmingham’s CBD.","https://www.rightmove.co.uk/properties/722869804368784#/?channel=COM_LET","2025-12-03T12:03:09Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.48062","-1.914061","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869804368784/250754_211297-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869804368784/250754_211297-2_IMG_01_0000_max_476x317.jpeg"
"722869378624912","Birmingham","Office","Alpha Studios, Suffolk Street Queensway, Birmingham, B1 1TT","POA","","","","Alpha Studios, a turnkey office facility on the 9th, 15th, 18th and 19th floors, provide occupiers with fully fitted flexible accommodation.","https://www.rightmove.co.uk/properties/722869378624912#/?channel=COM_LET","2025-12-03T11:55:09Z","","size_change","Marketed by CBRE - Birmingham, Birmingham Office","","52.477068","-1.902878","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869378624912/250754_112114-2_IMG_15_0000_max_476x317.jpeg"
"722869298930753","Birmingham","Office","ICentrum At Innovation Birmingham, Holt Street, Birmingham, B7 4BP","£10,698 pcm","","","","iCentrum offers contemporary coworking, flexible office space and serviced offices all designed with digital tech businesses in mind.","https://www.rightmove.co.uk/properties/722869298930753#/?channel=COM_LET","2025-12-03T11:55:07Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.489243","-1.888163","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869298930753/250754_111763-2_IMG_14_0000_max_476x317.jpeg"
"722869238115393","Birmingham","Office","85-89 Colmore Row, Birmingham, B3 2BB","£21,262 pcm","","","","85-89 Colmore Row offers Grade A office space set within a Grade II listed building, providing period presence and modern accommodation.","https://www.rightmove.co.uk/properties/722869238115393#/?channel=COM_LET","2025-12-03T11:52:09Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.481082","-1.900852","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869238115393/250754_111634-2_IMG_09_0000_max_476x317.jpeg"
"722869242309376","Birmingham","Office","Aqueous 3, Aston Cross Business Village, Rocky Lane, Birmingham, B6 5RQ","£35,451 pcm","","","","Aqueous 3 is a multi-let office building offering occupier’s flexible accommodation according to their requirements.","https://www.rightmove.co.uk/properties/722869242309376#/?channel=COM_LET","2025-12-03T11:52:04Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.497855","-1.880319","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1d49059ea/722869242309376/1d49059eaf8cf1c2a2f939e20f42d08e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9b8736292/722869242309376/9b873629278cb684e77960cb057511bc_max_476x317.jpeg"
"722869275861105","Birmingham","Office","14 Corporation Street, Birmingham, B2 4RN","£23,479 pcm","","","","14 Corporation Street has undergone a full refurbishment including a fully remodelled reception together with open plan flexible floorplates","https://www.rightmove.co.uk/properties/722869275861105#/?channel=COM_LET","2025-12-03T11:52:03Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.479296","-1.897234","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869275861105/250754_111713-2_IMG_00_0000_max_476x317.jpeg"
"722869101822432","Birmingham","Office","19 Cornwall, Birmingham, Birmingham, B3 2DT","POA","","","","19 Cornwall is a unique back to frame redevelopment in the heart of Birmingham's Traditional Core.","https://www.rightmove.co.uk/properties/722869101822432#/?channel=COM_LET","2025-12-03T11:50:06Z","","new","Marketed by CBRE - Birmingham, Birmingham Office","","52.483369","-1.901157",""
"169952396","Birmingham","Office","36 Hylton Street, Birmingham, B18 6HN","£500 pcm","","","","Self-Contained Office Suite on Second Floor","https://www.rightmove.co.uk/properties/169952396#/?channel=COM_LET","2025-12-03T11:43:11Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.491033","-1.913151","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169952396/103822_152954-2_IMG_10_0000_max_476x317.jpeg"
"722867581387152","Birmingham","Distribution Warehouse","Unit 2B, Forward Park Trading Estate, Bagot Street, Birmingham, B4 7BA","POA","","","","Modern Industrial / Warehouse unit within close proximity of Birmingham City Centre & A38 Aston Expressway","https://www.rightmove.co.uk/properties/722867581387152#/?channel=COM_LET","2025-12-03T11:39:09Z","","new","Marketed by Garrison Real Estate Limited, Solihull","","52.489063","-1.893195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867581387152/280895_308594-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867581387152/280895_308594-2_IMG_01_0000_max_476x317.jpeg"
"722867585756321","Birmingham","Distribution Warehouse","Unit 3, Forward Park Trading Estate, Bagot Street, Birmingham, B4 7BA","POA","","","","Modern Industrial / Warehouse unit within close proximity of Birmingham City Centre & A38 Aston Expressway.","https://www.rightmove.co.uk/properties/722867585756321#/?channel=COM_LET","2025-12-03T11:39:06Z","","new","Marketed by Garrison Real Estate Limited, Solihull","","52.489063","-1.893195","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/281k/280895/722867585756321/280895_316378-2_IMG_00_0000_max_476x317.jpeg"
"169946528","Birmingham","Retail Property (high street)","Bearwood Road, Smethwick, West Midlands, B66","£795 pcm","","","","Commercial premises located on Bearwood busy high street, with easy access from Birmingham City Centre, The High Street comprises of offices, retail leisure and residential with Subway, Greggs, Barclays, Argos, Bars and restaurants, The premises comprises of a ground floor office space...","https://www.rightmove.co.uk/properties/169946528#/?channel=COM_LET","2025-12-03T10:11:25Z","","new","Marketed by Royal Estates Commercial, Nationwide","","52.4794","-1.97007","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227480/169946528/227480_682_IMG_06_0000_max_476x317.jpeg"
"169933547","Birmingham","Retail Property (high street)","Unit 12 Park Regis, 1 Islington Row Middleway, Birmingham, B15 1LD","£2,500 pcm","","","","High Visibility, Dual Fronted Retail/Leisure Unit with Large Openings, Open Plan Area and Versatile Upper Floor Suited to a Range of Uses","https://www.rightmove.co.uk/properties/169933547#/?channel=COM_LET","2025-12-02T17:25:22Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.472702","-1.917325","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169933547/103822_337011-2_IMG_06_0000_max_476x317.jpeg"
"169915631","Birmingham","Retail Property (high street)","Unit 21 Central Square, High Street, Erdington, B23 6RY","£1,000 pcm","","","","Prominent Retail Unit within High Street Shopping Centre","https://www.rightmove.co.uk/properties/169915631#/?channel=COM_LET","2025-12-02T12:53:39Z","","size_change","Marketed by Siddall Jones Ltd, Birmingham","","52.523889","-1.838611","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169915631/103822_328217-2_IMG_07_0000_max_476x317.jpeg"
"169914014","Birmingham","Shop","Stratford Road, Birmingham, B11","£2,000 pcm","","3","1","A Leasehold Shop with accommodation Lease for Sale. Located at a prime location on the main Stratford Road in a densely populated area of Sparkhill. At present trading as a ladies clothing accessories wholesaler and retailer but could be used for various trades subject to planning permission. Detail","https://www.rightmove.co.uk/properties/169914014#/?channel=COM_LET","2025-12-02T12:35:36Z","","new","Marketed by Golden Estates, Birmingham","","52.45361","-1.8659","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169914014/294386_494Strat_IMG_05_0000_max_476x317.jpeg"
"169913768","Birmingham","Office","Wordsworth Road, Birmingham, B10","£600 pcm","","","","Ground Floor Office available to Let on the Main Road inclusive of utility and heating bills. It is offered on flexible terms. Ideal for Accountant's office, Lettings office and other similar Businesses. Detail as follows: -","https://www.rightmove.co.uk/properties/169913768#/?channel=COM_LET","2025-12-02T12:29:00Z","","new","Marketed by Golden Estates, Birmingham","","52.46724","-1.85656","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169913768/294386_71word_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169913768/294386_71word_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169913768/294386_71word_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/295k/294386/169913768/294386_71word_IMG_03_0000_max_476x317.jpeg"
"169912349","Birmingham","Warehouse","129 Phillips Street, Aston, Birmingham, B6 4PT","£2,292 pcm","","","","Modern Warehouse Premises with Two Storey Office & Secure Yard","https://www.rightmove.co.uk/properties/169912349#/?channel=COM_LET","2025-12-02T12:03:04Z","","new","Marketed by Siddall Jones Ltd, Birmingham","","52.495255","-1.888496","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/104k/103822/169912349/103822_305699-2_IMG_08_0000_max_476x317.jpeg"
"169910480","Birmingham","Retail Property (high street)","Unit 20, High Street, Longbridge, Birmingham, B31 2UQ","£4,583 pcm","","","","Available due to abortive negotiations: prime high street retail unit","https://www.rightmove.co.uk/properties/169910480#/?channel=COM_LET","2025-12-02T11:35:45Z","","new","Marketed by Avison Young (UK) Limited, Retail","","52.395065","-1.985002","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234059/169910480/234059_344883-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234059/169910480/234059_344883-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234059/169910480/234059_344883-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234059/169910480/234059_344883-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234059/169910480/234059_344883-2_IMG_04_0000_max_476x317.jpeg"
"722869603258817","Birmingham","Office","Multistory, 2 The Priory Queensway, Birmingham, B4 6BS","POA","","","","Multistory is a progressive and intelligently designed workplace offering an unsurpassed occupier experience.","https://www.rightmove.co.uk/properties/722869603258817#/?channel=COM_LET","2025-12-03T11:59:09Z","","size_change","Marketed by CBRE - Birmingham, Birmingham Office","","52.482967","-1.895523","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_08_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_10_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_12_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250754/722869603258817/250754_154468-2_IMG_14_0000_max_476x317.jpeg"
