id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169959614","Rutland","Office","First Floor Offices, 12a Mill Street, Oakham LE15 6EA","£625 pcm","","","","512 sq. ft.","512","512","48","48","First floor suite of 3 office rooms To Let in Oakham Town Centre location £7,500 per annum - No vat 512 Sq Ft","https://www.rightmove.co.uk/properties/169959614#/?channel=COM_LET","2025-12-03T13:54:43Z","","size_change","Marketed by P&F, Commercial","","52.668697","-0.727205","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169959614/154133_34338592_IMG_07_0000_max_476x317.jpeg"
"169903403","Rutland","Commercial Property","Unit 3 Old Station Yard, Ashwell, Oakham LE15 7SP","£521 pcm","","","","508 sq. ft.","508","508","47","47","Versatile unit TO LET in Ashwell. Suitable for Retail, Office, Workshop or storage use in convenient location. £6,250 + VAT per annum 508 sq ft (47.19 sq m)","https://www.rightmove.co.uk/properties/169903403#/?channel=COM_LET","2025-12-02T09:39:14Z","","new","Marketed by P&F, Commercial","","52.715446","-0.726123","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169903403/154133_34335539_IMG_05_0000_max_476x317.jpeg"
"169832471","Rutland","Warehouse","Unit To Let - Hooby Lodge Farm, Stretton, Oakham LE15 7RH","£2,083 pcm","","","","5,250 sq. ft.","5250","5250","488","488","Circa 5250 Sq Ft unit to Let Close to the A1 - Stretton £25,000 per annum","https://www.rightmove.co.uk/properties/169832471#/?channel=COM_LET","2025-11-28T16:34:49Z","","new","Marketed by P&F, Commercial","","52.743907","-0.628849","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a144e254/169832471/7a144e254c0475cef8a95d1e06e82641_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b957867a/169832471/2b957867a2185d8981816ced5ac95f0f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c612e8f8/169832471/7c612e8f838a73ad52c6f64eca1d4b29_max_476x317.jpeg"
"169655234","Rutland","Warehouse","Wireless Hill, South Luffenham","POA","","","","","","","","","The property comprises warehousing / light industrial unit within a building of steel portal frame construction with a tarmacadam surfaces floor accessed by roller shutter doors at each end of the building. The unit is available to let as a whole or subdivided using partitions to form smaller are...","https://www.rightmove.co.uk/properties/169655234#/?channel=COM_LET","2025-11-24T14:24:49Z","","new","Marketed by Richardson Surveyors, Stamford","","52.608181","-0.598379","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1f40e7b03/169655234/1f40e7b03e31efd275e5f1925c261527_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/76c1e6e45/169655234/76c1e6e45bf9e60c9992d9211e815543_max_476x317.jpeg"
"169567151","Rutland","Commercial Property","Melton Road, Oakham, Rutland","£792 pcm","","","","","","","","","TO LET ON A LEASE GROUND-FLOOR SHOP PREMISES WITHIN PRESTIGIOUS PERIOD PROPERTY CLOSE TO TOWN CENTRE","https://www.rightmove.co.uk/properties/169567151#/?channel=COM_LET","2025-11-21T11:39:30Z","","price_reduced","Marketed by Murray Estate Agents & Chartered Surveyors., Oakham","","52.670745","-0.733917","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/be5795c3c/169567151/be5795c3c2cdd42c6847c44e6b870911_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5d74b45f9/169567151/5d74b45f9990dbc3e1d84282f19cd540_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/25bc575ad/169567151/25bc575ad5e3fe0dbb5fedd9cbf70252_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9daaa11e0/169567151/9daaa11e03b5b06ea95a31b65b21e884_max_476x317.jpeg"
"169361246","Rutland","Retail Property (high street)","41 High Street Oakham LE15 6AH","£2,292 pcm","","","","1,200 sq. ft.","1200","1200","111","111","Prominent retail unit to Let in Oakham Town Centre £27,500 per annum + VAT 1,200 Sq ft Retail 734 Office/Storage","https://www.rightmove.co.uk/properties/169361246#/?channel=COM_LET","2025-11-14T17:04:20Z","","new","Marketed by P&F, Commercial","","52.669891","-0.72971","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169361246/154133_34307223_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169361246/154133_34307223_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169361246/154133_34307223_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169361246/154133_34307223_IMG_03_0000_max_476x317.jpeg"
"169319024","Rutland","Retail Property (high street)","Former Cafe, Church Street, Oakham LE15 6AA","£1,000 pcm","","","","496 sq. ft.","496","496","46","46","Cafe'/Retail space TO LET Oakham Town Centre £12,000 per annum + VAT 496 Sq Ft plus Rear Courtyard","https://www.rightmove.co.uk/properties/169319024#/?channel=COM_LET","2025-11-13T17:20:47Z","","new","Marketed by P&F, Commercial","","52.670623","-0.729673","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d5f16ddb8/169319024/d5f16ddb825349b8d6399b4614e04477_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d02560439/169319024/d0256043957773abfb4968cfc91df704_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eac8e7d64/169319024/eac8e7d641717a39abee7bf0a0814af0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c6fb8c1f9/169319024/c6fb8c1f9d1a147de43d736e84ec1098_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4ae81e3ab/169319024/4ae81e3ab8146532a8081db8e7c098a5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7a071a6cf/169319024/7a071a6cfc6937456552f29a766dc318_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e859a0284/169319024/e859a0284a2edccb559a50fcff8b1871_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0cfdc1050/169319024/0cfdc1050f0bbeaea0ce629e633f830b_max_476x317.jpeg"
"169029845","Rutland","Retail Property (high street)","5 Market Place, Oakham, LE15 6DT","£1,833 pcm","","","","1,298 sq. ft.","1298","1298","121","121","Prime Retail Unit on Market Place Oakham Rent £22,000 + VAT per annum 1,298 Sq Ft (120.61 Sq m)","https://www.rightmove.co.uk/properties/169029845#/?channel=COM_LET","2025-11-05T16:48:44Z","","new","Marketed by P&F, Commercial","","52.670013","-0.72704","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029845/154133_34288328_IMG_07_0000_max_476x317.jpeg"
"169029740","Rutland","Retail Property (high street)","7 Market Place, Oakham LE15 6DT","£2,083 pcm","","","","1,434 sq. ft.","1434","1434","133","133","Prime Retail Unit on Market Place Oakham Rent £25,000 + VAT per annum 1,434 Sq Ft (133.28 Sq m)","https://www.rightmove.co.uk/properties/169029740#/?channel=COM_LET","2025-11-05T16:46:52Z","","new","Marketed by P&F, Commercial","","52.670078","-0.727149","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029740/154133_34288322_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029740/154133_34288322_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/169029740/154133_34288322_IMG_02_0000_max_476x317.jpeg"
"168843782","Rutland","Commercial Property","Old Station Yard, Ashwell","£125 pcm","","","","","","","","","Storage containers available in Ashwell, Rutland. CCTV and security on-site.","https://www.rightmove.co.uk/properties/168843782#/?channel=COM_LET","2025-10-31T13:46:15Z","","new","Marketed by Osprey, Oakham","","52.71549","-0.72615","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113038/168843782/113038_101612007876_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/114k/113038/168843782/113038_101612007876_IMG_01_0000_max_476x317.jpeg"
"168791342","Rutland","Storage","Station Road, LE15","£220 pcm","","1","","120 sq. ft.","120","120","11","11","Storage Unit and Yard","https://www.rightmove.co.uk/properties/168791342#/?channel=COM_LET","2025-10-30T12:49:21Z","","new","Marketed by BOWDEN PROPERTIES LIMITED, Rutland","","52.58545","-0.71645","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290411/168791342/290411_FS1196_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290411/168791342/290411_FS1196_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290411/168791342/290411_FS1196_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290411/168791342/290411_FS1196_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/291k/290411/168791342/290411_FS1196_IMG_06_0000_max_476x317.jpeg"
"165214457","Rutland","Retail Property (high street)","Shop to Let, 36 High St, Oakham LE15 6AL","£1,250 pcm","","","","936 sq. ft.","936","936","87","87","High Street Retail Outlet - Oakham Town Centre Rent £15,000 per annum 936 Sq Ft","https://www.rightmove.co.uk/properties/165214457#/?channel=COM_LET","2025-08-01T10:03:34Z","","price_reduced","Marketed by P&F, Commercial","","52.669582","-0.729258","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/165214457/154133_33552408_IMG_14_0000_max_476x317.jpeg"
"168491345","Rutland","Office","Steadfold Lane, PE9","£1,375 pcm","","","2","840 sq. ft.","840","840","78","78","An opportunity to rent an open plan office space within a former stone milling barn with a gross internal area of 63 sq m (688 sq ft). The office benefits from good internet connection at Tinwell Business Park, Stamford.","https://www.rightmove.co.uk/properties/168491345#/?channel=COM_LET","2025-10-22T15:51:04Z","","new","Marketed by Ceres Property LLP, Stamford","","52.65012","-0.53362","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/63b3f9dc5/168491345/63b3f9dc50e17ce8e64a274fc05cda95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e4ac1486b/168491345/e4ac1486b4328d4b5d79e6b791bf6cc7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1daf3965e/168491345/1daf3965e3a8aaa8d894c0611085277c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a960fc991/168491345/a960fc9912f996ad508377d4e3cbba10_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/670bdaf2c/168491345/670bdaf2c044dc9f005efd7d9a116b95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c8a95d2e0/168491345/c8a95d2e05c160580ac10bc6ab0126f3_max_476x317.jpeg"
"168403697","Rutland","Retail Property (high street)","1 Burley Corner High Street, Burley Corner, Oakham LE15 6DU","£1,563 pcm","","","","760 sq. ft.","760","760","71","71","High profile prime retail location on Oakham High Street Rent £18,750 per annum 760 Sq Ft Double Aspect","https://www.rightmove.co.uk/properties/168403697#/?channel=COM_LET","2025-10-20T17:02:50Z","","new","Marketed by P&F, Commercial","","52.669612","-0.726759","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/168403697/154133_34253265_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/168403697/154133_34253265_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/168403697/154133_34253265_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/168403697/154133_34253265_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/168403697/154133_34253265_IMG_02_0000_max_476x317.jpeg"
"168255737","Rutland","Pub","Lord Nelson 11 Market Place, Oakham, LE15 6DT","Offers Invited","","","","","","","","","Character pub in sought after Rutland market town available on new Free of Tie Lease","https://www.rightmove.co.uk/properties/168255737#/?channel=COM_LET","2025-10-16T12:25:54Z","","new","Marketed by Everard Cole Ltd, Nottingham","","52.670202","-0.727118","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229958/168255737/229958_33957378-2c76-4116-82d6-430fe67da023_IMG_06_0000_max_476x317.jpeg"
"167783366","Rutland","Commercial Property","Unit 1 and Yard, Old Station Yard, Ashwell, Oakham LE15 7SP","£1,100 pcm","","","","610 sq. ft.","610","610","57","57","Versatile unit plus hard standing land TO LET in Ashwell Rent £13,200 + VAT for Unit and Yard 610 Sq Ft Unit with 0.25 Acre adjoining land","https://www.rightmove.co.uk/properties/167783366#/?channel=COM_LET","2025-10-03T16:31:47Z","","new","Marketed by P&F, Commercial","","52.715316","-0.72596","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/155k/154133/167783366/154133_34216569_IMG_08_0000_max_476x317.jpeg"
