id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"162469391","Norfolk","Serviced Office","Norwich, 30 Crown Rd, NR1 3DT","£1,159 pcm","From","","4","215–28,675 sq. ft.","215","28675","20","2664","Private office space for 4 in Spaces Norwich, Townshend House. Fully flexible, 24/7 access, secure, ergonomic furniture and all-inclusive services included. ","https://www.rightmove.co.uk/properties/162469391#/?channel=COM_LET","2025-05-27T13:03:07Z","","size_change","Marketed by IW Group Services (UK) Limited, Spaces","","52.62845","1.29894","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/69k/68859/162469391/68859_UK4ws8536_IMG_02_0000_max_476x317.jpeg"
"723054941168337","Norfolk","Light Industrial","Parcels A, B and C, Port of Kings Lynn, Kings Lynn, PE30 2ET","£18,005 pcm","","","","21,780–216,058 sq. ft.","21780","216058","2023","20072","Open Storage Land","https://www.rightmove.co.uk/properties/723054941168337#/?channel=COM_LET","2025-12-04T14:53:14Z","","new","Marketed by Savills, Peterborough","","52.758871","0.39655","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/723054941168337/214124_278709-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/723054941168337/214124_278709-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/723054941168337/214124_278709-2_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/723054941168337/214124_278709-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214124/723054941168337/214124_278709-2_IMG_04_0000_max_476x317.jpeg"
"77670065","Norfolk","Office","DBH7, Diss Business Hub, Hopper Way, Diss, Norfolk, IP22 4GT","£409 pcm","","","","258 sq. ft.","258","258","24","24","Modern office space within Diss Business Hub available on flexible terms. Rent inclusive of utilities including superfast internet access. Ample car parking onsite and just a few minutes walk from Diss mainline train station. ","https://www.rightmove.co.uk/properties/77670065#/?channel=COM_LET","2018-12-05T14:11:18Z","","new","Marketed by Reads Property Developments Limited, Diss","","52.37409","1.1277","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/77670065/110863_DBH7_IMG_13_0000_max_476x317.jpeg"
"44035219","Norfolk","Office","Unit 4D Office 2, Wymondham Business Centre, Eleven Mile Lane, NR18 9JL","£338 pcm","","","","162 sq. ft.","162","162","15","15","Wymondham Business Centre is located a FEW MINUTES SOUTH of Wymondham town and having FRONTAGE to the B1172 and its junction with Eleven Mile Lane. The A11 TRUNK ROAD is only a few minutes away connecting at the Spooners Row intersection.","https://www.rightmove.co.uk/properties/44035219#/?channel=COM_LET","2014-04-23T13:32:26Z","","new","Marketed by Reads Property Developments Limited, Diss","","52.54619","1.08092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/44035219/110863_4DO2Wymondham_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/44035219/110863_4B_Wymondham_BC_NR189LR_IMG_10_0000_max_476x317.jpg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/44035219/110863_4DO2Wymondham_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/111k/110863/44035219/110863_4DO2Wymondham_IMG_13_0000_max_476x317.png"
"169949954","Norfolk","Warehouse","Units 5 9 9A & 10,Hall Farm Workshops, Morningthorpe, Norwich, NR15 2LJ","POA","","","","330–680 sq. ft.","330","680","31","63","Light Industrial / Industrial / Industrial / Storage / Rural Business Space To Let, Norwich","https://www.rightmove.co.uk/properties/169949954#/?channel=COM_LET","2025-12-03T11:04:37Z","","new","Marketed by Bidwells LLP, Norwich","","52.50021","1.26712","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949954/286400_340172-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949954/286400_340172-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949954/286400_340172-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949954/286400_340172-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949954/286400_340172-2_IMG_04_0001_max_476x317.jpeg"
"169949510","Norfolk","Office","4 Woolgate Court, St. Benedicts Street, Norwich, NR2 4AP","POA","","","","584–2,328 sq. ft.","584","2328","54","216","MODERN OFFICES IN AN ATTRACTIVE COURTYARD DEVELOPMENT","https://www.rightmove.co.uk/properties/169949510#/?channel=COM_LET","2025-12-03T10:57:05Z","","new","Marketed by Bidwells LLP, Norwich","","52.631752","1.287472","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949510/286400_345483-2_IMG_11_0000_max_476x317.jpeg"
"169949177","Norfolk","Office","Joseph King House, Horsham St Faith, Norwich, NR10 3JU","POA","","","","2,110–4,468 sq. ft.","2110","4468","196","415","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169949177#/?channel=COM_LET","2025-12-03T10:50:52Z","","new","Marketed by Bidwells LLP, Norwich","","52.68885","1.27682","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949177/286400_341431-2_IMG_11_0000_max_476x317.jpeg"
"169949045","Norfolk","Office","1 Prince Of Wales Road, Norwich, NR1 1LB","POA","","","","2,848 sq. ft.","2848","2848","265","265","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169949045#/?channel=COM_LET","2025-12-03T10:49:14Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.629607","1.299681","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169949045/286400_341059-2_IMG_09_0000_max_476x317.jpeg"
"169948925","Norfolk","Office","Norvic House, 29-33 Chapel Field Road, Norwich, NR2 1RP","POA","","","","2,809–24,567 sq. ft.","2809","24567","261","2282","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169948925#/?channel=COM_LET","2025-12-03T10:48:00Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.627068","1.285886","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948925/286400_340668-2_IMG_06_0000_max_476x317.jpeg"
"169948832","Norfolk","Office","2 Surrey Street, Norwich, NR1 3NX","POA","","","","2,097 sq. ft.","2097","2097","195","195","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169948832#/?channel=COM_LET","2025-12-03T10:46:24Z","","new","Marketed by Bidwells LLP, Norwich","","52.624199","1.29405","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948832/286400_340336-2_IMG_08_0000_max_476x317.jpeg"
"157095404","Norfolk","Serviced Office","Woodbastwick Road, NR13","£806 pcm","","","8","295 sq. ft.","295","295","27","27","Welcome to Blofield Business Centre. We offer flexible office space to suit businesses of all sizes. Whether you're a one-man-band or a team of ten, we can provide a relaxed but professional working environment. We currently have one medium office available, suitable for 4-7 professionals.","https://www.rightmove.co.uk/properties/157095404#/?channel=COM_LET","2025-01-20T09:43:52Z","","size_change","Marketed by Blofield Business Centre Limited, Norwich","","52.64837","1.44296","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN12_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN12_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN12_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/285k/284921/157095404/284921_BBCN2_IMG_10_0000_max_476x317.jpeg"
"169948700","Norfolk","Office","Second Floor 11-13 Prince Of Wales Road, Norwich, NR1 1BD","POA","","","","1,813–3,935 sq. ft.","1813","3935","168","366","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169948700#/?channel=COM_LET","2025-12-03T10:43:53Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.629253","1.299825","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948700/286400_340250-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948700/286400_340250-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948700/286400_340250-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948700/286400_340250-2_IMG_03_0000_max_476x317.jpeg"
"169948040","Norfolk","Office","Third Floor Part Rear (B) Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD","POA","","","","4,170 sq. ft.","4170","4170","387","387","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169948040#/?channel=COM_LET","2025-12-03T10:33:41Z","","new","Marketed by Bidwells LLP, Norwich","","52.629588","1.297739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169948040/286400_340369-2_IMG_07_0000_max_476x317.jpeg"
"169947977","Norfolk","Office","Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD","POA","","","","894–10,216 sq. ft.","894","10216","83","949","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169947977#/?channel=COM_LET","2025-12-03T10:32:49Z","","new","Marketed by Bidwells LLP, Norwich","","52.629588","1.297739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947977/286400_338644-2_IMG_07_0000_max_476x317.jpeg"
"169947905","Norfolk","Office","Third Floor Part Rear (A) Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD","POA","","","","894 sq. ft.","894","894","83","83","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169947905#/?channel=COM_LET","2025-12-03T10:31:30Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.629588","1.297739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947905/286400_340372-2_IMG_07_0000_max_476x317.jpeg"
"169947860","Norfolk","Office","2nd Floor Part Rear Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD","POA","","","","1,471 sq. ft.","1471","1471","137","137","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169947860#/?channel=COM_LET","2025-12-03T10:30:51Z","","new","Marketed by Bidwells LLP, Norwich","","52.629588","1.297739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947860/286400_340371-2_IMG_07_0000_max_476x317.jpeg"
"169947761","Norfolk","Office","2nd Floor Front Lawrence House, 5 St Andrews Hill, Norwich, NR2 1AD","POA","","","","3,681 sq. ft.","3681","3681","342","342","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169947761#/?channel=COM_LET","2025-12-03T10:29:57Z","","new","Marketed by Bidwells LLP, Milton Keynes","","52.629588","1.297739","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169947761/281036_340370-2_IMG_07_0000_max_476x317.jpeg"
"169947527","Norfolk","Warehouse","Imperial Way, Horsham St. Faith, Norwich, NR10 3GJ","POA","","","","20,000–650,000 sq. ft.","20000","650000","1858","60387","Premier Employment and Aviation Business Destination","https://www.rightmove.co.uk/properties/169947527#/?channel=COM_LET","2025-12-03T10:26:17Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.68151","1.285126","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947527/286400_232053-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947527/286400_232053-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947527/286400_232053-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947527/286400_232053-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947527/286400_232053-2_IMG_04_0000_max_476x317.jpeg"
"169947365","Norfolk","Warehouse","120 Ber Street, Norwich, NR1 3ES","POA","","","","6,269 sq. ft.","6269","6269","582","582","Industrial / Office / Industrial / Industrial / Storage To Let, Norwich","https://www.rightmove.co.uk/properties/169947365#/?channel=COM_LET","2025-12-03T10:24:02Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.623585","1.298659","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947365/286400_340374-2_IMG_06_0000_max_476x317.jpeg"
"169947158","Norfolk","Office","Lakeside 400,Old Chapel Way, 400 Broadland Business Park, Norwich, NR7 0WG","POA","","","","8,622–26,404 sq. ft.","8622","26404","801","2453","Office To Let, Norwich","https://www.rightmove.co.uk/properties/169947158#/?channel=COM_LET","2025-12-03T10:20:45Z","","size_change","Marketed by Bidwells LLP, Norwich","","52.629383","1.371779","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947158/286400_340218-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947158/286400_340218-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286400/169947158/286400_340218-2_IMG_02_0000_max_476x317.jpeg"
