id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"152191676","Eastleigh","Office","Gateway House, Tollgate, Chandlers Ford, SO53 3TG","£10,081 pcm","","","","HIGH QUALITY OFFICE SUITE - TO LET","https://www.rightmove.co.uk/properties/152191676#/?channel=COM_LET","2024-09-09T11:07:43Z","","new","Marketed by Vail Williams, Southampton","","50.966476","-1.383098","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/152191676/101996_231805-2_IMG_05_0000_max_476x317.jpeg"
"169917578","Eastleigh","Office","Black Horse House Third Floor, Leigh Road, Eastleigh, SO50 9FH","POA","","","","To Let - Town Centre Offices - 3,070 sq ft - 6,944 sq ft","https://www.rightmove.co.uk/properties/169917578#/?channel=COM_LET","2025-12-02T13:26:40Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","50.969464","-1.351481","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169917578/88949_275237-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169917578/88949_275237-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169917578/88949_275237-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169917578/88949_275237-2_IMG_03_0000_max_476x317.jpeg"
"722865545226753","Eastleigh","Light Industrial","Barton Park Industrial Estate, Barton Park, Eastleigh, SO50 6RR","POA","","","","REFURBISHED INDUSTRIAL / WAREHOUSE UNITS","https://www.rightmove.co.uk/properties/722865545226753#/?channel=COM_LET","2025-12-03T11:04:06Z","","new","Marketed by Realest, Industrial & Logistics","","50.968838","-1.347174",""
"169746704","Eastleigh","Retail Property (high street)","Unit A1 Postmark Place, High Street, Eastleigh, SO50 5PJ","£1,875 pcm","","","","To Let - New Build Commercial Premises - 1,070 sq ft (99.41 sq m)","https://www.rightmove.co.uk/properties/169746704#/?channel=COM_LET","2025-11-26T15:50:31Z","","new","Marketed by Goadsby, Bournemouth - Commercial","","50.968543","-1.353217","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169746704/88949_331535-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169746704/88949_331535-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169746704/88949_331535-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169746704/88949_331535-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/89k/88949/169746704/88949_331535-2_IMG_04_0000_max_476x317.jpeg"
"162946508","Eastleigh","Light Industrial","Unit 9, East Horton Business Park, Knowle Lane, Fair Oak, Eastleigh, Hampshire, SO50 7DZ","£2,500 pcm","","","","Unit 9 is a newly constructed warehouse/industrial unit within a development of 15 units. The majority of the units are now occupied. The building is of steel portal frame construction with insulated power floated concrete floor. There is insulated cladding to the external walls and roof. T...","https://www.rightmove.co.uk/properties/162946508#/?channel=COM_LET","2025-06-06T11:08:28Z","","price_reduced","Marketed by VDBM, Middlesex","","50.960995","-1.285329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/162946508/129484_1316LH_IMG_05_0000_max_476x317.jpeg"
"169519820","Eastleigh","Warehouse","Unit 10 Woodside Road, Eastleigh, SO50 4ET","£15,527 pcm","","","","Industrial/Warehouse Unit - TO LET","https://www.rightmove.co.uk/properties/169519820#/?channel=COM_LET","2025-11-20T10:04:05Z","","new","Marketed by Vail Williams, Southampton","","50.975968","-1.36996","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/102k/101996/169519820/101996_335388-2_IMG_09_0000_max_476x317.jpeg"
"169496609","Eastleigh","Retail Property (high street)","Winchester Road, Chandler's Ford, Eastleigh, Hampshire, SO53","£1,417 pcm","","","","Located in the heart of Chandler’s Ford near to Waitrose, COSTA and the COOP, this end of terrace two-storey property is suitable for a range of occupiers - please call us to enquire!","https://www.rightmove.co.uk/properties/169496609#/?channel=COM_LET","2025-11-19T15:16:59Z","","new","Marketed by Trinity Rose Commercial, Chandler's Ford","","50.987637","-1.374555","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/169496609/142532_COM250083_L_IMG_06_0000_max_476x317.jpeg"
"155812931","Eastleigh","Office","Tollgate, Chandler's Ford, Eastleigh, Hampshire, SO53","£763 pcm","","","","First floor office with parking available to lease on Tollgate Business Park in Chandler's Ford, on flexible occupational terms.","https://www.rightmove.co.uk/properties/155812931#/?channel=COM_LET","2024-12-10T10:14:32Z","","new","Marketed by Trinity Rose Commercial, Chandler's Ford","","50.967246","-1.383482","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/143k/142532/155812931/142532_COM240039_L_IMG_07_0000_max_476x317.jpeg"
"168755657","Eastleigh","Industrial Park","Unit 10 Woodside Road, Eastleigh, Hampshire, SO50 4ET","POA","","","","The property is comprised of a modern detached industrial/warehouse unit of steel portal frame construction. The property has recently been redecorated and upgraded with newly painted floor, new LED lighting (in warehouse/production area and offices). The property has a minimum eaves height of 5.8m","https://www.rightmove.co.uk/properties/168755657#/?channel=COM_LET","2025-10-29T16:00:03Z","","new","Marketed by CBRE Southampton, CBRE Southampton","","50.97711","-1.37032","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1a84dc977/168755657/1a84dc97798f8fd57978da4beca65b0a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c30de6bdc/168755657/c30de6bdcd0d1f6a1ba2ccda04fc9fa5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e268c96c6/168755657/e268c96c6c5f79b5cabed532c95858dc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/074b8018e/168755657/074b8018e14da5bcfd7e8937a8f24005_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/66a22acd1/168755657/66a22acd14975da4de651e0de00be80b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccb30af5a/168755657/ccb30af5aed14ec5f8a559323fae216a_max_476x317.jpeg"
"168455984","Eastleigh","Office","West Links, Tollgate, Eastleigh, Hampshire, SO53 3TG","£2,083 pcm","","","","Tollgate Business Park is an established office/business park location within Chandlers Ford comprising a range of smaller office buildings together with larger corporate style properties. It is located approximately 5 miles north of Southampton City Centre with good access to the M3 motorway and...","https://www.rightmove.co.uk/properties/168455984#/?channel=COM_LET","2025-10-21T19:53:39Z","","new","Marketed by Mava Real Estate, Southampton","","50.967505","-1.383209","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168455984/96725_6534LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168455984/96725_6534LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168455984/96725_6534LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168455984/96725_6534LH_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168455984/96725_6534LH_IMG_04_0001_max_476x317.jpeg"
"168319643","Eastleigh","Distribution Warehouse","Unit 9 East Horton Business Park, Knowle Lane, Fair Oak, Eastleigh, SO50 7DZ","£2,708 pcm","","","","New semi-detached industrial/warehouse unit","https://www.rightmove.co.uk/properties/168319643#/?channel=COM_LET","2025-10-17T16:01:07Z","","new","Marketed by Hellier Langston Commercial Agents, Fareham","","50.960994","-1.285329","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/168319643/108977_302282-2_IMG_07_0000_max_476x317.jpeg"
"168069821","Eastleigh","Shop","Hursley Road, Chandlers Ford, Eastleigh, Hampshire, SO53 2FS","£1,875 pcm","","","","To Let - Ground Floor Retail Space Chandler's Ford is situated approximately 6 miles north of Southampton and 6 miles south of Winchester at the intersection of the M3/M27 motorway network. The property forms part of a local shopping parade with adjoining users including a funeral directors, a s...","https://www.rightmove.co.uk/properties/168069821#/?channel=COM_LET","2025-10-10T10:41:04Z","","new","Marketed by Mava Real Estate, Southampton","","50.986887","-1.385488","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/97k/96725/168069821/96725_6218LH_IMG_05_0001_max_476x317.jpeg"
"722865473726928","Eastleigh","Light Industrial","Unit 3 Mayflower Close, Chandlers Ford Industrial Estate, Eastleigh, SO53 4AR","£8,542 pcm","","","","Unit 3 Mayflower Close is a detached, light industrial building with enclosed yard and excellent car parking.","https://www.rightmove.co.uk/properties/722865473726928#/?channel=COM_LET","2025-12-03T11:04:07Z","","new","Marketed by Realest, Industrial & Logistics","","50.978099","-1.390191","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865473726928/229082_328627-2_IMG_13_0000_max_476x317.jpeg"
