id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"150784574","Havant","Serviced Office","Harts Farm Way, Havant, Hampshire, United Kingdom PO9 1HS","£449 pcm","From","","4","215–28,712 sq. ft.","215","28712","20","2667","Private office space for 4 in Basepoint Harts Farm Way. Fully flexible, 24/7 access, secure, ergonomic furniture and all-inclusive services included. ","https://www.rightmove.co.uk/properties/150784574#/?channel=COM_LET","2024-07-30T13:20:55Z","","size_change","Marketed by Basepoint, Basepoint","","50.847","-1.00139","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70551/150784574/70551_UK4ws4558_IMG_04_0000_max_476x317.jpeg"
"722865400568288","Havant","Light Industrial","1 Hayward Business Centre, New Lane, Havant, PO9 2NL","£26,086 pcm","","","","24,079 sq. ft.","24079","24079","2237","2237","Detached Industrial Unit/Warehouse - Highly Visible within Established Industrial/Trade Area - Well Located – TO BE FULLY REFURBISHED","https://www.rightmove.co.uk/properties/722865400568288#/?channel=COM_LET","2025-12-03T11:02:10Z","","new","Marketed by Realest, Industrial & Logistics","","50.861116","-0.970326","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_08_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_09_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229082/722865400568288/229082_299206-2_IMG_14_0001_max_476x317.jpeg"
"723055421416608","Havant","Light Industrial","Havant Hub 55, New Lane, Havant, PO9 2JL","POA","","","","54,617 sq. ft.","54617","54617","5074","5074","Modern detached industrial unit","https://www.rightmove.co.uk/properties/723055421416608#/?channel=COM_LET","2025-12-04T14:53:37Z","","new","Marketed by Savills, Southampton","","50.85842","-0.973625","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723055421416608/214127_287655-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723055421416608/214127_287655-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/215k/214127/723055421416608/214127_287655-2_IMG_02_0000_max_476x317.jpeg"
"155493701","Havant","Serviced Office","Langstone Gate Solent Road, Havant","£1,333 pcm","From","","","500–700 sq. ft.","500","700","46","65","Delivering a bright and spacious working environment, this modern centre provides a professional business address and flexible offices from 2 to 200 people. This centre is ideally placed just off the A27, within a 10 minute commute of Portsmouth and walking distance to nearby M&S Havant.","https://www.rightmove.co.uk/properties/155493701#/?channel=COM_LET","2024-11-28T18:37:16Z","","size_change","Marketed by Office Freedom, Office Freedom - Major Cities","","50.849003","-0.984579","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/246k/245114/155493701/245114_25659-1_IMG_06_0001_max_476x317.jpeg"
"151974539","Havant","Distribution Warehouse","Unit 6, Langstone Park - Phase 2, Langstone Road, Havant, PO9 1SA","POA","","","","31,559 sq. ft.","31559","31559","2932","2932","Phase 2 Occupation Q4 2025 Brand New Unit To Let","https://www.rightmove.co.uk/properties/151974539#/?channel=COM_LET","2024-09-06T10:43:02Z","","size_change","Marketed by JLL, London - Industrial","","50.84686","-0.988737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151974539/263627_230920-2_IMG_20_0000_max_476x317.jpeg"
"151973927","Havant","Distribution Warehouse","Unit 5, Langstone Park - Phase 2, Langstone Road, Havant, PO9 1SA","POA","","","","34,756 sq. ft.","34756","34756","3229","3229","Phase 2 Occupation Q4 2025 Brand New Unit To Let","https://www.rightmove.co.uk/properties/151973927#/?channel=COM_LET","2024-09-06T10:43:01Z","","size_change","Marketed by JLL, London - Industrial","","50.84686","-0.988737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_44_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_42_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_48_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_61_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_55_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_58_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_54_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/151973927/263627_230916-2_IMG_46_0000_max_476x317.jpeg"
"168648326","Havant","Distribution Warehouse","Langstone Park - Phase 2, Langstone Road, Havant, PO9 1SA","POA","","","","27,221–93,536 sq. ft.","27221","93536","2529","8690","Phase 2 - Occupation Q4 2025 Brand New Units To Let 27,221-93,536 sq ft","https://www.rightmove.co.uk/properties/168648326#/?channel=COM_LET","2025-10-27T14:40:05Z","","size_change","Marketed by JLL, London - Industrial","","50.84686","-0.988737","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_28_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_33_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_31_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_26_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_32_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_27_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_30_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_34_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_37_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_36_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_29_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_35_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_41_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_40_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_39_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_38_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/264k/263627/168648326/263627_84840-2_IMG_08_0000_max_476x317.jpeg"
"167695685","Havant","Warehouse","23 The Tanneries, Brockhampton Lane, Havant, PO9 1JB","£1,917 pcm","","","","1,996–3,110 sq. ft.","1996","3110","185","289","Industrial Unit Available","https://www.rightmove.co.uk/properties/167695685#/?channel=COM_LET","2025-10-02T09:25:15Z","","new","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.851114","-0.987634","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/167695685/286838_331222-2_IMG_07_0000_max_476x317.jpeg"
"168847091","Havant","Retail Property (high street)","29 West Street, Havant, Hampshire, PO9","£1,667 pcm","","","","1,621 sq. ft.","1621","1621","151","151","The property consists of a terraced retail unit over two floors. The ground floor consists of a sales area with ancillary space and W/C. The second floor consists of further ancillary space. The shop benefits from rear access.","https://www.rightmove.co.uk/properties/168847091#/?channel=COM_LET","2025-10-31T14:28:31Z","","size_change","Marketed by Flude Property Consultants, Portsmouth","","50.851517","-0.984161","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205205/168847091/205205_5442LH_IMG_08_0000_max_476x317.jpeg"
"166524419","Havant","Distribution Warehouse","Unit 2 Larchwood Business Centre, Larchwood Avenue, Havant, Hampshire, PO9 3BE","POA","","","","3,259 sq. ft.","3259","3259","303","303","The unit comprises a modern warehouse/trade counter unit of steel portal frame construction with cladding to both elevations and a roof incorporating 10% natural roof lights. Access to the warehouse is via an electric overhead loading door. Internally the unit benefits from a small office/trade ...","https://www.rightmove.co.uk/properties/166524419#/?channel=COM_LET","2025-09-03T10:46:12Z","","new","Marketed by Lambert Smith Hampton, Fareham","","50.864571","-1.012266","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/169k/168011/166524419/168011_2077108LH_IMG_09_0000_max_476x317.jpeg"
"166068947","Havant","Distribution Warehouse","Unit C Downley Business Park, 12 Downley Road, Havant, PO9 2NJ","£4,304 pcm","","","","4,302 sq. ft.","4302","4302","400","400","Terraced industrial unit with offices","https://www.rightmove.co.uk/properties/166068947#/?channel=COM_LET","2025-08-21T16:27:43Z","","new","Marketed by Hellier Langston Commercial Agents, Fareham","","50.865877","-0.966821","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a435b0f94/166068947/a435b0f949a72406db6d40d0cebcc486_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de71a9a8a/166068947/de71a9a8a74e782d027e3a1fc346add5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2b98c493f/166068947/2b98c493f50e110828b2e50a133dcdf0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d046db552/166068947/d046db552560757b1ea459c42bd159ad_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/670bf05df/166068947/670bf05df7f152e49fbd8af5119cee70_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0cdd7bd99/166068947/0cdd7bd9976cf5b8bfd33df92054c09a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6f6dfeda4/166068947/6f6dfeda4fd8acb609dc73fcd30714be_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a10fa8ff9/166068947/a10fa8ff983ad71190529c299a201362_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/af1532275/166068947/af1532275649ac27d1be6a33a5328710_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bf7a8c58c/166068947/bf7a8c58c0c026dea4a3ea1c1b3ce11c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9478dc9f1/166068947/9478dc9f10d696ecef954df55b8d49c4_max_476x317.jpeg"
"165734381","Havant","Retail Property (high street)","43 Greywell Road, Havant, PO9 5AH","£750 pcm","","","","539 sq. ft.","539","539","50","50","OPEN PLAN RETAIL UNIT","https://www.rightmove.co.uk/properties/165734381#/?channel=COM_LET","2025-08-14T10:03:01Z","","new","Marketed by Holloway Iliffe & Mitchell, Portsmouth","","50.867478","-0.984182","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/165734381/286838_211096-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/165734381/286838_211096-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/165734381/286838_211096-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286838/165734381/286838_211096-2_IMG_03_0000_max_476x317.jpeg"
"164920541","Havant","Distribution Warehouse","9 Kenwood Business Park, New Lane, Havant, PO9 2NT","POA","","","","41,542 sq. ft.","41542","41542","3859","3859","Industrial/warehouse unit located 1 mile from Havant town centre","https://www.rightmove.co.uk/properties/164920541#/?channel=COM_LET","2025-07-24T17:14:29Z","","new","Marketed by Hellier Langston Commercial Agents, Fareham","","50.855692","-0.972305","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/109k/108977/164920541/108977_317059-2_IMG_01_0000_max_476x317.jpeg"
