id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169512566","Northumberland","Light Industrial","Cawdor Street, Manchester, Greater Manchester, M30","£2,083 pcm","","","1","","","","","","To Let , Last remaining Micro Industrial Unit. Ground Floor Warehouse , First Floor Offices or Stores . Brand New. ","https://www.rightmove.co.uk/properties/169512566#/?channel=COM_LET","2025-11-20T06:10:55Z","","price_reduced","Marketed by Mandale Group, Stockton On Tees","","55.10291","-1.61349","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/170k/169760/169512566/169760_ECCLES14_IMG_11_0000_max_476x317.jpeg"
"163955834","Northumberland","Shop","Battle Hill, Hexham, Northumberland, NE46","£1,083 pcm","","","","770 sq. ft.","770","770","72","72","Ground floor shop Suitable for a variety of uses, subject to planning consent Two parking spaces to rear Prominent town centre location Available from September 2025 Rent £13,000 per annum","https://www.rightmove.co.uk/properties/163955834#/?channel=COM_LET","2025-06-30T12:03:23Z","","price_reduced","Marketed by Youngs RPS Limited, Newcastle","","54.969908","-2.101985","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/163955834/130720_NEW250026_L_IMG_06_0000_max_476x317.jpeg"
"723056174293280","Northumberland","Retail Property (high street)","10 Paikes Street, Bondgate Within, Alnwick, NE66 1HX","£2,146 pcm","","","","1,576 sq. ft.","1576","1576","146","146","Prominent corner retail unit to let on the instructions of Boots plc, near Superdrug in Bondsgate Within, Alnwick.","https://www.rightmove.co.uk/properties/723056174293280#/?channel=COM_LET","2025-12-04T14:54:30Z","","new","Marketed by Brasier Freeth, London","","55.413712","-1.707256","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/723056174293280/254312_236724-2_IMG_00_0000_max_476x317.jpeg"
"169982345","Northumberland","Shop","Blyth, Northumberland, NE24","£833 pcm","","","","478 sq. ft.","478","478","44","44","Prominently positioned along Bridge Street, one of Blyth’s main shopping thoroughfares, this ground floor retail unit offers excellent visibility and consistent footfall within the heart of the town centre. The property features a traditional glazed shop front, providing strong d...","https://www.rightmove.co.uk/properties/169982345#/?channel=COM_LET","2025-12-04T09:03:41Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","55.127055","-1.508124","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982345/282893_CMR250220_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982345/282893_CMR250220_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982345/282893_CMR250220_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982345/282893_CMR250220_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982345/282893_CMR250220_L_IMG_04_0000_max_476x317.jpeg"
"72904727","Northumberland","Light Industrial","Pegswood Industrial Estate, Morpeth, Northumberland, NE61 6HZ","£1,490 pcm","","","","2,497 sq. ft.","2497","2497","232","232","Pricing includes Maintenance Rent. Terraced steel portal framed units with steel personnel doors and insulated sectional loading doors, located on a popular estate close to local amenities. The estate is less than 3 miles from Morpeth and has good access to the A197 bypass, linking to the A1. ","https://www.rightmove.co.uk/properties/72904727#/?channel=COM_LET","2018-05-01T16:05:53Z","","size_change","Marketed by Northern Trust, North East","","55.18288","-1.6413","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_29_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_30_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_03140_Pegswood_Workshops_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_114001_Unit3C_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/72904727/87511_NEN_114001_Unit3C_IMG_14_0000_max_476x317.jpeg"
"722864255279665","Northumberland","Office","The Rivergreen Centre, St. Mary Lane, Morpeth, NE61 6BL","£7,899 pcm","","","","176–6,319 sq. ft.","176","6319","16","587","Serviced and traditional suites available from 176 sq ft to 6,319 sq ft.","https://www.rightmove.co.uk/properties/722864255279665#/?channel=COM_LET","2025-12-03T10:50:05Z","","new","Marketed by Parker Knights, Newcastle","","55.123338","-1.716875","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864255279665/252818_272783-2_IMG_19_0000_max_476x317.jpeg"
"169942523","Northumberland","Commercial Property","The Old Motor House Shop, The Old Motor House Townfoot, Rothbury, Morpeth, Northumberland","£875 pcm","Guide Price","","","335 sq. ft.","335","335","31","31","A ground-floor lock-up shop unit (formerly Pots and Paws operation) situated in a prominent position at the entrance to Rothbury’s main thoroughfare. The premises provide a Net Internal Floor Area of approximately 1100 sq ft (100 sq mts) and comprise a single open-plan retail space, a side stor...","https://www.rightmove.co.uk/properties/169942523#/?channel=COM_LET","2025-12-03T10:32:48Z","","new","Marketed by Ayre Property Services Limited, Morpeth","","55.310562","-1.90825","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942523/82383_ARV-80261552_IMG_10_0000_max_476x317.jpeg"
"169942520","Northumberland","Commercial Property","Elmsleigh House, High Street, Rothbury, Morpeth, Northumberland","£395 pcm","Guide Price","","","","","","","","Elmsleigh House is situated towards the western end of Rothbury’s High Street in a secondary retail location, the property is of historical interest. The commercial element is accessed from the High Street, there is a small kitchen area in the retail space at ground floor.","https://www.rightmove.co.uk/properties/169942520#/?channel=COM_LET","2025-12-03T10:32:48Z","","new","Marketed by Ayre Property Services Limited, Morpeth","","55.310464","-1.909547","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942520/82383_ARV-4624183_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942520/82383_ARV-4624183_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942520/82383_ARV-4624183_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942520/82383_ARV-4624183_IMG_03_0000_max_476x317.jpeg"
"169942508","Northumberland","Industrial Park","Barclays Bank Chambers, Front Street, Rothbury, Morpeth, Northumberland","£200 pcm","Guide Price","","","","","","","","The accommodation comprises first floor office space within the mixed use accommodation above the former Barclays Bank premises. The property is accessed by a communal staircase (two flights of stairs) with shared WC facilities. There are three office rooms and also a kitchen area. The premises...","https://www.rightmove.co.uk/properties/169942508#/?channel=COM_LET","2025-12-03T10:32:48Z","","new","Marketed by Ayre Property Services Limited, Morpeth","","55.310192","-1.91","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942508/82383_ARV-18800228_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942508/82383_ARV-18800228_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942508/82383_ARV-18800228_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82383/169942508/82383_ARV-18800228_IMG_03_0000_max_476x317.jpeg"
"168138953","Northumberland","Shop","Station Road, Ashington","£600 pcm","","","","","","","","","Station Road in Ashington, this impressive commercial premises offers an excellent opportunity for those seeking a shop to rent. Spanning approximately 1,500 square feet, the space is generously sized, providing ample room for a variety of retail ventures or business operations. Wi...","https://www.rightmove.co.uk/properties/168138953#/?channel=COM_LET","2025-10-13T16:05:18Z","","price_reduced","Marketed by Dean & Co Estate Agents, Newcastle Upon Tyne","","55.183254","-1.575408","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264953/168138953/264953_34197209_IMG_06_0000_max_476x317.jpeg"
"169912574","Northumberland","Light Industrial","2 and 3, Station Yard, Wagonway Road, Alnwick, Northumberland, NE66 2NP","£4,313 pcm","","","","7,676 sq. ft.","7676","7676","713","713","Available To Let in 2026 due to Jewson relocation to Lionheart Enterprise Park. Trade counter with large service yard on the periphery of Alnwick Town Centre. Available as a whole or as individual units. The property comprises two industrial units of steel portal frame construction. The dividing...","https://www.rightmove.co.uk/properties/169912574#/?channel=COM_LET","2025-12-02T12:06:51Z","","new","Marketed by HTA REAL ESTATE LIMITED, Newcastle","","55.409681","-1.698767","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169912574/70173_1483LH_IMG_06_0000_max_476x317.jpeg"
"723058671941009","Northumberland","Light Industrial","Unti 24 Atley Way, Atley Business Park, Cramlington, NE23 1WP","£1,042 pcm","","","","1,210 sq. ft.","1210","1210","112","112","Industrial Unit to Let on Popular Business Park","https://www.rightmove.co.uk/properties/723058671941009#/?channel=COM_LET","2025-12-04T14:56:05Z","","new","Marketed by Savills, Newcastle - Industrial","","55.102665","-1.606129","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238871/723058671941009/238871_345420-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238871/723058671941009/238871_345420-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238871/723058671941009/238871_345420-2_IMG_02_0000_max_476x317.jpeg"
"169813553","Northumberland","Commercial Property","8 Sandgate, Berwick-Upon-Tweed, Northumberland, TD15","£542 pcm","","","","550 sq. ft.","550","550","51","51","BRIEF RESUMEGround Floor Retail PremisesTown Centre LocationUpgraded and extended 2002/2003NIA 51.08 sq m (550 sq ft)Guide Rent £6,500 per annum","https://www.rightmove.co.uk/properties/169813553#/?channel=COM_LET","2025-11-28T12:05:54Z","","new","Marketed by EDWIN THOMPSON, Galashiels","","55.76756","-2.00364","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230666/169813553/230666_Paterson_IMG_03_0000_max_476x317.jpeg"
"164860475","Northumberland","Commercial Property","4a Bridge Street, Amble, Northumberland","£650 pcm","","","","","","","","","Unit to let. Ground floor retail unit. Floor area circa. 34.85 sq. m. (375.1 sq. ft.). Suitable for a variety of uses (stpp). Newly built retail unit on popular street, connecting Queen Street. Tourist hotspot. New electrics and windows fitted. Open plan area with storage room and w/c. New lease...","https://www.rightmove.co.uk/properties/164860475#/?channel=COM_LET","2025-07-23T14:41:02Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","55.333691","-1.582604","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/164860475/63935_12719953_IMG_01_0000_max_476x317.jpeg"
"169751300","Northumberland","Light Industrial","Unit B, Holywell Business Park Coquet Enterprise Park Amble Morpeth Northumberland NE65 0PE UNITED KINGDOM","£683 pcm","","","","2,000–6,000 sq. ft.","2000","6000","186","557","Modern industrial unit in Holywell Business Park, Coquet Enterprise Park, Amble. Offers versatile workspace suitable for storage, light manufacturing, or trade use. Convenient Northumberland location with good access and on-site parking. Ideal for growing businesses seeking quality premises.","https://www.rightmove.co.uk/properties/169751300#/?channel=COM_LET","2025-11-26T17:13:56Z","","new","Marketed by Prospect Estates Limited, West Yorkshire","","55.32872","-1.58255","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200480/169751300/200480_AmbleUnitB_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200480/169751300/200480_AmbleUnitB_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200480/169751300/200480_AmbleUnitB_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/201k/200480/169751300/200480_AmbleUnitB_IMG_03_0000_max_476x317.jpeg"
"169742327","Northumberland","Light Industrial","Unit A, Holywell Business Park Coquet Enterprise Park Amble Morpeth Northumberland NE65 0PE UNITED KINGDOM","£3,250 pcm","","","","10,000–15,000 sq. ft.","10000","15000","929","1394","Modern industrial unit in Holywell Business Park, Coquet Enterprise Park, Amble. Offers versatile workspace suitable for storage, light manufacturing, or trade use. Convenient Northumberland location with good access and on-site parking. Ideal for growing businesses seeking quality premises.","https://www.rightmove.co.uk/properties/169742327#/?channel=COM_LET","2025-11-26T14:50:53Z","","new","Marketed by Prospect Estates Limited, West Yorkshire","","55.32872","-1.58255","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eef3e5b79/169742327/eef3e5b794166a523b056b38c9b910d6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/900626f01/169742327/900626f01b16e161514baef7e96d66df_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/56783e367/169742327/56783e36785dd0d8699853167c0889a7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7ea5b5540/169742327/7ea5b5540134a288f18636f4b8d4562d_max_476x317.jpeg"
"169688213","Northumberland","Industrial Park","Hedley Way, Ashington, Northumberland, NE63","£3,292 pcm","","","1","6,035 sq. ft.","6035","6035","561","561","REFURBISHED NEW TRADE PARK SCHEME, SET WITHIN A SECURE YARDHIGHLY VISIBLE WITH MAIN ROAD FRONTAGE AND CLOSE TO B&M / OTHER TRADECOUNTER OPERATORSGIA: 560.65M2 (6,035 SQ FT)SUITABLE FOR A VARIETY OF USES, SUBJECT TO PLANNINGESTABLISHED TRADE LOCATION WITH HOWDENS JOINERY ON SITE","https://www.rightmove.co.uk/properties/169688213#/?channel=COM_LET","2025-11-25T12:06:15Z","","new","Marketed by Whitehalluk, Gateshead","","55.16961","-1.55202","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_05_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/270k/269339/169688213/269339_Hedley_IMG_07_0000_max_476x317.png"
"146591039","Northumberland","Retail Property (high street)","103 Marygate, Berwick upon Tweed, Northumberland, TD15 1BH","£917 pcm","","","","","","","","","103 Marygate occupies a prominent corner site at the junction of Marygate, the Town's principal retail pitch, and Golden Square which is the main access route into Berwick town centre by road from the south.","https://www.rightmove.co.uk/properties/146591039#/?channel=COM_LET","2024-04-09T09:24:12Z","","price_reduced","Marketed by EDWIN THOMPSON, Berwick","","55.77042","-2.00556","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230645/146591039/230645_M30_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230645/146591039/230645_M30_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230645/146591039/230645_M30_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230645/146591039/230645_M30_IMG_03_0000_max_476x317.jpeg"
