id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"722863642935344","Perth & KInross","Retail Property (out of town)","Unit 2, Inveralmond Retail Park, Perth, PH1 3XF","£10,833 pcm","","","","Retail Unit To Let","https://www.rightmove.co.uk/properties/722863642935344#/?channel=COM_LET","2025-12-03T10:45:05Z","","new","Marketed by Orinsen, Scotland","","56.417509","-3.473369","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863642935344/282257_198423-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863642935344/282257_198423-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863642935344/282257_198423-2_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282257/722863642935344/282257_198423-2_IMG_03_0000_max_476x317.png"
"169542254","Perth & KInross","Commercial Property","Main Street, Methven, Perthshire, PH1","£350 pcm","","","","Commercial premises located on the Main Street of Methven, located on the A85 from Perth and to Crieff. The village has its own primary school, church, bowling club, community halls, playing field with sports facilities.","https://www.rightmove.co.uk/properties/169542254#/?channel=COM_LET","2025-11-20T15:36:19Z","","new","Marketed by Simple Approach Estate Agents, Perth","","56.41028","-3.61721","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/169542254/189464_P350_IMG_09_0000_max_476x317.jpeg"
"169454378","Perth & KInross","Retail Property (out of town)","Kinnoull Street, Perth, Perthshire, PH1","£1,250 pcm","","","","Prime Office/Retail Unit To Let - Perth City Centre","https://www.rightmove.co.uk/properties/169454378#/?channel=COM_LET","2025-11-18T15:50:09Z","","new","Marketed by Falconer Property Consultants Limited, Scotland","","56.39909","-3.4327","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70314/169454378/70314_75KinnoullStreetPerth_IMG_05_0000_max_476x317.jpeg"
"169025054","Perth & KInross","Retail Property (high street)","High Street, Auchterarder, Perthshire, PH3","£750 pcm","","","","Prime Retail Unit To Let - Auchterarder","https://www.rightmove.co.uk/properties/169025054#/?channel=COM_LET","2025-11-05T15:43:20Z","","new","Marketed by Falconer Property Consultants Limited, Scotland","","56.29648","-3.70609","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f64d6df1/169025054/0f64d6df10db11124cf45f8f30262fe7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/60f38b795/169025054/60f38b795c0b092933a47f43caefcc0d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a4467511e/169025054/a4467511e80bad37fd89592f08cf3087_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/49deb4346/169025054/49deb4346773398107f0934107c93bfb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8f1c30dd2/169025054/8f1c30dd2212a4d0a555f33ce403c934_max_476x317.jpeg"
"168636623","Perth & KInross","Pub","Restaurant/Bar Opportunity Perth","£3,750 pcm","From","","","Graham + Sibbald are delighted to bring to the market this city centre restaurant/bar for lease. The property is offered to the market on a confidential basis. Please contact the agent for more details.","https://www.rightmove.co.uk/properties/168636623#/?channel=COM_LET","2025-10-27T11:45:44Z","","new","Marketed by Graham & Sibbald, Hotels","","56.398903","-3.42824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265616/168636623/265616_54038LH_IMG_00_0000_max_476x317.jpeg"
"168548747","Perth & KInross","Commercial Property","PH2 9BQ","£16,250 pcm","","20","","Landmark main building within Kilgraston School estate (PH2 9BQ). Grand reception spaces and versatile rooms in a tranquil parkland setting. Ideal for education, HQ, hospitality, weddings and special events (STP). Estate parking; quick access to A912/M90. View by appt.","https://www.rightmove.co.uk/properties/168548747#/?channel=COM_LET","2025-10-23T18:12:16Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34137","-3.41692","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168548747/276872_KilgrastonHouse_IMG_17_0000_max_476x317.jpeg"
"168539693","Perth & KInross","Place of Worship","PH2 9BQ","£2,000 pcm","","","1","Characterful former chapel within Kilgraston School estate, Bridge of Earn (PH2 9BQ). Vaulted ceilings, period detail and open nave. Suits assembly, community, education or worship (STP). Tranquil parkland setting, parking, and quick links to A912/M90. View by appointment.","https://www.rightmove.co.uk/properties/168539693#/?channel=COM_LET","2025-10-23T15:49:17Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34156","-3.41675","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168539693/276872_CatholicChapelPerth_IMG_12_0000_max_476x317.jpeg"
"168538760","Perth & KInross","Sports facilities","PH2 9BQ","£4,750 pcm","","","2"," Modern sports hall with adjoining gym at Kilgraston School, Perth. Spacious indoor courts, fitness facilities and changing areas. Ideal for school, community or leisure use with strong redevelopment potential (STP).","https://www.rightmove.co.uk/properties/168538760#/?channel=COM_LET","2025-10-23T15:21:39Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34192","-3.41929","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168538760/276872_SportsCentrePerth_IMG_12_0000_max_476x317.jpeg"
"146536706","Perth & KInross","Industrial Park","Inveralmond Trade Park  Inveralmond Industrial Estate  Perth  PH1 3TT  Unit","POA","","","","Industrial Units | To Let | Inveralmond Trade Park, Perth","https://www.rightmove.co.uk/properties/146536706#/?channel=COM_LET","2024-04-07T21:30:13Z","","size_change","Marketed by Colliers International, Industrial","","56.419391","-3.475091","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257498/146536706/257498_a034I00001BQ8fKQAT_IMG_01_0000_max_476x317.png"
"168389018","Perth & KInross","Retail Property (Shopping Centre)","Unit 38, St John's Shopping Centre, Perth, PH1 5UB","POA","","","","RETAIL UNIT - TO LET","https://www.rightmove.co.uk/properties/168389018#/?channel=COM_LET","2025-10-20T13:57:27Z","","new","Marketed by Savills, Edinburgh - Retail","","56.396003","-3.431041","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/252k/251255/168389018/251255_335027-2_IMG_00_0000_max_476x317.jpeg"
"168033680","Perth & KInross","Industrial Park","Hangar 4, Perth Airport, Scone, Perth, Perth And Kinross, PH2 6PL","£10,000 pcm","","","","Rare opportunity to acquire a modern stand alone industrial building located within Perth Airport, approximately 10 minutes drive from Perth city centre and the A9. Perth Airport is home to a variety of businesses and offers occupiers a range of amenities, public transport connections, hotel, di...","https://www.rightmove.co.uk/properties/168033680#/?channel=COM_LET","2025-10-09T13:15:52Z","","new","Marketed by Ryden LLP, Edinburgh","","56.435127","-3.37423","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287741/168033680/287741_18542LH_IMG_08_0000_max_476x317.jpeg"
"167977628","Perth & KInross","Commercial Property","High Street, Perth, Perthshire, PH1","£350 pcm","","1","1","COMMERCIAL - Small office/Workshop located in the High Street, Perth. The property is located through a close and has its own entrance on the ground floor.","https://www.rightmove.co.uk/properties/167977628#/?channel=COM_LET","2025-10-08T11:49:57Z","","new","Marketed by Simple Approach Estate Agents, Perth","","56.39672","-3.43355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/167977628/189464_P164_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/190k/189464/167977628/189464_P164_IMG_05_0000_max_476x317.jpeg"
"167612327","Perth & KInross","Commercial Property","PH2","£3,000 pcm","","","2","***A RARE OPPURTUNITY***READY TO GO FULLY EQUIPPED**Specialist Science Building to let within historic Kilgraston School estate near Perth. Multiple labs, prep rooms and classrooms in a peaceful parkland setting, with excellent road links and strong potential for education, training or research use.","https://www.rightmove.co.uk/properties/167612327#/?channel=COM_LET","2025-09-30T15:20:19Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34191","-3.41534","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167612327/276872_KilgrastonSchoolScienceBlock_IMG_08_0000_max_476x317.jpeg"
"168601253","Perth & KInross","Office","PH2 9BQ","£3,000 pcm","","","","Self-contained former science block at Kilgraston School: flexible two-storey teaching wing with labs/classrooms, prep rooms and welfare-ideal for education, offices or studios (STP). Separate access and parking within an attractive campus setting.","https://www.rightmove.co.uk/properties/168601253#/?channel=COM_LET","2025-10-24T19:34:36Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.3419","-3.41539","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/168601253/276872_InnovationHubMultipurpose_IMG_08_0000_max_476x317.jpeg"
"167611715","Perth & KInross","Sports facilities","PH2 9BQ","£4,500 pcm","","","2","***READY TO GO***FULLY EQUIPPED***HURRY***Versatile modern sports hall with adjoining gym set in the historic Kilgraston School estate near Perth. Scenic parkland setting, excellent road links and strong redevelopment potential for leisure, education or community use (STP)","https://www.rightmove.co.uk/properties/167611715#/?channel=COM_LET","2025-09-30T13:39:17Z","","new","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34193","-3.41929","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/167611715/276872_KilgrastonSportsHall_IMG_15_0000_max_476x317.jpeg"
"165675353","Perth & KInross","Commercial Property","Kilgraston Science Block PH2 9BQ","£1,500 pcm","From","","6","Modern 6175 sqft office in a peaceful countryside setting near Perth. Includes shared amenities, on-site parking, and access to sports fields. Ideal for small teams or creative businesses. Flexible lease terms.","https://www.rightmove.co.uk/properties/165675353#/?channel=COM_LET","2025-08-12T21:48:44Z","","size_change","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34175","-3.41645","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165675353/276872_KilgrastonOffice800_IMG_13_0000_max_476x317.jpeg"
"165770378","Perth & KInross","Office","Bridge of Earn, Perth PH2 9BQ","£1 pcm","","","1","Spacious 967 sq ft gym with modern cardio, strength, and resistance equipment. Overlooks sports hall, ideal for fitness classes, personal training, or wellness activities. Price to be agreed.","https://www.rightmove.co.uk/properties/165770378#/?channel=COM_LET","2025-08-14T20:07:41Z","","size_change","Marketed by Bluefin Management Ltd, Skelmersdale","","56.34175","-3.41645","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276872/165770378/276872_KilgrastonGym_IMG_06_0000_max_476x317.png"
