id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169592474","Conwy","Office","Conway Road, Mochdre, Colwyn Bay, Conwy, LL28","£1,667 pcm","","","","Self-contained sales office with kitchen facilities","https://www.rightmove.co.uk/properties/169592474#/?channel=COM_LET","2025-11-21T20:26:24Z","","price_reduced","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.288217","-3.766558","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/169592474/241850_COM250154_L_IMG_05_0000_max_476x317.jpeg"
"169493753","Conwy","Light Industrial","Enterprise House, Tir Llwyd Enterprise Park, Kinmel Bay, Rhyl, Conwy, LL18 5JZ","£8,333 pcm","","","","The premises comprise a purpose built Head Quarters property, providing office and industrial/warehouse accommodation constructed in approximately 1997. The front area comprises high quality office accommodation with the elevations clad with brick and aluminium double glazed units, which include...","https://www.rightmove.co.uk/properties/169493753#/?channel=COM_LET","2025-11-19T14:35:57Z","","new","Marketed by BA COMMERCIAL, BA Commercial","","53.297699","-3.518952","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169493753/287543_3650LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169493753/287543_3650LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169493753/287543_3650LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169493753/287543_3650LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169493753/287543_3650LH_IMG_03_0000_max_476x317.jpeg"
"169199783","Conwy","Office","Penrhos Manor, Oak Drive, Colwyn Bay, Conwy, LL29 7YW","£1,833 pcm","","","","Penrhos Manor has a distinguished history, having been built for the famous Gamble family as their summer residence. Since then, this beautiful building has had many uses including a private school. The picturesque wooded setting of this traditional manor house creates an idyllic working environ...","https://www.rightmove.co.uk/properties/169199783#/?channel=COM_LET","2025-11-10T17:30:10Z","","new","Marketed by Legat Owen, Chester","","53.294989","-3.742351","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/169199783/262844_9144LH_IMG_18_0000_max_476x317.jpeg"
"169166768","Conwy","Light Industrial","Unit E2, Kinmel Business Centre, Tir Llwyd Enterprise Park, Kinmel Bay, Rhyl, Conwy, LL18 5JZ","£1,250 pcm","","","","The property comprises a self-contained industrial unit forming part of an established business centre with a shared forecourt and car park. The property is to be refurbished and will provide open plan floor space together with kitchen and wc facilities. The property benefits from a full heigh...","https://www.rightmove.co.uk/properties/169166768#/?channel=COM_LET","2025-11-10T09:48:50Z","","new","Marketed by BA COMMERCIAL, BA Commercial","","53.297699","-3.518952","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287543/169166768/287543_3644LH_IMG_00_0000_max_476x317.jpeg"
"169068260","Conwy","Light Industrial","Tir Llwyd Industrial Estate, LL18","£1,083 pcm","From","","","Tir Llwyd Industrial Estate offers flexible industrial and storage space, with 24 units arranged across 7 terraces.The units range in size from 500 sq ft to 17,000 sq ft providing a wide variety of options for any industrial requirement.","https://www.rightmove.co.uk/properties/169068260#/?channel=COM_LET","2025-11-06T15:32:57Z","","new","Marketed by Indurent, London","","53.29612","-3.51834","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/195k/194330/169068260/194330_TirLlwyd33_IMG_06_0000_max_476x317.jpeg"
"168959867","Conwy","Retail Property (high street)","Market Street, Abergele, Conwy, LL22","£600 pcm","","","1","Prime commercial space for rent on Market Street, Abergele. This versatile shop offers great visibility and potential for your business at an asking price of £600.00. This is an exceptional opportunity to thrive in a vibrant town centre.","https://www.rightmove.co.uk/properties/168959867#/?channel=COM_LET","2025-11-04T10:45:14Z","","new","Marketed by Monopoly, Denbigh","","53.2846","-3.58391","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236006/168959867/236006_384_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236006/168959867/236006_384_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236006/168959867/236006_384_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236006/168959867/236006_384_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236006/168959867/236006_384_IMG_04_0000_max_476x317.jpeg"
"167030768","Conwy","Office","Commodore House, North Wales Business Park, Cae Eithin, Abergele, Conwy, LL22 8LJ","£5,000 pcm","","","","North Wales Business Park is a well-established and popular development midway along the A55 coastal route. The park is home to a large number of thriving businesses as well as a substantial residential estate and a Boots Pharmacy. Commodore House is a modern purpose built office over 2 floors ...","https://www.rightmove.co.uk/properties/167030768#/?channel=COM_LET","2025-09-16T09:33:18Z","","new","Marketed by Legat Owen, Chester","","53.28754","-3.597924","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030768/262844_5729LH_IMG_07_0000_max_476x317.jpeg"
"167030234","Conwy","Office","Ground Floor 5325, North Wales Business Park, Cae Eithin, Abergele, Conwy, LL22 8LJ","£2,750 pcm","","","","A ground floor office of 2,650 sq ft with 10 car spaces. Situated on the well established North Wales Business Park, Abergele Easy access to A55 and Abergele town centre Open plan with meeting rooms and kitchen Fitted out to high standard Excellent natural light Rent at £33,000 pa. Rates at c...","https://www.rightmove.co.uk/properties/167030234#/?channel=COM_LET","2025-09-16T09:29:11Z","","new","Marketed by Legat Owen, Chester","","53.287975","-3.597158","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167030234/262844_5399LH_IMG_09_0000_max_476x317.jpeg"
"167029121","Conwy","Office","Penrhos Manor, Oak Drive, Colwyn Bay, Conwy, LL29 7YW","POA","","","","Penrhos Manor has a distinguished history, having been built for the famous Gamble family as their summer residence. Since then, this beautiful building has had many uses including a private school. The picturesque wooded setting of this traditional manor house creates an idyllic working environ...","https://www.rightmove.co.uk/properties/167029121#/?channel=COM_LET","2025-09-16T09:21:59Z","","new","Marketed by Legat Owen, Chester","","53.294989","-3.742351","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/263k/262844/167029121/262844_3154LH_IMG_23_0000_max_476x317.jpeg"
"166486259","Conwy","Commercial Property","Back Rhiw Bank Avenue, Colwyn Bay, LL29","£833 pcm","","","","The premises comprise a detached warehouse over two floors of steel portal frame and block work construction situated in a central location just off Colwyn Bay High Street and within a short drive to the A55 expressway. The accommodation has a gross internal area of circa 5000sqft and benefits fr...","https://www.rightmove.co.uk/properties/166486259#/?channel=COM_LET","2025-09-02T13:10:08Z","","new","Marketed by William Gleave, Llandudno","","53.292801","-3.723953","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/239k/238577/166486259/238577_WGL160273_L_IMG_17_0000_max_476x317.jpeg"
"165559565","Conwy","Office","St. Georges Church, Church Walks, Llandudno, Conwy, LL30","£2,000 pcm","","","","Self contained office suite located in the popular area of Church Walks","https://www.rightmove.co.uk/properties/165559565#/?channel=COM_LET","2025-08-08T21:26:25Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.325649","-3.837355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165559565/241850_COM250080_L_IMG_16_0000_max_476x317.jpeg"
"165530417","Conwy","Commercial Property","Church Walks, Llandudno, Conwy, LL30","£4,000 pcm","","","","Commercial space, currently configured as two self contained offices, in the popular area of Church Walks, a short distance from the town centre.","https://www.rightmove.co.uk/properties/165530417#/?channel=COM_LET","2025-08-08T12:07:53Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.325649","-3.837355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165530417/241850_COM250083_L_IMG_12_0000_max_476x317.jpeg"
"165522905","Conwy","Office","St. Georges Church, Church Walks, Llandudno, Conwy, LL30","£2,000 pcm","","","","Self contained office suite located in the popular area of Church Walks","https://www.rightmove.co.uk/properties/165522905#/?channel=COM_LET","2025-08-08T10:26:20Z","","new","Marketed by Dafydd Hardy Commercial, Gwynedd","","53.325649","-3.837355","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241850/165522905/241850_COM250082_L_IMG_13_0000_max_476x317.jpeg"
