id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"158625407","Kingston upon Thames","Warehouse","Unit 3-4, Fairfield Trade Park, Kingston Upon Thames, KT1 3AY","£26,054 pcm","","","","Two industrial units in Kingston - Available separately or together","https://www.rightmove.co.uk/properties/158625407#/?channel=COM_LET","2025-02-24T13:06:56Z","","new","Marketed by Vokins, London","","51.402963","-0.294139","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158625407/286220_110790-2_IMG_09_0000_max_476x317.jpeg"
"169947614","Kingston upon Thames","Retail Property (high street)","18-20 Thames Street, Kingston Upon Thames, Surrey, KT1 1PE","£5,833 pcm","","","","The property is grade II listed over 3 storeys with the main retail area on the ground floor and ancillary office/admin and storage space across the 1st and 2nd floors.","https://www.rightmove.co.uk/properties/169947614#/?channel=COM_LET","2025-12-03T10:27:24Z","","new","Marketed by SHW, South West London","","51.410538","-0.306633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947614/288434_35471LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947614/288434_35471LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947614/288434_35471LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947614/288434_35471LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947614/288434_35471LH_IMG_04_0000_max_476x317.jpeg"
"169947182","Kingston upon Thames","Commercial Property","157 High Street, New Malden, Surrey, KT3 4BH","£3,750 pcm","","","","The premises comprise the first floor of a part three storey building. The first floor provides good quality medical or office suites and a kitchenette. As this is a subletting, if a user is not of medical use but instead a traditional office occupier, landlord consent to proceed will be required.","https://www.rightmove.co.uk/properties/169947182#/?channel=COM_LET","2025-12-03T10:20:50Z","","new","Marketed by SHW, South West London","","51.399502","-0.255874","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288434/169947182/288434_34350LH_IMG_06_0000_max_476x317.jpeg"
"721781097353088","Kingston upon Thames","Leisure Facility","Ace Of Spades, Unit C, Hook Rise North, KT6 5AT","£2,292 pcm","","","","Highly prominent 1st floor space suitable for a range of uses.","https://www.rightmove.co.uk/properties/721781097353088#/?channel=COM_LET","2025-11-27T11:44:09Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Leatherhead","","51.37538","-0.302897","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781097353088/282647_129651-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781097353088/282647_129651-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781097353088/282647_129651-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781097353088/282647_129651-2_IMG_03_0000_max_476x317.jpeg"
"167417507","Kingston upon Thames","Commercial Property","Tolworth rise south, Surbiton, Surbiton","£750 pcm","","","","Nestled in the vibrant area of Tolworth Rise South in Surbiton, this commercial property presents an excellent opportunity for entrepreneurs and business owners alike. Previously operating as a beauty salon, the space is well-suited for a variety of ventures, offering flexibility to adapt to your...","https://www.rightmove.co.uk/properties/167417507#/?channel=COM_LET","2025-09-25T12:48:36Z","","price_reduced","Marketed by STONEBANKS UK LTD, London","","51.386894","-0.272092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272417/167417507/272417_33695919_IMG_12_0000_max_476x317.jpeg"
"168757040","Kingston upon Thames","Shop","Maple Road, Surbiton","£1,958 pcm","","","","* AVAILABLE NOW * Luxury fully modernised retail shop to let * Air conditioning * Bifold - windows * Corner site with higher visibility * Maple Road, Surbiton * EPC - C * Book viewings asap as off market viewings are happening now *","https://www.rightmove.co.uk/properties/168757040#/?channel=COM_LET","2025-10-29T16:08:41Z","","new","Marketed by Harrison Jacks, Kingston Upon Thames","","51.394908","-0.307986","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/168757040/227687_34273311_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/168757040/227687_34273311_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/168757040/227687_34273311_IMG_02_0000_max_476x317.jpeg"
"168702656","Kingston upon Thames","Office","Victoria Road, Surbiton, Surrey, KT6","£1,250 pcm","","","","Second floor offices located on the busy Victoria Road in Surbiton Town Centre.","https://www.rightmove.co.uk/properties/168702656#/?channel=COM_LET","2025-10-28T13:25:06Z","","size_change","Marketed by WALLAKERS LIMITED, Surbiton","","51.39179","-0.30715","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168702656/279899_919_IMG_05_0000_max_476x317.jpeg"
"168701897","Kingston upon Thames","Office","Victoria Road, Surbiton, Surrey, KT6","£1,333 pcm","","","","A suite of First Floor Offices available to let in Surbiton Town Centre within a short walking distance of Surbiton Train Station,","https://www.rightmove.co.uk/properties/168701897#/?channel=COM_LET","2025-10-28T13:18:51Z","","new","Marketed by WALLAKERS LIMITED, Surbiton","","51.39179","-0.30715","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/168701897/279899_918_IMG_07_0000_max_476x317.jpeg"
"168461354","Kingston upon Thames","Shop","416 Richmond Road, Cranmer Court, Kingston Upon Thames","£2,083 pcm","","","","A busy retail parade on Richmond Road in affluent Ham on the edge of Kingston town centre. Retailers include William Hill and local bakers, beauticians, estate agent and a specialist wine shop. ","https://www.rightmove.co.uk/properties/168461354#/?channel=COM_LET","2025-10-22T01:14:04Z","","new","Marketed by LCP, Commercial","","51.43063","-0.30686","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/168461354/229553_68f742e2252ef08dda9af62a_2_137_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/168461354/229553_68f742e2252ef08dda9af62a_2_137_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/168461354/229553_68f742e2252ef08dda9af62a_2_137_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/230k/229553/168461354/229553_68f742e2252ef08dda9af62a_2_137_IMG_01_0000_max_476x317.jpeg"
"168390650","Kingston upon Thames","Office","Kingston Road, New Malden, London, KT3","£2,083 pcm","","","2","A 1st floor purpose-built office space with off street parking to let.","https://www.rightmove.co.uk/properties/168390650#/?channel=COM_LET","2025-10-20T14:19:46Z","","new","Marketed by HNF Property Limited, Croydon","","51.39922","-0.26231","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287990/168390650/287990_1stFloor60KingstonRoad_IMG_05_0000_max_476x317.png"
"168162005","Kingston upon Thames","Leisure Facility","Picton House, 52 High Street, Kingston upon Thames, KT1 1HN","POA","","","","Riverside offices with Courtyard in Kingston Town Centre suitable for alternative use, medical, educational and residential development","https://www.rightmove.co.uk/properties/168162005#/?channel=COM_LET","2025-10-13T15:07:30Z","","new","Marketed by Lambourn Commercial, London","","51.407247","-0.308092","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291179/168162005/291179_316423-2_IMG_04_0000_max_476x317.jpeg"
"166815875","Kingston upon Thames","Commercial Property","Cleaveland Road, Surbiton","£2,708 pcm","","","","AVAILABLE NOW * DETACHED OFFICE BUILDING * EPC - C * GARAGE * PARKING * CCTV WIRING * AIR CONDITIONING * SECURITY ALARMED SYSTEM * ROLLER SHUTTERS * STORAGE FACILITY/ FURTHER OFFICE SPACE * SKY LIGHTS * FULLY FITTED KITCHEN WITH HOT TAP * 4MINS TO SURBITON TRAIN STATION & APPROX. 15 MINS TO LONDO...","https://www.rightmove.co.uk/properties/166815875#/?channel=COM_LET","2025-09-10T11:02:27Z","","size_change","Marketed by Harrison Jacks, Kingston Upon Thames","","51.394977","-0.308112","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/228k/227687/166815875/227687_34162529_IMG_24_0000_max_476x317.jpeg"
"167700470","Kingston upon Thames","Shop","Ewell Road, Surbiton, Greater London, KT6","£3,333 pcm","","","","Commercial parade located in a popular location. Located solely on the ground floor & ideal for multiple use subject to the necessary consents. The premise requires a full fit out & solely is offered in the current shell state. Offered on a long lease wit...","https://www.rightmove.co.uk/properties/167700470#/?channel=COM_LET","2025-10-02T10:33:34Z","","new","Marketed by Stones Property, Hillingdon","","51.384445","-0.293361","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91151/167700470/91151_HIL250026_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/92k/91151/167700470/91151_HIL250026_L_IMG_01_0000_max_476x317.jpeg"
"167556821","Kingston upon Thames","Office","Oak Hill Grove, Surbiton, Surrey, KT6","£1,250 pcm","","","1","An attractive Suite comprising of five offices arranged over the second floor of a magnificent detached period building with parking.Located closeby to Surbiton Train Station and Town Centre.","https://www.rightmove.co.uk/properties/167556821#/?channel=COM_LET","2025-09-29T13:15:48Z","","new","Marketed by WALLAKERS LIMITED, Surbiton","","51.38938","-0.30249","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/280k/279899/167556821/279899_917_IMG_05_0000_max_476x317.jpeg"
"167368634","Kingston upon Thames","Industrial Park","Metroplex Park, Red Lion Road, Tolworth, Surrey, KT6 7QD","POA","","","","Metroplex Park has 9 new flexible industrial/warehouse units with fully fitted first floor offices ranging from 6,707 to 18,117 sq ft with the ability to combine units which are available to occupy now. There is also a potential saving of £2.11 per sq ft per annum through use of PVs.","https://www.rightmove.co.uk/properties/167368634#/?channel=COM_LET","2025-09-24T14:25:19Z","","new","Marketed by SHW, South West London","","51.375381","-0.293417","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/52b988947/167368634/52b988947420ad2f8e546dbf3e0afac4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/30b623c77/167368634/30b623c778dc33b0fbedadc07b3a76ac_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/48a2ed40b/167368634/48a2ed40b04c9c8043d4f790b0b2d26a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5c27de9b8/167368634/5c27de9b82f71a53fdb82a7f7c80665d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ecb728251/167368634/ecb728251c2dd3959684982d1fc843b6_max_476x317.jpeg"
"167017475","Kingston upon Thames","Garage","Newborough Green, New Malden","£175 pcm","","","","A single freehold brick built garage with up and over door, the garage is situated within a block of garages in a quiet residential location on Newborough Green in New Malden. The garage length is approximately 5.1m with a width of 2.36m (approx.) and is available from October. Viewing highly rec...","https://www.rightmove.co.uk/properties/167017475#/?channel=COM_LET","2025-09-15T17:22:58Z","","price_reduced","Marketed by Parry & Drewett, Surrey","","51.400139","-0.267173","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78770/167017475/78770_12754738_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/79k/78770/167017475/78770_12754738_IMG_01_0000_max_476x317.jpeg"
"167152466","Kingston upon Thames","Industrial Park","Unit 22 Barwell Business Park, Leatherhead Road, Chessington, KT9 2NY","POA","","","","Mid terrace warehouse/production unit benefitting from 1 electric level access loading door, ground floor office, kitchenette and WCs and mezzanine with office, kitchen, shower and WC facilities. ","https://www.rightmove.co.uk/properties/167152466#/?channel=COM_LET","2025-09-18T14:53:12Z","","new","Marketed by Cushman & Wakefield LLP, London & South East - Industrial","","51.35353","-0.31071","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82140/167152466/82140_82140_253W6H00_IMG_05_0000_max_476x317.jpeg"
