id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"168750518","Harrow","Commercial Development","Pinner Grove, Pinner, Middlesex, HA5 5NZ","POA","","","2","377–592 sq. ft.","377","592","35","55","Local authority owned. Potential for low rent, business dependant. Large former toilet block has character features and is a set in well-maintained gardens, giving it a suburban feel. Land included in front of and behind the property. ","https://www.rightmove.co.uk/properties/168750518#/?channel=COM_LET","2025-10-29T13:43:21Z","","new","Marketed by London Borough of Harrow, Harrow","","51.58892","-0.3776","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296075/168750518/296075_Village_IMG_08_0000_max_476x317.jpeg"
"721597621770641","Harrow","Office","Masters House, 1 Marlborough Hill, Harrow, HA1 1UX","£800 pcm","","","","98–154 sq. ft.","98","154","9","14","Small Offices To Let","https://www.rightmove.co.uk/properties/721597621770641#/?channel=COM_LET","2025-11-26T11:08:03Z","","size_change","Marketed by DCPC Commercial, Pinner","","51.59043","-0.33254","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597621770641/82557_130762-2_IMG_14_0000_max_476x317.jpeg"
"169988999","Harrow","Office","High Street, Pinner, Greater London, HA5","£2,042 pcm","","","","984 sq. ft.","984","984","91","91","The building has been recently fully refurbished with an emphasis on the internal period features of exposed brickwork, timber beams and leaded light windows. This sits alongside modern installations of new glazed rooflights, air conditioning, integrated IT cabling and wood flooring. The avai...","https://www.rightmove.co.uk/properties/169988999#/?channel=COM_LET","2025-12-04T10:59:14Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.594341","-0.379464","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169988999/145475_1313LH_IMG_09_0000_max_476x317.jpeg"
"169906853","Harrow","Warehouse","Unit 22 The Hawthorn Centre, Elmgrove Road, Harrow, HA1 2RF","£2,917 pcm","","","","1,390 sq. ft.","1390","1390","129","129","Modern Warehouse/Offices","https://www.rightmove.co.uk/properties/169906853#/?channel=COM_LET","2025-12-02T10:33:17Z","","price_reduced","Marketed by Dutch & Dutch, Commercial","","51.58808","-0.327272","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d4f3b61a1/169906853/d4f3b61a1418a07a22de52afd427b79f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c7b6f242c/169906853/c7b6f242c990f455dbafcd0f34057fd9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/89a1c7a2d/169906853/89a1c7a2d1b0b2a5094aaf9f289e006e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/31bd88328/169906853/31bd88328149622035da945863a10720_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a3160f008/169906853/a3160f00831f336c72ee46e47dcaeddc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4127724dd/169906853/4127724ddc16b014058556744e5e7aa4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/348314be7/169906853/348314be75c1f3b93adb09db3122ad75_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ccff3778b/169906853/ccff3778bbd4ad867ad55c633fb43687_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/66ddf615c/169906853/66ddf615c85e0185a157aa8160630c64_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4bbbf6ce7/169906853/4bbbf6ce71058eba7e7dc47cbf2f39d9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5a8de1e1a/169906853/5a8de1e1a7fcf5e614bd025d78709484_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1311bac69/169906853/1311bac691454b4b0b82c5eb2a872aa6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9aa7dc023/169906853/9aa7dc023464035d7a7da68ba7837729_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3ae2f7810/169906853/3ae2f78104dc44eb3164990de120a5a1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4fe2f85b5/169906853/4fe2f85b566dad36845ec5c4ef7077bb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/752200b4f/169906853/752200b4ff5f71296f3fe87d33ee45ac_max_476x317.jpeg"
"169906487","Harrow","Warehouse","Unit 17, Hawthorn Centre, Elmgrove Road, Harrow, HA1 2RF","£2,500 pcm","","","","1,256 sq. ft.","1256","1256","117","117","Refurbished Modern Warehouse/Industrial Property TO LET","https://www.rightmove.co.uk/properties/169906487#/?channel=COM_LET","2025-12-02T10:27:36Z","","price_reduced","Marketed by Dutch & Dutch, Commercial","","51.587498","-0.326357","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/85k/84379/169906487/84379_304495-2_IMG_09_0000_max_476x317.jpeg"
"169876943","Harrow","Warehouse","Rear Garages, St. Johns Road, Harrow, Greater London, HA1","£2,500 pcm","","","","1,248 sq. ft.","1248","1248","116","116","Available to lease as a single package of 7 standard size lock-up garages sitting in a secure gated yard space in the heart of Harrow Town Centre. The garages sit behind a residential apartment building and are approached by a single carriage drive. An ideal property solution for a used car de...","https://www.rightmove.co.uk/properties/169876943#/?channel=COM_LET","2025-12-01T13:27:03Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.581596","-0.331616","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169876943/145475_1462LH_IMG_03_0000_max_476x317.jpeg"
"162702077","Harrow","Light Industrial","Barratt Way, Harrow HA3 5TJ, UK","£4,874 pcm","","","","2,437 sq. ft.","2437","2437","226","226","Unit 8 consists 2,437 sq.ft of ground floor warehouse space and has just been fully refurbished. Consisting of 11 units ranging from 2,200 sq ft to 10,500 sq ft, Barratt Way Industrial Estate offers versatile space with 24 hour secure access. The site is located close to the amen...","https://www.rightmove.co.uk/properties/162702077#/?channel=COM_LET","2025-06-02T09:56:00Z","","price_reduced","Marketed by Capital Industrial, London","","51.596957","-0.343911","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/162k/161303/162702077/161303_d727bc83-b432-4a0d-9653-8bafe440593d_IMG_05_0000_max_476x317.jpeg"
"169788287","Harrow","Retail Property (high street)","Station Road, Harrow, Greater London, HA1","£2,708 pcm","","","","2,250 sq. ft.","2250","2250","209","209","A former building society office consisting of ground floor 1,150 sq ft and first floor 1,100 sq ft. The property is in good condition with partial air conditioning, CAT 5 cabling, LED lighting and new fitted kitchen space.","https://www.rightmove.co.uk/properties/169788287#/?channel=COM_LET","2025-11-27T15:50:03Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.579639","-0.333766","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169788287/145475_1445LH_IMG_05_0000_max_476x317.jpeg"
"169780208","Harrow","Residential Development","Kingshill Avenue, Harrow, HA3 8LB","£3,000 pcm","","4","2","1,357 sq. ft.","1357","1357","126","126","Renovated semi-detached house offers a perfect blend of modern living and comfort. Spanning an impressive 1,356 square feet, the property boasts four spacious bedrooms, making it an ideal family home. Upon entering, you will be greeted by a through lounge, perfect for entertaining guests or enjoy...","https://www.rightmove.co.uk/properties/169780208#/?channel=COM_LET","2025-11-27T13:29:05Z","","new","Marketed by Haymills, Harrow","","51.589363","-0.313824","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/82k/81158/169780208/81158_34328923_IMG_13_0000_max_476x317.jpeg"
"721597925691808","Harrow","Retail Property (high street)","2B Bishops Walk, Pinner, HA5 5QQ","£1,333 pcm","","","","459 sq. ft.","459","459","43","43","Ground Floor Retail Unit","https://www.rightmove.co.uk/properties/721597925691808#/?channel=COM_LET","2025-11-26T11:10:00Z","","new","Marketed by DCPC Commercial, Pinner","","51.594542","-0.381608","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597925691808/82557_302688-2_IMG_05_0000_max_476x317.jpeg"
"721597795763424","Harrow","Retail Property (high street)","70 Pinner Green, Pinner, HA5 2AB","£1,467 pcm","","","","992 sq. ft.","992","992","92","92","Prominent Retail Unit - To Let","https://www.rightmove.co.uk/properties/721597795763424#/?channel=COM_LET","2025-11-26T11:09:08Z","","new","Marketed by DCPC Commercial, Pinner","","51.598093","-0.395004","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/474ec0826/721597795763424/474ec082638c4df55f133fb481db504f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db1712d29/721597795763424/db1712d29d9557201cdc9dc44bd100c9_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e5cf0a742/721597795763424/e5cf0a742193b89ea3625b80f8a796de_max_476x317.jpeg"
"721597739215137","Harrow","Retail Property (high street)","52 Bridge Street, Pinner, HA5 3JF","£2,917 pcm","","","","950 sq. ft.","950","950","88","88","Ground floor former restaurant.","https://www.rightmove.co.uk/properties/721597739215137#/?channel=COM_LET","2025-11-26T11:08:18Z","","new","Marketed by DCPC Commercial, Pinner","","51.595212","-0.383837","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597739215137/82557_223942-2_IMG_09_0000_max_476x317.jpeg"
"721597716143153","Harrow","Office","Unit 8, Churchill Court, Harrow, HA2 7SA","£1,980 pcm","","","","1,080 sq. ft.","1080","1080","100","100","Third floor office available to let. Located opposite North Harrow Metropolitan line station & recently refurbished throughout.","https://www.rightmove.co.uk/properties/721597716143153#/?channel=COM_LET","2025-11-26T11:08:18Z","","new","Marketed by DCPC Commercial, Pinner","","51.584719","-0.361244","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597716143153/82557_204951-2_IMG_00_0000_max_476x317.jpeg"
"169710332","Harrow","Leisure Facility","The Former NatWest Bank, The Broadway, Stanmore, Greater London, HA7","£6,250 pcm","","","","2,675 sq. ft.","2675","2675","249","249","This former banking unit occupies the entire ground floor of this attractive period building with features of Portland stone façade and generous internal ceiling height. The space is laid out as a series of rooms leading to the original safe and strong room. In total there is 2,650 sq ft of gross...","https://www.rightmove.co.uk/properties/169710332#/?channel=COM_LET","2025-11-25T17:42:32Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.617474","-0.311102","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169710332/145475_1450LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169710332/145475_1450LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169710332/145475_1450LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169710332/145475_1450LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169710332/145475_1450LH_IMG_04_0000_max_476x317.jpeg"
"721597770673840","Harrow","Office","Stanmore Towers, 8-14 Church Road, Stanmore, HA7 4AW","£2,271 pcm","","","","1,469 sq. ft.","1469","1469","136","136","Office / Medical Suite in Prime Position in Stanmore","https://www.rightmove.co.uk/properties/721597770673840#/?channel=COM_LET","2025-11-26T11:08:09Z","","price_reduced","Marketed by DCPC Commercial, Pinner","","51.61733","-0.311873","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597770673840/82557_228472-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597770673840/82557_228472-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597770673840/82557_228472-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/83k/82557/721597770673840/82557_228472-2_IMG_03_0000_max_476x317.jpeg"
"169533896","Harrow","Retail Property (high street)","Stanmore Broadway, Stanmore, Middlesex, HA7","£3,750 pcm","","","","982 sq. ft.","982","982","91","91","A lock up shop occupying a prime corner position on The Broadway in Stanmore, next to the access road to a public car park. The shop is 982 sq ft and currently fitted as a hair salon, but suitable for all other retail uses. The landlords will not permit restaurant or take away use.","https://www.rightmove.co.uk/properties/169533896#/?channel=COM_LET","2025-11-20T13:18:04Z","","new","Marketed by Chamberlain Commercial (UK) Ltd, Middlesex","","51.617798","-0.310527","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/146k/145475/169533896/145475_239LH_IMG_07_0000_max_476x317.jpeg"
"169503809","Harrow","Office","2nd Floor, 7 Jardine House, Harrovian Business Village, Bessborough Road, Harrow, HA1 3EX","£1,250 pcm","","","","737 sq. ft.","737","737","68","68","7 Jardine House offers a well-presented second-floor office suite comprising approximately 737 sq ft within the established Harrovian Business Village. The unit provides a bright, efficient workspace with a flexible layout suited to a variety of professional and administrative uses. Benefiting ...","https://www.rightmove.co.uk/properties/169503809#/?channel=COM_LET","2025-11-19T17:07:26Z","","new","Marketed by VDBM, Middlesex","","51.578129","-0.342033","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129484/169503809/129484_1352LH_IMG_07_0000_max_476x317.jpeg"
"161757488","Harrow","Restaurant","Gujarati Take Away for Sale","£1,600 pcm","","","","570 sq. ft.","570","570","53","53","Property located in Gujarati Take Away for Sale","https://www.rightmove.co.uk/properties/161757488#/?channel=COM_LET","2025-05-09T16:47:48Z","","new","Marketed by Property Hub, Wembley","","51.5939","-0.3366","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286352/161757488/286352_103231003299_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286352/161757488/286352_103231003299_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286352/161757488/286352_103231003299_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286352/161757488/286352_103231003299_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286352/161757488/286352_103231003299_IMG_04_0000_max_476x317.jpeg"
