id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169924745","Bridgend","Light Industrial","Warehouse & Showroom at D12, David Street, Bridgend Industrial Estate, Bridgend","£4,400 pcm","","","","4,051 sq. ft.","4051","4051","376","376","Opportunity to let a warehouse and adjacent showroom unit within a secured compound located on the established Bridgend Industrial Estate.","https://www.rightmove.co.uk/properties/169924745#/?channel=COM_LET","2025-12-02T15:19:01Z","","new","Marketed by Harris & Birt, Cardiff","","51.502399","-3.539212","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/169924745/276692_34327167_IMG_08_0000_max_476x317.jpeg"
"719265844511633","Bridgend","Office","Chapel Barns Business Units, Merthyr Mawr, Bridgend, CF32 0LS","£1,094 pcm","","","","510–1,050 sq. ft.","510","1050","47","98","To Let: Office accommodation set in a sensitively restored barn conversion.","https://www.rightmove.co.uk/properties/719265844511633#/?channel=COM_LET","2025-11-13T14:12:10Z","","size_change","Marketed by Cooke & Arkwright Limited, Office Agency","","51.485717","-3.608911","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265844511633/250433_105893-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265844511633/250433_105893-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265844511633/250433_105893-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265844511633/250433_105893-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719265844511633/250433_105893-2_IMG_04_0000_max_476x317.jpeg"
"719265905475648","Bridgend","Mixed Use","Unit 12  13, The Rhiw Shopping Centre, Bridgend, CF31 3BL","POA","","","","1,140–1,724 sq. ft.","1140","1724","106","160","Unit To Let","https://www.rightmove.co.uk/properties/719265905475648#/?channel=COM_LET","2025-11-13T14:12:11Z","","size_change","Marketed by Cooke & Arkwright Limited, Retail & Leisure","","51.50542","-3.577717","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719265905475648/250442_106052-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719265905475648/250442_106052-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719265905475648/250442_106052-2_IMG_02_0000_max_476x317.jpeg"
"163119590","Bridgend","Light Industrial","Showroom at D12, David Street, Bridgend Industrial Estate, Bridgend","£1,400 pcm","","","","981 sq. ft.","981","981","91","91","Opportunity to let a warehouse / showroom premises with office, kitchen and WC facility on the established Bridgend Industrial Estate.","https://www.rightmove.co.uk/properties/163119590#/?channel=COM_LET","2025-06-10T17:39:49Z","","price_reduced","Marketed by Harris & Birt, Cardiff","","51.503341","-3.538574","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/277k/276692/163119590/276692_33953488_IMG_05_0000_max_476x317.jpeg"
"163230101","Bridgend","Light Industrial","Warehouse at D12, David Street, Bridgend Industrial Estate, Bridgend","£3,000 pcm","","","","3,070 sq. ft.","3070","3070","285","285","Opportunity to let a large warehouse / industrial unit with compound located on the established Bridgend Industrial Estate.","https://www.rightmove.co.uk/properties/163230101#/?channel=COM_LET","2025-06-12T16:19:12Z","","price_reduced","Marketed by Harris & Birt, Cardiff","","51.503299","-3.538161","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/98d957d86/163230101/98d957d862b8b9a8635b609bd3b68902_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8c33b74c1/163230101/8c33b74c10c93d470a029379da805f63_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9b5887f97/163230101/9b5887f97d0c84877669e7c9c697b66f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c70391b70/163230101/c70391b7031784b4a3f3645f540eac54_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/dd47a21c4/163230101/dd47a21c47b3148e6ab140d963a92593_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/191e3d1d4/163230101/191e3d1d4d45563654c95deff2862eb1_max_476x317.jpeg"
"169023563","Bridgend","Commercial Property","South Street, Bridgend, CF31 3ED","£850 pcm","","","","377 sq. ft.","377","377","35","35","PJC are proud to present this self contained Ground floor office - 35 sqm (376 sq ft). The property includes an area ideal for kitchette, meeting room and WC. Mezzanine storage (currently used as an office - 7.5 sqm (80sqft) Roller shutter door. Entirely self contained. Electric heating Fibre ...","https://www.rightmove.co.uk/properties/169023563#/?channel=COM_LET","2025-11-05T15:18:43Z","","new","Marketed by Payton Jewell Caines, Pencoed","","51.501857","-3.577079","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54694/169023563/54694_34287922_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54694/169023563/54694_34287922_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/55k/54694/169023563/54694_34287922_IMG_02_0000_max_476x317.jpeg"
"168693290","Bridgend","Distribution Warehouse","Brocastle Development Site, Bridgend, CF35 5AU","POA","","","","117,612–1,960,200 sq. ft.","117612","1960200","10927","182108","Strategic employment site well located in Bridgend, South Wales","https://www.rightmove.co.uk/properties/168693290#/?channel=COM_LET","2025-10-28T11:24:10Z","","new","Marketed by JLL, Cardiff - Industrial","","51.484118","-3.533997","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168693290/291635_63120-2_IMG_07_0000_max_476x317.jpeg"
"168559841","Bridgend","Shop","Oxford Street, Pontycymer, Bridgend","£500 pcm","","","","","","","","","Smart Lettings are pleased to offer to let this ground floor retail space. Flexible Terms Available. Situated in the picturesque Garw Valley, this property offers an excellent opportunity for establishing your business. It features two spacious work areas, a WC, and a utility/storage room.","https://www.rightmove.co.uk/properties/168559841#/?channel=COM_LET","2025-10-24T09:05:55Z","","new","Marketed by Smart Lettings, Pontycymer","","51.6073","-3.58253","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_04_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_05_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_06_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_07_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_08_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_09_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_10_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/168559841/295907_CL0077_IMG_11_0002_max_476x317.jpeg"
"169207355","Bridgend","Shop","17 Talbot Street, Maesteg","£1,167 pcm","","","","","","","",""," FOR LEASE - PRIME TOWN CENTRE RETAIL UNIT  17 Talbot Street, Maesteg CF34 An exciting opportunity to lease a highly visible ground floor retail unit in the heart of Maesteg's bustling high street!  Prime Location - Situated on Talbot Street, Maesteg's main shoppi...","https://www.rightmove.co.uk/properties/169207355#/?channel=COM_LET","2025-11-11T07:35:22Z","","new","Marketed by Smart Lettings, Pontycymer","","51.6088","-3.6592","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/169207355/295907_CL0057_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/296k/295907/169207355/295907_CL0057_IMG_01_0000_max_476x317.jpeg"
"719266314414032","Bridgend","Retail Property (high street)","Unit 4 - 5, The Rhiw Shopping Centre, Bridgend, CF31 3BL","POA","","","","2,802 sq. ft.","2802","2802","260","260","TO LET: 2,802 sq. ft A1 Retail Unit Located in Bridgend Town Centre","https://www.rightmove.co.uk/properties/719266314414032#/?channel=COM_LET","2025-11-13T14:21:07Z","","new","Marketed by Cooke & Arkwright Limited, Retail & Leisure","","51.505556","-3.577778","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719266314414032/250442_271876-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719266314414032/250442_271876-2_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250442/719266314414032/250442_271876-2_IMG_02_0000_max_476x317.jpeg"
"165564518","Bridgend","Light Industrial","Kingsway Buildings, Bridgend, Bridgend (County of), Mid Glamorgan, CF31","£1,667 pcm","","","","3,250 sq. ft.","3250","3250","302","302","Modern light industrial/warehouse unit at Kingsway Buildings on Bridgend Industrial Estate It is 3,250 sqft and has a full height loading door, lighting and toilet.","https://www.rightmove.co.uk/properties/165564518#/?channel=COM_LET","2025-08-09T07:56:44Z","","price_reduced","Marketed by Middleton Perry Limited, Wales","","51.49895","-3.55374","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201512/165564518/201512_Kingsway16C_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201512/165564518/201512_Kingsway16C_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/202k/201512/165564518/201512_Kingsway16C_IMG_02_0001_max_476x317.jpeg"
"158548880","Bridgend","Retail Property (high street)","7-11 John Street, Porthcawl CF36 3AP","POA","","","","1,694–3,752 sq. ft.","1694","3752","157","349","Ground floor 7-11 John Street being redeveloped for mixed use to provide A1 Retail, A3 Restaurant/Bar units. Upper floor residential is owned by Beacon Cymru.","https://www.rightmove.co.uk/properties/158548880#/?channel=COM_LET","2025-02-21T12:06:23Z","","size_change","Marketed by Fletcher Morgan Consultants Limited, Cardiff","","51.4775","-3.70399","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/158548880/285419_FM25060_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285419/158548880/285419_FM25060_IMG_00_0000_max_476x317.jpeg"
"160827914","Bridgend","Retail Property (high street)","Caroline Street, Bridgend, Bridgend (County of), Mid Glamorgan, CF31","£1,250 pcm","","","","2,147 sq. ft.","2147","2147","199","199","Substantial retail property in Bridgend - Circa 2,147 sq ft, providing ground-floor retail accommodation together with first-floor ancillary. Prominent Town Centre location, opposite Rhiw Shopping Centre. 21 miles west of Cardiff, Roads A406, M4.","https://www.rightmove.co.uk/properties/160827914#/?channel=COM_LET","2025-04-17T14:23:34Z","","new","Marketed by Ivy Business Centre Ltd, Manchester","","51.50614","-3.57869","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/aebc36215/160827914/aebc36215382b420e2eef01e97657b63_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7b7e98c7e/160827914/7b7e98c7e5d88322f9628b3c33548c8f_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f3b9ab74a/160827914/f3b9ab74a5abb9ec1bce40f49b62f3c4_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c4a0723f7/160827914/c4a0723f7b428c5ee2d4d9b8f40de057_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bd1929597/160827914/bd192959790d3236c3dbfd154726bb6e_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ec991809/160827914/9ec9918092810b493cbff25576b48e6c_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bab4066ba/160827914/bab4066baa164d0b24a60f331a248159_max_476x317.png"
