id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"169403828","South Tyneside","Serviced Office","Charlotte Terrace, South Shields, Tyne And Wear, NE33","£350 pcm","","","","129 sq. ft.","129","129","12","12","""Charlotte Terrace Business Centre"" is a modern co-working building with 8 individual serviced office units. The offices come fully inclusive of all bills and come in a range of sizes. The office developments have a number of different businesses renting the spaces creating a friendly vibe.","https://www.rightmove.co.uk/properties/169403828#/?channel=COM_LET","2025-11-17T13:35:05Z","","new","Marketed by My Property Box, Darlington","","54.99479","-1.4304","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/99k/98237/169403828/98237_100990004531_IMG_06_0000_max_476x317.jpeg"
"154156715","South Tyneside","Light Industrial","Unit 18C, Follingsby Park, White Rose Way, Gateshead, NE10 8YF","POA","","","","7,939 sq. ft.","7939","7939","738","738","To Let modern detached high bay warehouse/industrial unit with large secure service yard and car parking. Located on Follingsby Park which is a prime industrial estate with direct access to the A194(M).","https://www.rightmove.co.uk/properties/154156715#/?channel=COM_LET","2024-10-24T13:07:02Z","","new","Marketed by HTA REAL ESTATE LIMITED, Newcastle","","54.936435","-1.518159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_10_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_11_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_13_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/154156715/70173_435LH_IMG_20_0000_max_476x317.jpeg"
"169120241","South Tyneside","Light Industrial","Didcot Way, Boldon Business Park, Boldon Colliery, Tyne And Wear, NE35 9PD","£10,083 pcm","","","","17,146 sq. ft.","17146","17146","1593","1593","Modern industrial unit To Let on the establish Boldon Business Park, South Tyneside, NE35 9PD","https://www.rightmove.co.uk/properties/169120241#/?channel=COM_LET","2025-11-07T13:50:33Z","","new","Marketed by HTA REAL ESTATE LIMITED, Newcastle","","54.944812","-1.461236","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169120241/70173_1480LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169120241/70173_1480LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70173/169120241/70173_1480LH_IMG_02_0000_max_476x317.jpeg"
"169074167","South Tyneside","Commercial Property","Albert Road, Jarrow","£1,000 pcm","","","","","","","","","A substantial two storey mid terraced building available to let on a new commercial lease with immediate possession available. The most recent use was as a Dentist surgery and it would suit a similar occupation or other commercial use, subject to any necessary consents. Floor area approximately 9...","https://www.rightmove.co.uk/properties/169074167#/?channel=COM_LET","2025-11-06T16:53:12Z","","new","Marketed by Andrew Craig, South Shields","","54.978063","-1.499447","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/29k/28749/169074167/28749_473283_IMG_00_0000_max_476x317.jpeg"
"90823664","South Tyneside","Light Industrial","Lindisfarne Court, Bede Industrial Estate, Jarrow NE32 3HG","£1,325 pcm","","","","1,097–1,614 sq. ft.","1097","1614","102","150","Pricing includes Maintenance Rent. Mid terraced workshops/industrial units located within Lindisfarne Court on the popular Bede Industrial Estate, Jarrow, Tyne & Wear. The estate benefits from tenant controlled access gates and is situated with excellent access to the Tyne Tunnel and A19. ","https://www.rightmove.co.uk/properties/90823664#/?channel=COM_LET","2020-03-25T11:44:39Z","","size_change","Marketed by Northern Trust, North East","","54.9768","-1.46144","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_U41B_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_U41B_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_U41B_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_Workshops_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_Workshops_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_Workshops_IMG_12_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_NEN_03019_Bede_Workshops_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/88k/87511/90823664/87511_101901_LindisfarneCourt_IMG_04_0000_max_476x317.jpg"
"168754043","South Tyneside","Retail Property (high street)","St Bedes, East Boldon, NE36","£1,500 pcm","","","","","","","","","This well-presented ground floor café offers an excellent opportunity for an operator seeking a ready-to-trade premises in the popular and well regarded location of East Boldon. The property comprises a welcoming main café area with a bar/serving counter and fully equipp...","https://www.rightmove.co.uk/properties/168754043#/?channel=COM_LET","2025-10-29T15:31:22Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.944581","-1.427079","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_05_0000_max_476x317.jpeg"
"168714068","South Tyneside","Retail Property (high street)","Station Approach, East Boldon, Tyne & Wear, NE36","£1,667 pcm","","","","1,657 sq. ft.","1657","1657","154","154","East Boldon is an affluent residential commuter village in the South Tyneside, situated between Sunderland and South Shields. It forms part of a cluster of high-amenity villages, including Cleadon and Whitburn, renowned for their desirable living environments. The property is convenien...","https://www.rightmove.co.uk/properties/168714068#/?channel=COM_LET","2025-10-28T16:00:26Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.947772","-1.419852","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/94c790aca/168714068/94c790aca1a154a88ad32ea06998300e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8b0dd3878/168714068/8b0dd3878aac763dce0265589f6801a7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a48707d0f/168714068/a48707d0fbe8be190211a02338c4d85c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b3e789b1b/168714068/b3e789b1bc3ecffa2d74ac1de2cbc176_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/395142d4a/168714068/395142d4a23049c4ad6dd27d9808e6d3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8f6eb8253/168714068/8f6eb8253113e748b2bd4e004503c702_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7b350dc42/168714068/7b350dc429e67a1767ca32b215b2e358_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/811ccc5af/168714068/811ccc5af3f3d3ba9f78f851344c0960_max_476x317.jpeg"
"168268739","South Tyneside","Retail Property (high street)","Retail Units, Executive South Shields Interchange, Transport Interchange, South Tyneside, NE33 1PQ","£438 pcm","From","","","60–435 sq. ft.","60","435","6","40","Retail Units to let within Executive South Shields Bus and Metro Interchange Box Unit (365 sq. ft.) and Former Travel Shop (60 sq. ft.)","https://www.rightmove.co.uk/properties/168268739#/?channel=COM_LET","2025-10-16T16:15:17Z","","new","Marketed by BNP Paribas Real Estate Advisory & Property Management UK Limited, Newcastle","","54.997637","-1.432569","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241244/168268739/241244_71663-2_IMG_11_0000_max_476x317.jpeg"
"168266591","South Tyneside","Shop","Station Road, Hebburn, Tyne and Wear, NE31","£833 pcm","","","","580 sq. ft.","580","580","54","54","Versatile retail unit Low business rates Excellent passing trade Rent only £10,000 per annum","https://www.rightmove.co.uk/properties/168266591#/?channel=COM_LET","2025-10-16T15:46:28Z","","new","Marketed by Youngs RPS Limited, Newcastle","","54.973131","-1.517626","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/131k/130720/168266591/130720_NEW250041_L_IMG_05_0000_max_476x317.jpeg"
"157774025","South Tyneside","Commercial Property","378 South Eldon Street, South Shields","£667 pcm","","","","","","","","","Vacant hot food takeaway. Floor area 848 sq. ft. (78 sq. m.). Still retains some equipment. New flexible lease terms. Electric roller shutters. Suitable for a variety of cuisines. Formerly an Indian & Chinese takeaway. Ample on street parking. Rent £8,000 per annum Ref I036 ","https://www.rightmove.co.uk/properties/157774025#/?channel=COM_LET","2025-02-04T16:31:22Z","","price_reduced","Marketed by Rook Matthews Sayer, Newcastle Upon Tyne - Commercial Properties","","54.98069","-1.44376","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/64k/63935/157774025/63935_12424468_IMG_07_0000_max_476x317.jpeg"
"714003645673537","South Tyneside","Office","Offices To Let in Jarrow, Hawthorne, Viking Business Park, Jarrow, NE32 3DP","£14,788 pcm","","","","14,850 sq. ft.","14850","14850","1380","1380","Offices To Let","https://www.rightmove.co.uk/properties/714003645673537#/?channel=COM_LET","2025-10-23T11:02:08Z","","new","Marketed by Sanderson Weatherall, Newcastle","","54.984333","-1.498502","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/714003645673537/261938_334674-2_IMG_00_0000_max_476x317.jpeg"
