id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"157606283","Sunderland","Distribution Warehouse","Turbine Business Park, Turbine Way, Sunderland, SR5 3NZ","POA","","","","51,376–68,458 sq. ft.","51376","68458","4773","6360","Units of 51,376 sq ft & 68,458 sq ft Turbine Way comprises four new units built to the latest specification. TB51 and TB68 are available for immediate occupation. Strategically located for connectivity to major transport routes, Turbine Way is situated in an established commercial area...","https://www.rightmove.co.uk/properties/157606283#/?channel=COM_LET","2025-01-31T10:04:43Z","","new","Marketed by Knight Frank, Newcastle - Commercial","","54.90778","-1.479365","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9bae70b11/157606283/9bae70b11c4f45855b78d13a66454c7c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ea39047d1/157606283/ea39047d18be2a584e37796f21f4da47_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/45ab9feb4/157606283/45ab9feb4e81505ef0395f1181884321_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5b6e14401/157606283/5b6e14401b229d5c4892f12c429ab090_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0268cd774/157606283/0268cd774a24c45aa3e499bee85e8d9d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/30c5ed8d6/157606283/30c5ed8d60ff7341e8bd4b2956dd9481_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cb0f23d73/157606283/cb0f23d73669048e5006164d504ead75_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df0eab33a/157606283/df0eab33a963711990d911d0d1f13d5c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6ea66a4f5/157606283/6ea66a4f5c0d8d9d2a48ca9954980d6b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4c4a9fdd2/157606283/4c4a9fdd2e316a9e6dbada8878931712_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7c62ddb26/157606283/7c62ddb26dd44303f72c52f14f8418cc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5af5580ff/157606283/5af5580ffa3a3ae42e61c294ef707725_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d62a8cf21/157606283/d62a8cf21993345d897289118d5ea970_max_476x317.jpeg"
"723056908189729","Sunderland","Pub","William Jameson, 30-32 Fawcett Street, Sunderland, SR1 1RH","POA","","","","9,296 sq. ft.","9296","9296","864","864","Substantial public house located in Sunderland city centre to let on behalf of JD Wetherspoon.","https://www.rightmove.co.uk/properties/723056908189729#/?channel=COM_LET","2025-12-04T14:54:57Z","","new","Marketed by Savills, Manchester - Licensed Leisure","","54.904427","-1.381191","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/226k/225518/723056908189729/225518_305408-2_IMG_05_0000_max_476x317.jpeg"
"169982747","Sunderland","Office","3 Colima Avenue, Sunderland Enterprise Park, Sunderland, SR5","£5,261 pcm","","","","","","","","","LOCATION The subject property is situated on Colima Avenue in Sunderland Enterprise Park. The property is situated in an excellent position, adjacent to the Wessington Way which is the main route into the city centre north of the River Wear. The Wessington Way is providing access to t...","https://www.rightmove.co.uk/properties/169982747#/?channel=COM_LET","2025-12-04T09:13:05Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.913812","-1.440207","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169982747/282893_SND240174_L_IMG_11_0000_max_476x317.jpeg"
"723050543441729","Sunderland","Light Industrial","IAMP Sunderland, International Advanced Manufacturing Park, East Boldon, Sunderland, SR5 3FH","POA","","","","41,635–1,754,477 sq. ft.","41635","1754477","3868","162996","To Let: Bespoke industrial / manufacturing units from 35,000 sq ft to 1,000,000 sq ft.","https://www.rightmove.co.uk/properties/723050543441729#/?channel=COM_LET","2025-12-04T14:55:49Z","","new","Marketed by Savills, Leeds Industrial","","54.923969","-1.478286","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3f1ada390/723050543441729/3f1ada39030e67f32ec6824244579271_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/988a60da6/723050543441729/988a60da6f83d5bf85ca05296011788e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d04d13491/723050543441729/d04d134913034bfd14522ccf89c3acd3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7d17150a3/723050543441729/7d17150a3275dfe6e36c7f828b300509_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e900e90d3/723050543441729/e900e90d37afaf587ed0f1a68b1b6da0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c534437ae/723050543441729/c534437ae55427b9517309ebc1bd997d_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5f08ad546/723050543441729/5f08ad546c999d2adb5bd89ba5eba070_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/45f8e46b3/723050543441729/45f8e46b39f660c6084601845037b2e3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1da77e2aa/723050543441729/1da77e2aa229469550e8d2ca7f118b61_max_476x317.jpeg"
"155360939","Sunderland","Office","Waterside House, Sunderland Enterprise Park, Sunderland, SR5 2TZ","POA","","","","295–4,552 sq. ft.","295","4552","27","423","Grade A Offices in Sunderland - To Let Quoting Rent £5940 - £60420 Waterside House provides a modern Grade A office building arranged over ground and two upper floors. The building was comprehensively refurbishment in 2022 and provides office suites, meeting rooms and ...","https://www.rightmove.co.uk/properties/155360939#/?channel=COM_LET","2024-11-26T09:51:19Z","","size_change","Marketed by Knight Frank, Newcastle - Commercial","","54.9182","-1.4183","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_00_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_01_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_02_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_03_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_04_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_05_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_06_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_07_0012_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155516/155360939/155516_CPD255121_IMG_08_0012_max_476x317.jpeg"
"719240433284864","Sunderland","Office","Doxford Park, Sunderland, Regus House, 4 Admiral Way, Sunderland, SR3 3XW","POA","","","","50–16,000 sq. ft.","50","16000","5","1486","Serviced Office Space TO LET","https://www.rightmove.co.uk/properties/719240433284864#/?channel=COM_LET","2025-11-13T10:50:07Z","","size_change","Marketed by Align Chartered Surveyors, Northallerton","","54.862853","-1.438429","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_06_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/227k/226952/719240433284864/226952_288250-2_IMG_07_0000_max_476x317.png"
"698589758862768","Sunderland","Serviced Office","Serviced Office Suites To Let in Sunderland, North Sands Business Centre, Liberty Way, Sunderland, SR6 0QA","£3,224 pcm","","","","225–1,810 sq. ft.","225","1810","21","168","Serviced Office Suites To Let","https://www.rightmove.co.uk/properties/698589758862768#/?channel=COM_LET","2025-10-23T12:58:03Z","","size_change","Marketed by Sanderson Weatherall, Newcastle","","54.914233","-1.373276","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/262k/261938/698589758862768/261938_197465-2_IMG_06_0001_max_476x317.jpeg"
"169708364","Sunderland","Pub","Keel Square, Sunderland, SR1","£10,000 pcm","","","","","","","","","Unit 3 is a ground floor retail unit available to let, forming part of the landmark Keel Square, Sunderland development, a high-profile mixed-use scheme located on a prominent city-centre site. This unit occupies a highly visible corner position and extends to 417 sq m (4,489 sq ft), w...","https://www.rightmove.co.uk/properties/169708364#/?channel=COM_LET","2025-11-25T17:05:56Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.907287","-1.386427","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169708364/282893_SND250296_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169708364/282893_SND250296_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169708364/282893_SND250296_L_IMG_02_0000_max_476x317.jpeg"
"167836343","Sunderland","Office","Sunderland Enterprise Park, Colima Avenue, SR5","£1,825 pcm","","","","1,824 sq. ft.","1824","1824","169","169","DESCRIPTION Unit 2C forms part of a multi-let, attractively landscaped Business Park, comprising a single-storey, self-contained office unit offering ‘own front door’ accommodation with dedicated on-site parking. KEY SPECIFICATION Self-Contained D...","https://www.rightmove.co.uk/properties/167836343#/?channel=COM_LET","2025-10-06T09:24:46Z","","price_reduced","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.913679","-1.440915","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/167836343/282893_CMR250160_L_IMG_06_0000_max_476x317.jpeg"
"722864330780560","Sunderland","Office","Fusion House, St. Catherines Court, Sunderland, SR5 3XJ","£9,420 pcm","","","","5,124–10,277 sq. ft.","5124","10277","476","955","Two storey office on Wessington Way in Sunderland available to let in part or as a whole.","https://www.rightmove.co.uk/properties/722864330780560#/?channel=COM_LET","2025-12-03T10:52:08Z","","new","Marketed by Parker Knights, Newcastle","","54.917066","-1.430345","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/253k/252818/722864330780560/252818_273143-2_IMG_08_0000_max_476x317.jpeg"
"722864362236273","Sunderland","Office","Quay West Business Village, Crown Road, Sunderland, SR5 2AL","£575 pcm","","","","575 sq. ft.","575","575","53","53","Vacant units available for purchase or lease within Quay West Business Village.","https://www.rightmove.co.uk/properties/722864362236273#/?channel=COM_LET","2025-12-03T10:52:08Z","","size_change","Marketed by Parker Knights, Newcastle","","54.91528","-1.407417","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/71343b79e/722864362236273/71343b79e005a19903657b24ee90d596_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/81cb56fa8/722864362236273/81cb56fa8ce0827ef618ea2745ec5e2c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de0b59258/722864362236273/de0b5925863ea4eeb69efe1a1f19e3f3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b91c79d66/722864362236273/b91c79d6698c718209ac6cc21d5b91ef_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e63a185f2/722864362236273/e63a185f223ff267e116ca8e79b17b0f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8e60a144a/722864362236273/8e60a144a87ad093ba9f9e1268e75ae3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f8c5ea29b/722864362236273/f8c5ea29b216401807d80a15548075df_max_476x317.jpeg"
"167291537","Sunderland","Office","Maker and Faber, Riverside Sunderland, Plater Way, Sunderland, Tyne and Wear, SR1 SR5","£10,000 pcm","","","","5,000–103,125 sq. ft.","5000","103125","465","9581","Maker and Faber - New Grade A offices in the heart Sunderland Per sq ft £24 per sq ft Riverside Sunderland is on the the UK's most ambitious regeneration projects. The multi-phase mixed use development is transforming the Sunderland City Centre skyline, led by significant co...","https://www.rightmove.co.uk/properties/167291537#/?channel=COM_LET","2025-09-23T09:16:42Z","","new","Marketed by Knight Frank, Newcastle - Commercial","","54.909091","-1.384303","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e28e41225/167291537/e28e41225566215cbb44774b5de7fd85_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ff0e19bf8/167291537/ff0e19bf8dd131b46470460f73e942f0_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e87544d7a/167291537/e87544d7ad9e81934cbb10853d9dc778_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0659afbe2/167291537/0659afbe20d11707bdf32a98e091ecc2_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ecd1be972/167291537/ecd1be9720da58e6a1c9ec424c46b251_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7916c2fc7/167291537/7916c2fc7ef9fdacb66f752cce9b28a7_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ac50661b6/167291537/ac50661b6dcb3fcf428c41db756822d3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/efd5e7385/167291537/efd5e738521aa1438e2d490761b13ae4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/efd5e7385/167291537/efd5e738521aa1438e2d490761b13ae4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b3ec75220/167291537/b3ec7522034173920eee25705397a970_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/7837b60a2/167291537/7837b60a2696eaac259a24e4bd7f13bf_max_476x317.jpeg"
"169123271","Sunderland","Light Industrial","Lisburn Terrace West, Sunderland, SR4 6UJ","£5,000 pcm","","","","10,484 sq. ft.","10484","10484","974","974","The property is a semi detached industrial unit of steel frame and brick construction with clad elevations along with a metal profile sheet clad roof with a further element of flat roof to the eastern elevation. Internally the warehouse space has concrete flooring and has recently been rewired w...","https://www.rightmove.co.uk/properties/169123271#/?channel=COM_LET","2025-11-07T14:28:35Z","","new","Marketed by Naylors Gavin Black LLP, Newcastle Upon Tyne","","54.909943","-1.406814","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/169123271/100681_3253LH_IMG_14_0000_max_476x317.jpeg"
"169035341","Sunderland","Retail Property (high street)","Unit 11 Pennywell Shopping Centre, Pennywell, Sunderland, Tyne & Wear, SR4","£1,354 pcm","","","","1,808 sq. ft.","1808","1808","168","168","The subject property comprises a ground floor retail unit within Pennywell Shopping Centre, a well-established neighbourhood shopping hub. The unit enjoys a prominent position within a centre anchored by national retailers, benefiting from strong footfall and exposure to the local community. ","https://www.rightmove.co.uk/properties/169035341#/?channel=COM_LET","2025-11-05T19:08:16Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.896584","-1.440405","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169035341/282893_CMR250191_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169035341/282893_CMR250191_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169035341/282893_CMR250191_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/169035341/282893_CMR250191_L_IMG_03_0000_max_476x317.jpeg"
"167374814","Sunderland","Light Industrial","Unit 15C, Southwick Industrial Estate, Sunderland, Tyne And Wear, SR5 3JT","£1,327 pcm","","","","1,990 sq. ft.","1990","1990","185","185","The property is of steel portal frame construction with blockwork to dado level and cladding above. The unit contains an insulated roller door measuring 3m(wide) x 4.5m(high). Minimum eaves height extends to 5.5m to the haunch and maximum eaves height is 6.6m at the apex. The unit benefits from...","https://www.rightmove.co.uk/properties/167374814#/?channel=COM_LET","2025-09-24T15:45:13Z","","size_change","Marketed by Naylors Gavin Black LLP, Newcastle Upon Tyne","","54.921513","-1.418532","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/167374814/100681_3050LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/167374814/100681_3050LH_IMG_01_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/167374814/100681_3050LH_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/101k/100681/167374814/100681_3050LH_IMG_03_0001_max_476x317.jpeg"
"168754043","Sunderland","Retail Property (high street)","St Bedes, East Boldon, NE36","£1,500 pcm","","","","","","","","","This well-presented ground floor café offers an excellent opportunity for an operator seeking a ready-to-trade premises in the popular and well regarded location of East Boldon. The property comprises a welcoming main café area with a bar/serving counter and fully equipp...","https://www.rightmove.co.uk/properties/168754043#/?channel=COM_LET","2025-10-29T15:31:22Z","","new","Marketed by Bradley Hall, Newcastle Upon Tyne","","54.944581","-1.427079","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282893/168754043/282893_SND250257_L_IMG_05_0000_max_476x317.jpeg"
