id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"721781187528400","Croydon","Commercial Property","1st Floor, 29 Ullswater Crescent, Coulsdon, CR5 2HR","£3,701 pcm","","","","1,974 sq. ft.","1974","1974","183","183","Offices to Let","https://www.rightmove.co.uk/properties/721781187528400#/?channel=COM_LET","2025-11-27T11:44:07Z","","new","Marketed by Hurst Warne & Partners Surveyors Limited, Leatherhead","","51.317101","-0.133792","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781187528400/282647_197506-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781187528400/282647_197506-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781187528400/282647_197506-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781187528400/282647_197506-2_IMG_03_0000_max_476x317.jpeg"
"169997837","Croydon","Light Industrial","Pitlake, Croydon, Surrey","£8,167 pcm","","","","5,446 sq. ft.","5446","5446","506","506","Industrial / Warehouse Unit available to let on a new Full Repairing and Insuring Lease for a term to be agreed. The premises benefit from: - Covered loading - Eaves 6.10m - Roller shutter door - 3 phase power - Perimeter trunking - Ground floor offices - Kitchenette - WC facilities - 5 on-site ...","https://www.rightmove.co.uk/properties/169997837#/?channel=COM_LET","2025-12-04T13:01:17Z","","new","Marketed by Centro Commercial Limited, Surrey","","51.377099","-0.107271","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169997837/211619_749LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169997837/211619_749LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169997837/211619_749LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169997837/211619_749LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/212k/211619/169997837/211619_749LH_IMG_04_0000_max_476x317.jpeg"
"723048582601808","Croydon","Office","Mosaic East - Stephensons, 17 Addiscombe Road, Croydon, CR0 6SR","£105,952 pcm","","","","2,574–29,228 sq. ft.","2574","29228","239","2715","Mosaic East (Stephenson & Knolly's House) has recently undergone a comprehensive refurbishment.","https://www.rightmove.co.uk/properties/723048582601808#/?channel=COM_LET","2025-12-04T11:19:32Z","","new","Marketed by Savills, Margaret Street - Offices","","51.375477","-0.090382","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048582601808/210155_20842-2_IMG_23_0000_max_476x317.jpeg"
"723048588763185","Croydon","Office","Mosaic East - Knollys, 17 Addiscombe Road, Croydon, CR0 6SR","£144,400 pcm","","","","1,359–46,208 sq. ft.","1359","46208","126","4293","Mosaic East (Stephenson & Knolly's House) has recently undergone a comprehensive refurbishment.","https://www.rightmove.co.uk/properties/723048588763185#/?channel=COM_LET","2025-12-04T11:19:30Z","","new","Marketed by Savills, Margaret Street - Offices","","51.375477","-0.090382","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723048588763185/210155_20844-2_IMG_23_0000_max_476x317.jpeg"
"169876379","Croydon","Warehouse","Unit 1B, 115 Canterbury Road, Croydon, CR0 3HH","POA","","","","6,754 sq. ft.","6754","6754","627","627","Warehouse / trade counter unit to let in Croydon.","https://www.rightmove.co.uk/properties/169876379#/?channel=COM_LET","2025-12-01T13:21:46Z","","new","Marketed by Cogent Real Estate, London","","51.385378","-0.117133","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169876379/182522_345312-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169876379/182522_345312-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182522/169876379/182522_345312-2_IMG_02_0000_max_476x317.jpeg"
"721781403652465","Croydon","Commercial Property","29 Ullswater Crescent, Coulsdon, CR5 2HR","POA","","","","1,861–14,999 sq. ft.","1861","14999","173","1393","Offices and 'cost effective' storage space - Available on flexible terms","https://www.rightmove.co.uk/properties/721781403652465#/?channel=COM_LET","2025-11-27T11:52:08Z","","size_change","Marketed by Hurst Warne & Partners Surveyors Limited, Leatherhead","","51.317101","-0.133792","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/283k/282647/721781403652465/282647_295252-2_IMG_11_0000_max_476x317.jpeg"
"169954550","Croydon","Office","Mosaic East, Knollys House, 17 Addiscombe Road, Croydon, CR0 6SR","£4,247 pcm","From","","","1,359–39,637 sq. ft.","1359","39637","126","3682","Mosaic East (Stephenson & Knolly's House) has recently undergone a comprehensive refurbishment, offering high quality space in Croydon","https://www.rightmove.co.uk/properties/169954550#/?channel=COM_LET","2025-12-03T12:07:53Z","","new","Marketed by Montagu Evans, London","","51.375692","-0.090388","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169954550/297242_317926-2_IMG_09_0000_max_476x317.jpeg"
"169772369","Croydon","Office","Mosaic East (Stephenson's), Knollys House, 17 Addiscombe Road, Croydon, CR0 6SR","£8,525 pcm","From","","","2,728–44,917 sq. ft.","2728","44917","253","4173","Mosaic East (Stephenson & Knolly's House) has recently undergone a comprehensive refurbishment, offering high quality space in Croydon","https://www.rightmove.co.uk/properties/169772369#/?channel=COM_LET","2025-11-27T11:14:40Z","","new","Marketed by Montagu Evans, London","","51.375692","-0.090388","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297242/169772369/297242_317929-2_IMG_06_0000_max_476x317.jpeg"
"169646087","Croydon","Office","Ground Floor 49 Sydenham Road, Croydon, London, CR0","£24,000 pcm","Fixed Price","","1","6,618 sq. ft.","6618","6618","615","615","Metro point is a bold, contemporary, and highly secure self-contained office headquarters at the center of Croydon's vibrant commercial district. With exceptional transport links, high-spec modern finishes, and flexible floor plates, this landmark building offers an outstanding opportunity!","https://www.rightmove.co.uk/properties/169646087#/?channel=COM_LET","2025-11-24T11:59:54Z","","size_change","Marketed by ROCKWELL GREEN PROPERTIES LIMITED, London","","51.37853","-0.09623","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169646087/288347_49SYDground_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169646087/288347_49SYDground_IMG_00_0000_max_476x317.jpeg"
"169601246","Croydon","Office","Floor 1, 49 Sydenham Road, Croydon, London, CR0","£120,000 pcm","Fixed Price","","","40,909 sq. ft.","40909","40909","3801","3801","Metro point is a bold, contemporary, and highly secure self-contained office headquarters at the center of Croydon's vibrant commercial district. With exceptional transport links, high-spec modern finishes, and flexible floor plates, this landmark building offers an outstanding opportunity!","https://www.rightmove.co.uk/properties/169601246#/?channel=COM_LET","2025-11-22T13:57:36Z","","new","Marketed by ROCKWELL GREEN PROPERTIES LIMITED, London","","51.37756","-0.09833","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169601246/288347_Metropoint_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/289k/288347/169601246/288347_Metropoint_IMG_01_0000_max_476x317.png"
"169505609","Croydon","Industrial Park","Unit B, 115 Canterbury Road, Croydon, Surrey, CR0 3HH","£9,333 pcm","","","","6,754 sq. ft.","6754","6754","627","627","The unit is of steel portal frame construction with brick elevations under a pitched roof. The unit comprises warehouse accommodation and benefits from a roller loading door and loading area with car parking.","https://www.rightmove.co.uk/properties/169505609#/?channel=COM_LET","2025-11-19T17:43:54Z","","new","Marketed by SHW, South London","","51.38529","-0.117798","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/169505609/285428_5962LH_IMG_07_0000_max_476x317.jpeg"
"168103037","Croydon","Commercial Property","Wickham Road, Croydon, CR0","£1,500 pcm","","","","786 sq. ft.","786","786","73","73","Bright retail unit to let on shopping parade with good footfall. 73sqm of customisable space, available immediately with flexible terms. Parking and transport links within easy reach. Please enter ext 122 when calling to reach your agent","https://www.rightmove.co.uk/properties/168103037#/?channel=COM_LET","2025-10-10T17:26:00Z","","size_change","Marketed by Keller Williams Advantage, Covering South East","","51.377111","-0.027318","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/206k/205682/168103037/205682_RX654807_IMG_03_0000_max_476x317.jpeg"
"169393859","Croydon","Serviced Office","Grecian Crescent, London, SE19","£8,318 pcm","","","","1,173 sq. ft.","1173","1173","109","109","Newly refurbished, flexible studio space with full services - designed for photographers and creatives.","https://www.rightmove.co.uk/properties/169393859#/?channel=COM_LET","2025-11-17T10:47:10Z","","size_change","Marketed by Grecian Studios, Douglas","","51.4217","-0.10525","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296861/169393859/296861_118GrecianCrescent_IMG_06_0000_max_476x317.jpeg"
"157736285","Croydon","Storage","Selsdon Goods Yard, Selsdon Road, South Croydon, CR2 0EA","£3,739 pcm","","","","44,868 sq. ft.","44868","44868","4168","4168","Both plots are largely level and fully hard surfaced secured via palisade fencing and manual gates. Both sites are fully serviced with power and water. While the plots are currently split into two separate plots, there is potential to lease both plots as one. Ancillary warehouse/portacabin ac...","https://www.rightmove.co.uk/properties/157736285#/?channel=COM_LET","2025-02-04T09:10:23Z","","size_change","Marketed by SHW, South London","","51.356701","-0.091522","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285428/157736285/285428_26456LH_IMG_05_0000_max_476x317.jpeg"
"169293092","Croydon","Place of Worship","Pitlake, Croydon, London, CR0","£10,000 pcm","From","","","6,422 sq. ft.","6422","6422","597","597","This existing Place Of Worship benefits from F1 Use and is approximately 6,422 sq. ft. The commercial part of the building comprises of 2 halls, 2 studios, multiple offices, storage and W.C facilities. The apartment includes 2 bedrooms, living space, kitchen and W.C facilities.","https://www.rightmove.co.uk/properties/169293092#/?channel=COM_LET","2025-11-13T10:53:41Z","","new","Marketed by Alex Martin Commercial Ltd, London","","51.37694","-0.10696","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_02_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/216k/215495/169293092/215495_AMP_IMG_05_0000_max_476x317.png"
"156541616","Croydon","Retail Property (high street)","George Street, Croydon","£4,583 pcm","","","","2,422 sq. ft.","2422","2422","225","225","Commercial unit arranged over ground floor and basement located on George Street, Croydon. Available with a new lease and no premium.","https://www.rightmove.co.uk/properties/156541616#/?channel=COM_LET","2025-01-06T16:16:12Z","","new","Marketed by Harston&Co, London","","51.374076","-0.098598","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/71k/70095/156541616/70095_33586703_IMG_12_0000_max_476x317.jpeg"
"163825589","Croydon","Retail Property (high street)","5 Station Approach, Purley Oaks Road, South Croydon, Surrey, CR2","£750 pcm","","","","270 sq. ft.","270","270","25","25","Comprises ground floor retail unit. Available immediately on a new lease. ","https://www.rightmove.co.uk/properties/163825589#/?channel=COM_LET","2025-06-26T12:03:11Z","","price_reduced","Marketed by Blue Alpine, London","","51.34695","-0.09843","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/231k/230087/163825589/230087_5stationapproach_IMG_05_0000_max_476x317.jpeg"
