id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"70371938","Swansea","Serviced Office","Princess House, Princess Way, Swansea, Mid Glamorgan, SA1 3LW","£179 pcm","From","","4","Flexible coworking in HQ Princess Way. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/70371938#/?channel=COM_LET","2017-11-29T05:42:37Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.61868","-3.94127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_04_0002_max_476x317.jpeg"
"169413068","Swansea","Office","Weighbridge House, Kemys Way, Swansea Enterprise Park, Swansea, SA6 8QF","£1,333 pcm","","","","Prominent office accommodation located on Swansea enterprise park, fitted kitchen and w.c facilities. Dedicated parking for up to 10+ cars","https://www.rightmove.co.uk/properties/169413068#/?channel=COM_LET","2025-11-17T15:49:28Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.659048","-3.912796","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/169413068/296300_336855-2_IMG_23_0000_max_476x317.jpeg"
"169287389","Swansea","Office","Finance Building, Singleton Park, Swansea, SA2 8PP","£775 pcm","","","","Detached Office Building with Parking","https://www.rightmove.co.uk/properties/169287389#/?channel=COM_LET","2025-11-12T17:34:11Z","","new","Marketed by Savills, Cardiff Offices/Industrial","","51.610777","-3.976258","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bfbe6e587/169287389/bfbe6e58728a312b0281cada42a084fb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e554f8ff5/169287389/e554f8ff5d0511d8650683fe4fe77a8e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f43c87c76/169287389/f43c87c7667902c74f3aa9dff72be77b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2129a2d32/169287389/2129a2d32348a7a790eef297004e6eee_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/46dceb398/169287389/46dceb3982dd64ac939c538a44688d40_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/c43cc3f27/169287389/c43cc3f27cad5720c8ead5261bd08ef2_max_476x317.jpeg"
"169056419","Swansea","Leisure Facility","The Coach House, 59-60 Wind Street, Swansea, SA1 1EG","£5,000 pcm","","","","Rare opportunity to take on a fully fitted pub in Swansea’s nightlife hub | High footfall, great visibility, ideal for operators.","https://www.rightmove.co.uk/properties/169056419#/?channel=COM_LET","2025-11-06T12:35:16Z","","new","Marketed by Avison Young (UK) Limited, Leisure","","51.619372","-3.940682","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/208k/207116/169056419/207116_336344-2_IMG_05_0000_max_476x317.jpeg"
"167842118","Swansea","Warehouse","Unit 16F Prospect Park, Queensway, Swansea, SA5","£5,833 pcm","","","","A vacant warehouse/industrial unit located to the rear of the estate, accessed via a shared canopy. The property is of modern steel frame construction with alloy sheet cladding and provides integrated office accommodation with WC Key Features: Gross internal area: 1,3...","https://www.rightmove.co.uk/properties/167842118#/?channel=COM_LET","2025-10-06T10:53:43Z","","price_reduced","Marketed by Whozoo, London","","51.62144","-3.943646","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/242k/241562/167842118/241562_LON0009D8_IMG_07_0000_max_476x317.jpeg"
"168966533","Swansea","Retail Property (high street)","Unit C, 25 Cambrian Place, Pontarddulais, Swansea, SA4 8RG","£1,667 pcm","","","","Self-contained ground floor dual purpose commercial unit with designated parking.","https://www.rightmove.co.uk/properties/168966533#/?channel=COM_LET","2025-11-04T12:08:20Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.713475","-4.040319","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966533/296300_285961-2_IMG_07_0000_max_476x317.jpeg"
"168966467","Swansea","Warehouse","Swansea East Trade Park, Clase Road, Abertawe, SA6 8RX","£2,770 pcm","","","","New Trade Counter, Warehouse & Industrial Units To Let from 2,216 sq. ft to 27,311 sq. ft","https://www.rightmove.co.uk/properties/168966467#/?channel=COM_LET","2025-11-04T12:07:37Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.663157","-3.91594","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966467/296300_277567-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966467/296300_277567-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966467/296300_277567-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966467/296300_277567-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966467/296300_277567-2_IMG_04_0000_max_476x317.jpeg"
"168966356","Swansea","Office","Unit 12, Celtic Trade Park, Bruce Road, Fforestfach, Swansea, SA5 4EP","£1,932 pcm","","","","First floor office suite with ample on-site parking.","https://www.rightmove.co.uk/properties/168966356#/?channel=COM_LET","2025-11-04T12:06:17Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.644499","-4.000313","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966356/296300_308708-2_IMG_08_0000_max_476x317.jpeg"
"168966305","Swansea","Office","First Floor Offices at 15 Cave Street, Cwmdu, Swansea, SA5 8JY","£750 pcm","","","","All inclusive rents offering Self-contained first-floor office accommodation, fitted kitchen and w.c facilities. Allocated parking provided","https://www.rightmove.co.uk/properties/168966305#/?channel=COM_LET","2025-11-04T12:05:32Z","","size_change","Marketed by RJ Chartered Surveyors, Swansea","","51.63502","-3.965208","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168966305/296300_293103-2_IMG_05_0000_max_476x317.jpeg"
"168964694","Swansea","Office","Unit 6 J Shed, King's Road, Swansea, SA1 8PL","£958 pcm","","","","High Quality Office/Residential Suite With Marina Views. The unit benefits from an open plan layout with an additional mezzanine level.","https://www.rightmove.co.uk/properties/168964694#/?channel=COM_LET","2025-11-04T11:46:22Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.619687","-3.9311","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964694/296300_327902-2_IMG_00_0000_max_476x317.jpeg"
"168964460","Swansea","Warehouse","Light Industrial / Office Unit, Gorseinon Road, Penllergaer, Swansea, SA4 9GE","£1,458 pcm","","","","Prominent two-storey light industrial / office unit offering flexible workspace, ideal for a range of business uses.","https://www.rightmove.co.uk/properties/168964460#/?channel=COM_LET","2025-11-04T11:43:26Z","","new","Marketed by RJ Chartered Surveyors, Swansea","","51.667646","-4.017395","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964460/296300_285958-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964460/296300_285958-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/297k/296300/168964460/296300_285958-2_IMG_02_0000_max_476x317.jpeg"
"168692252","Swansea","Storage","Site 1, Graigola Wharf, Queens Dock, Port of Swansea, Swansea, SA1 1QR","POA","","","","A well located yard/ open storage site with level part surfaced (concrete) yard in close proximity to the eastern port entrance.","https://www.rightmove.co.uk/properties/168692252#/?channel=COM_LET","2025-10-28T11:09:00Z","","new","Marketed by JLL, Cardiff - Industrial","","51.602627","-4.067786","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168692252/291635_298857-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168692252/291635_298857-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168692252/291635_298857-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168692252/291635_298857-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/292k/291635/168692252/291635_298857-2_IMG_04_0000_max_476x317.jpeg"
"719266150661728","Swansea","Office","Llys Tawe, Kings Road, Swansea, SA1 8PG","£3,780 pcm","","","","To Let: Fully fitted high quality office space","https://www.rightmove.co.uk/properties/719266150661728#/?channel=COM_LET","2025-11-13T14:18:13Z","","new","Marketed by Cooke & Arkwright Limited, Office Agency","","51.618074","-3.930204","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/251k/250433/719266150661728/250433_156028-2_IMG_15_0000_max_476x317.jpeg"
"167931656","Swansea","Office","71-72 The Kingsway, City Centre, Swansea, Wales, SA1","£809 pcm","From","","","104,000 sq.ft scheme includes innovative internal and external public spaces with specific areas of the building being offered to the open market to let, comprising, retail, food and beverage spaces, an event hall, flexible / serviced workspace and 47,000 sq ft of impressive Grade A office space....","https://www.rightmove.co.uk/properties/167931656#/?channel=COM_LET","2025-10-07T17:10:15Z","","new","Marketed by Lambert Smith Hampton, Cardiff","","51.619664","-3.94826","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182681/167931656/182681_2078173LH_IMG_10_0000_max_476x317.jpeg"
"141332921","Swansea","Retail Property (high street)","15-17 Belle Vue Way, City Centre, Swansea, Wales, SA1","£1,333 pcm","","","","End terrace, corner unit comprised over two floors. The ground floor premises comprising a retail unit which also offers office accommodation, ancillary space and rear access. The first floor offers office accommodation, further ancillary space and staff facilities. The unit benefits from a glaze...","https://www.rightmove.co.uk/properties/141332921#/?channel=COM_LET","2023-10-27T09:32:43Z","","new","Marketed by Lambert Smith Hampton, Swansea","","51.62188","-3.944773","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/183k/182555/141332921/182555_2051445LH_IMG_00_0001_max_476x317.jpeg"
"148613474","Swansea","Office","Princess Quarter, 18-20 Princess Way, Swansea, SA1 3LW","POA","","","","Princess Quarter is an exceptional sustainability focused office situated in Swansea’s prime city centre office district, offering from 2,000 to 15,000 sqft of Grade A accommodation over three floors. Having undergone extensive redevelopment, Princess Quarter can provide businesses with a prime ...","https://www.rightmove.co.uk/properties/148613474#/?channel=COM_LET","2024-05-31T16:37:47Z","","size_change","Marketed by Knight Frank, Cardiff - Commercial","","51.619148","-3.94186","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_00_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_01_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_02_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_03_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_04_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_05_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_06_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_07_0016_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/156k/155495/148613474/155495_CAC012363805_IMG_08_0016_max_476x317.jpeg"
"70371938","Swansea","Serviced Office","Princess House, Princess Way, Swansea, Mid Glamorgan, SA1 3LW","£179 pcm","From","","4","Flexible coworking in HQ Princess Way. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/70371938#/?channel=COM_LET","2017-11-29T05:42:37Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.61868","-3.94127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_00_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371938/129853_UKcw798_IMG_04_0002_max_476x317.jpeg"
"70371929","Swansea","Serviced Office","Princess House, Princess Way, Swansea, Mid Glamorgan, SA1 3LW","£503 pcm","From","","4","Private workspace for up to 3 in Princess Way. Fully flexible, with ergonomic furniture and fast Wi-Fi included.","https://www.rightmove.co.uk/properties/70371929#/?channel=COM_LET","2017-11-29T05:39:05Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.61868","-3.94127","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_07_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_01_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_06_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_05_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_04_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_02_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_03_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/70371929/129853_UK3ws798_IMG_00_0002_max_476x317.jpeg"
