id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"167633282","Southend-on-Sea","Warehouse","Rear 242 London Road, Westcliff-on-Sea, SS0 7JG","£1,250 pcm","","","","Light industrial unit with a roller shutter, WC, 3 phase electricity, parking and yard space.","https://www.rightmove.co.uk/properties/167633282#/?channel=COM_LET","2025-09-30T17:41:51Z","","new","Marketed by Ayers & Cruiks, Southend","","51.540058","0.700235","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167633282/213308_331743-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167633282/213308_331743-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167633282/213308_331743-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167633282/213308_331743-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/167633282/213308_331743-2_IMG_04_0000_max_476x317.jpeg"
"133203572","Southend-on-Sea","Commercial Property","Park Street, Westcliff-On-Sea, Essex, SS0","£500 pcm","","","","We offer for this lock up shop located close to Southend High Street just off London Road (A13).The shop until recently and for some years has been used as a barbers shop,/hair salon. The shop itself is double fronted, has a good retail space and to the rear a small kitchenette and toilet facilities","https://www.rightmove.co.uk/properties/133203572#/?channel=COM_LET","2023-04-03T12:06:36Z","","new","Marketed by Chiddicks Homes, Southend-on-Sea","","51.53943","0.70535","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/488576b73/133203572/488576b731f0b00c756aa27642121262_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d0910a275/133203572/d0910a2757591b3c5ec62d4d1540e47b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5d47d37ed/133203572/5d47d37edc36abf229072f418654fc27_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/342d744b3/133203572/342d744b3807b8675737b92d691fdf04_max_476x317.jpeg"
"169724828","Southend-on-Sea","Office","Second Floor Rear Suite, Kingswood House, 58-64 Baxter Avenue, Southend-on-Sea, SS2 6BG","£5,188 pcm","","","","Second floor office suite with air con, suspended ceiling with lights, double glazing and a kitchenette.","https://www.rightmove.co.uk/properties/169724828#/?channel=COM_LET","2025-11-26T09:53:02Z","","size_change","Marketed by Ayers & Cruiks, Southend","","51.543575","0.707614","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169724828/213308_332232-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169724828/213308_332232-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/214k/213308/169724828/213308_332232-2_IMG_02_0000_max_476x317.jpeg"
"169704953","Southend-on-Sea","Light Industrial","Unit 8 Laurence Industrial Estate","£1,450 pcm","","","","The property comprises of an industrial unit located on the popular Laurence Industrial Estate. The premises has the benefit of a personal door and electric roller shutter entrance. There is an on site caretaker 5 mornings a week and CCTV. The Estate is gated, although 24 hour access is permitted...","https://www.rightmove.co.uk/properties/169704953#/?channel=COM_LET","2025-11-25T16:11:05Z","","new","Marketed by Hair & Son, Commercial","","51.56777","0.68163","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169704953/193013_101353019012_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169704953/193013_101353019012_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/194k/193013/169704953/193013_101353019012_IMG_02_0000_max_476x317.jpeg"
"166578281","Southend-on-Sea","Warehouse","22, Belle Vue Place, Southend-On-Sea, Essex, SS1","£3,583 pcm","","","","This detached service station and MOT centre spans approximately 5,680 sq. ft. (527 sq. m.) on the ground floor. Key features include a roller shutter entrance (3.6m width x 3.5m height) for easy vehicle access, five car ramps, inspection pits, and a three-phase power. Air conditioning/heating in...","https://www.rightmove.co.uk/properties/166578281#/?channel=COM_LET","2025-09-04T11:46:57Z","","price_reduced","Marketed by Kemsley LLP, Basildon","","51.539665","0.729001","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/265k/264509/166578281/264509_8906016LH_IMG_07_0000_max_476x317.jpeg"
"169422698","Southend-on-Sea","Commercial Property","West street, Southend on sea, Southend on sea, ","£1,000 pcm","","","","PRIME LOCATION: Castle Estate Agents are pleased to offer FOR LET this Vacant LARGE TAKEAWAY set in this excellent position close to SOUTHEND FOOTBALL CLUB and within a short walk to both STATIONS, PRIORY PARK, ALL BUS ROUTES and TOWN CENTER, with good footfall, NEW various equipment INSITUE.","https://www.rightmove.co.uk/properties/169422698#/?channel=COM_LET","2025-11-17T18:45:40Z","","new","Marketed by Castle Estate Agents, Leigh-On-Sea","","51.54775","0.70339","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/108k/107405/169422698/107405_0001862_IMG_11_0000_max_476x317.jpeg"
"169407878","Southend-on-Sea","Land","R/O Prince Avenue, Southend-on-Sea, Essex, SS2","£750 pcm","","","","Dedman Gray Commercial are pleased to offer this gated yard and 9 garages located just off Prince Avenue behind a retail parade of shops.","https://www.rightmove.co.uk/properties/169407878#/?channel=COM_LET","2025-11-17T14:33:11Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.55779","0.69873","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169407878/208157_DCM250085_L_IMG_07_0000_max_476x317.jpeg"
"169407848","Southend-on-Sea","Light Industrial","Prince Avenue, Southend-on-Sea, Essex, SS2","£750 pcm","","","","Dedman Gray Commercial are pleased to offer this secure gated lock up unit with yard space to the front and side. The unit benefits from 3 phase power and is located just off Prince Avenue.","https://www.rightmove.co.uk/properties/169407848#/?channel=COM_LET","2025-11-17T14:32:23Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.55779","0.69873","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/037dccda9/169407848/037dccda986be5c8c0eb6ed0e029e21e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/e1fea8082/169407848/e1fea808201b629323f9509c24a1abe5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bd7c56fbc/169407848/bd7c56fbc205cba3df0c637c58f7b18f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/a078d01cf/169407848/a078d01cf3fc9feb305b4a261dcf37d1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/68176930f/169407848/68176930f444120e2b5d657ed0bf36d8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/df1b9ecce/169407848/df1b9eccee1ee8cd9e06e2ced2dfe5e8_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d96583111/169407848/d96583111b5be02bdd538ad3bd2e0e07_max_476x317.jpeg"
"169332002","Southend-on-Sea","Shop","High Street, Southend-on-Sea, Essex, SS1","£7,083 pcm","","","","Ground floor premises benefiting from a return frontage onto Warrior Square, just off the High Street. Situated within a Grade II listed building, this property features a hipped roof and Edwardian Baroque design by Bromley and Watkins, dating back to 1915. Location Pr...","https://www.rightmove.co.uk/properties/169332002#/?channel=COM_LET","2025-11-14T09:56:58Z","","new","Marketed by Dedman Gray Property Consultants Limited, Thorpe Bay","","51.53835","0.71336","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/209k/208157/169332002/208157_DCM240099_L_IMG_07_0000_max_476x317.jpeg"
"169063658","Southend-on-Sea","Retail Property (high street)","12 West Street, Southend-on-Sea, SS2 6HJ","£625 pcm","","","","Retail/office space with bathroom and kitchen facilities and allocated parking at the rear of the property.","https://www.rightmove.co.uk/properties/169063658#/?channel=COM_LET","2025-11-06T14:24:53Z","","new","Marketed by Ayers & Cruiks, Southend","","51.548145","0.704159","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1b182a4d5/169063658/1b182a4d5d913241a7b24b2423e1d18b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/83a8b4c18/169063658/83a8b4c184b0ba39ceddbd6757b1bd89_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f7598f1f/169063658/0f7598f1f6fa56b61b25482df26bfb30_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/126dc985e/169063658/126dc985ef5386d77712a9c06c95d682_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/ee23f395e/169063658/ee23f395ea3eab7bf66e7dd3362d87d6_max_476x317.jpeg"
"123340949","Southend-on-Sea","Office","Queens Road, Southend-On-Sea, Essex, SS1","£495 pcm","","","","Located just off Southend High Street in Queens Arcade, we offer for let this ground floor office space. The office does have its own kitchen area and the remaining area is open plan with access to communal toilets. This space could be suitable for an array of uses so we urge any interested party to","https://www.rightmove.co.uk/properties/123340949#/?channel=COM_LET","2022-05-13T15:45:14Z","","size_change","Marketed by Chiddicks Homes, Southend-on-Sea","","51.53958","0.71055","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223349/123340949/223349_queensarcade_IMG_00_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223349/123340949/223349_queensarcade_IMG_02_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223349/123340949/223349_queensarcade_IMG_03_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/224k/223349/123340949/223349_queensarcade_IMG_01_0001_max_476x317.jpeg"
"168689546","Southend-on-Sea","Warehouse","Grainger Road, Southend On Sea, Essex, SS2 5BZ","£1,000 pcm","","","","This open plan ground floor space measuring approx 1,650 sq ft benefits from lighting to ceiling, toilets and storage rooms. Entrance to the property is via metal palisade metal gates with single entrance door via steps. Two parking spaces can be made available to the front of the property.","https://www.rightmove.co.uk/properties/168689546#/?channel=COM_LET","2025-10-28T10:32:55Z","","new","Marketed by Sorrell Commercial, Southend-on-Sea","","51.544266","0.713655","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eb9eebb32/168689546/eb9eebb3261542555c5c171c10adcd8b_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/64a237d23/168689546/64a237d23880de6d0604a156c162b36a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/03c42de07/168689546/03c42de07fcc2287a857851b733cbd31_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/074720500/168689546/0747205004fd813ad0982f44c3d3df48_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/eda21bd85/168689546/eda21bd852d980d733965d9b8b3756d6_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a7d574fe/168689546/8a7d574fe4886fd4591bbf3fdf8e7208_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/cb726ae00/168689546/cb726ae00b68a84308a0d171e2704aaa_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0ae23750a/168689546/0ae23750ace0cf3e718e5a14e93d3694_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d3aa6a8e8/168689546/d3aa6a8e8b101ee898ab35be75ed9565_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/f416d62e7/168689546/f416d62e7925daa7dc7bb4f4fc54f169_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/86e36e7c7/168689546/86e36e7c743361251683f01cdf2c3087_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/658a55b4d/168689546/658a55b4dba4052d6e40253b0e46266e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/791b108d8/168689546/791b108d86e99555cb1f5b6a66f9d818_max_476x317.jpeg"
