id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,displaySize,sizeMinSqft,sizeMaxSqft,sizeMinSqm,sizeMaxSqm,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"143537249","Richmond upon Thames","Serviced Office","Teddington, 16-20 Causeway, TW11 0HE","£199 pcm","","","4","108–4,037 sq. ft.","108","4037","10","375","Flexible coworking in Teddington, The Cause Way. Work surrounded by green space, with sleek interiors and a collaborative business vibe.","https://www.rightmove.co.uk/properties/143537249#/?channel=COM_LET","2024-01-11T11:23:15Z","","size_change","Marketed by IW Group Services (UK) Limited, Regus","","51.42574","-0.33567","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/143537249/129853_UKcw7317_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/143537249/129853_UKcw7317_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/143537249/129853_UKcw7317_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/143537249/129853_UKcw7317_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/130k/129853/143537249/129853_UKcw7317_IMG_04_0000_max_476x317.jpeg"
"723089202310800","Richmond upon Thames","Retail Property (high street)","21 King Street, Twickenham, TW1 3SD","£4,167 pcm","","","","1,612 sq. ft.","1612","1612","150","150","Prime retail unit lease for sale in Twickenham. Property arranged over ground floor only, E Class use.","https://www.rightmove.co.uk/properties/723089202310800#/?channel=COM_LET","2025-12-04T16:37:29Z","","new","Marketed by Brasier Freeth, London","","51.445841","-0.328633","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3ed2e093d/723089202310800/3ed2e093d39ce05f169e2783e5957fb5_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/413c70445/723089202310800/413c7044568ff1dfba43f5e7299c30e4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d45c21879/723089202310800/d45c21879f6969ba874f41d4cdafd2e1_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de04f1708/723089202310800/de04f1708654f4c7b0f1d6319d89759a_max_476x317.jpeg"
"723050801390353","Richmond upon Thames","Office","One Eton Street, Richmond, TW9 1AG","£85,525 pcm","","","","3,780–20,526 sq. ft.","3780","20526","351","1907","Grade A refurbished offices 3,780 - 20,526 Sq Ft","https://www.rightmove.co.uk/properties/723050801390353#/?channel=COM_LET","2025-12-04T12:50:06Z","","new","Marketed by Savills, Margaret Street - Offices","","51.460774","-0.302597","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050801390353/210155_118584-2_IMG_12_0000_max_476x317.jpeg"
"723050067259168","Richmond upon Thames","Mixed Use","63 Kew Road, Richmond, TW9 2NQ","£74,391 pcm","","","","2,704–14,283 sq. ft.","2704","14283","251","1327","Highly prominent, newly refurbished office building less than 150 metres walk from Richmond Station","https://www.rightmove.co.uk/properties/723050067259168#/?channel=COM_LET","2025-12-04T12:36:10Z","","new","Marketed by Savills, Margaret Street - Offices","","51.464078","-0.301751","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723050067259168/210155_89994-2_IMG_20_0000_max_476x317.jpeg"
"169962320","Richmond upon Thames","Office","Tideway House, 1 Tideway House, Park Lane, Richmond, TW9 2RA","POA","","","","281–752 sq. ft.","281","752","26","70","Self contained office with garage / store and parking close to Richmond town centre.","https://www.rightmove.co.uk/properties/169962320#/?channel=COM_LET","2025-12-03T14:25:04Z","","new","Marketed by Avison Young (UK) Limited, Property Management","","51.463319","-0.304607","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234050/169962320/234050_345311-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234050/169962320/234050_345311-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234050/169962320/234050_345311-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234050/169962320/234050_345311-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/235k/234050/169962320/234050_345311-2_IMG_04_0000_max_476x317.jpeg"
"722870397841248","Richmond upon Thames","Light Industrial","Unit C Sandfield Industrial Estate, Oldfield Road, Hampton, TW12 2HR","POA","","","","2,091–6,417 sq. ft.","2091","6417","194","596","To Let: Newly Refurbished. Unit C, Sandfield Industrial Estate, Hampton. 6,417 sq ft. Suitable for trade counter and industrial use.","https://www.rightmove.co.uk/properties/722870397841248#/?channel=COM_LET","2025-12-03T12:14:03Z","","new","Marketed by CBRE Industrial, London","","51.415466","-0.376687","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5ec4f8e39/722870397841248/5ec4f8e391962e28b43e283710aff814_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0c38bb1ac/722870397841248/0c38bb1acf22cb497be76fa9c17100c4_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/db95da7d9/722870397841248/db95da7d98098caee5aee70c492cc024_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/3400a2609/722870397841248/3400a260960fe3d92099fa039078a22e_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fa780140b/722870397841248/fa780140b3a43bf424580c72c57f2251_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d8d53605e/722870397841248/d8d53605e209b0a135cdb67bb8afc117_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/989722f8e/722870397841248/989722f8e01d8dc39e29cce8347598b3_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/15380b391/722870397841248/15380b3912d7e8cd500b755bb5c21c74_max_476x317.jpeg"
"720371582719920","Richmond upon Thames","Distribution Warehouse","29 Popes Grove, Twickenham, TW2 5TW","£750 pcm","","","","400 sq. ft.","400","400","37","37","A 400 sq ft storage unit located in Twickenham. ","https://www.rightmove.co.uk/properties/720371582719920#/?channel=COM_LET","2025-11-19T16:39:02Z","","new","Marketed by The Arch Company, London","","51.441888","-0.339067","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720371582719920/272765_TWI03002_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720371582719920/272765_TWI03002_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/273k/272765/720371582719920/272765_TWI03002_IMG_02_0000_max_476x317.png"
"723051411533152","Richmond upon Thames","Office","Explore Richmond, Eton House, 18-24 Paradise Road, Richmond, TW9 1SE","£182,770 pcm","","","","6,065–31,332 sq. ft.","6065","31332","563","2911","45,000 sq ft of workspace in Richmond Upon Thames with unrivalled building amenities and environmental credentials.","https://www.rightmove.co.uk/properties/723051411533152#/?channel=COM_LET","2025-12-04T13:06:08Z","","size_change","Marketed by Savills, Margaret Street - Offices","","51.460375","-0.301894","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/211k/210155/723051411533152/210155_149861-2_IMG_16_0000_max_476x317.jpeg"
"167093384","Richmond upon Thames","Office","Sun Alley, London, TW9","£3,000 pcm","","1","","83 sq. ft.","83","83","8","8","Bright 83 sqm office on Kew Road, Richmond, featuring an open-plan layout, private kitchen, toilet, and bathroom facilities. Excellent natural light and prime location close to Richmond Station and local amenities.","https://www.rightmove.co.uk/properties/167093384#/?channel=COM_LET","2025-09-17T12:56:08Z","","new","Marketed by Starcity Properties, London","","51.46401","-0.30203","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167093384/256118_SunAlley_IMG_07_0000_max_476x317.jpeg"
"167626949","Richmond upon Thames","Office","Kew Road, London, TW9","£5,000 pcm","","2","2","764–1,528 sq. ft.","764","1528","71","142","The property comprises office accommodation arranged over the 1st and 2nd floors at 37 Kew Road. The space offers a self-contained layout, suitable for a range of business uses, with good natural light and convenient access from the main road. ","https://www.rightmove.co.uk/properties/167626949#/?channel=COM_LET","2025-09-30T16:47:05Z","","new","Marketed by Starcity Properties, London","","51.4641","-0.30174","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/167626949/256118_KewRoad_IMG_00_0000_max_476x317.jpeg"
"162306701","Richmond upon Thames","Retail Property (high street)","Kew Road, London, TW9","£5,417 pcm","From","1","","2,207 sq. ft.","2207","2207","205","205","Positioned in the heart of Richmond, the unit enjoys strong transport links, a vibrant local community, and close proximity to popular amenities and national brands. Flexible layout with potential for internal adaptation to suit business needs.","https://www.rightmove.co.uk/properties/162306701#/?channel=COM_LET","2025-05-22T14:13:35Z","","new","Marketed by Starcity Properties, London","","51.4641","-0.30174","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/162306701/256118_Richmond_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/257k/256118/162306701/256118_Richmond_IMG_01_0000_max_476x317.png"
"158544362","Richmond upon Thames","Office","Unit 3 Hampton Works, R/O 119 Sheen Lane, East Sheen, SW14 8AE","£2,833 pcm","","","","828 sq. ft.","828","828","77","77","To Let – Character Office Split Over Ground and First Floors – Available Furnished","https://www.rightmove.co.uk/properties/158544362#/?channel=COM_LET","2025-02-21T10:40:09Z","","price_reduced","Marketed by Vokins, London","","51.465527","-0.266672","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/287k/286220/158544362/286220_275590-2_IMG_10_0000_max_476x317.jpeg"
"719246947183808","Richmond upon Thames","Retail Property (high street)","6 High Street, Teddington, TW11 8EW","£4,583 pcm","","","","1,677 sq. ft.","1677","1677","156","156","Commercial property in shell condition for lease, located in a prime position on Teddington High Street an affluent London suburb.","https://www.rightmove.co.uk/properties/719246947183808#/?channel=COM_LET","2025-11-13T11:51:05Z","","new","Marketed by Brasier Freeth, London","","51.426949","-0.332969","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/719246947183808/254312_236700-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/719246947183808/254312_236700-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/719246947183808/254312_236700-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/255k/254312/719246947183808/254312_236700-2_IMG_03_0000_max_476x317.jpeg"
"169245371","Richmond upon Thames","Restaurant","Upper Richmond Road West, SW14 8AH","£3,750 pcm","","","","","","","","","Well-maintained & Large prominently located restaurant premises offers approx 1,175 sq ft on the ground floor and 179 sq ft in the basement on Upper Richmond Road West, a busy thoroughfare with high residential concentration. Long Lease 15 years. Premium £75,000. ","https://www.rightmove.co.uk/properties/169245371#/?channel=COM_LET","2025-11-11T18:01:08Z","","new","Marketed by Citydeal Estates, London","","51.46503","-0.264831","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4211c379e/169245371/4211c379ec9934710ac1d9f49f074060_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/113a67115/169245371/113a671154e486aa2347420e6cb9e6fc_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/35a13e18f/169245371/35a13e18f1209f4181176f380e189a95_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/8a12f290b/169245371/8a12f290b3343ca13e6b6a380b6ba52a_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/bcc7c213e/169245371/bcc7c213eddeb723a48c03c42ed34108_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/07fa7a5d7/169245371/07fa7a5d788d080dde8557d492f673eb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/62750184e/169245371/62750184e1cedc5b12a549354a700e25_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/6a3cad566/169245371/6a3cad566c6bcc5d42d8a19c05d2bc3f_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/b9a86c59e/169245371/b9a86c59e43a73b138a9fc22dc2492bf_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/1d61af564/169245371/1d61af56463c63f1ade0103054bf6b12_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/d072057ad/169245371/d072057adac95eca825a0fda514a1f3c_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/de2ed643f/169245371/de2ed643ff51722837a26e114d51c462_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9ea193411/169245371/9ea193411e1d866203ea3b91bcb4e7cb_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/9197b64c3/169245371/9197b64c3443006bc13ae5812511214a_max_476x317.jpeg"
"168831041","Richmond upon Thames","Retail Property (high street)","82 Church Road, Barnes, London SW13 0DQ","£3,083 pcm","","","","863 sq. ft.","863","863","80","80","The property comprises a retail unit over ground and basement floors. With excellent visibility, the unit is laid out to provide open retail space on all floors.","https://www.rightmove.co.uk/properties/168831041#/?channel=COM_LET","2025-10-31T10:47:13Z","","new","Marketed by SHW, London","","51.474988","-0.240452","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285425/168831041/285425_14007LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285425/168831041/285425_14007LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285425/168831041/285425_14007LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285425/168831041/285425_14007LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/286k/285425/168831041/285425_14007LH_IMG_04_0000_max_476x317.jpeg"
"168494096","Richmond upon Thames","Commercial Property","Park Road, Hampton Hill, Hampton","£5,000 pcm","","","","","","","","","This elegant period building is mainly open plan with some glass partitioned offices and board room. There is access from the board room to a private garden. Hampton Hill is well situated for easy access to the A316 and M3. The offices benefit from carpeting, video entry and security alarm.","https://www.rightmove.co.uk/properties/168494096#/?channel=COM_LET","2025-10-22T15:35:12Z","","new","Marketed by Anthony James Manser, Isleworth","","51.429325","-0.35461","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/5e6497ca0/168494096/5e6497ca03e20602f93d6e994ef7e43d_max_476x317.jpeg"
"140165639","Richmond upon Thames","Office","Richmond Brewery Stores, Petersham Road, Richmond, TW10 6UW","POA","","","","1,700–3,505 sq. ft.","1700","3505","158","326","Character offices to let in Richmond TW10","https://www.rightmove.co.uk/properties/140165639#/?channel=COM_LET","2023-09-19T16:48:41Z","","price_reduced","Marketed by Frost Meadowcroft LTD, London","","51.455683","-0.303243","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_13_0002_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_14_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_15_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_16_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_18_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_19_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_20_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_21_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_22_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_23_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_24_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_25_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_26_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_27_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_28_0001_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/266k/265112/140165639/265112_129652-2_IMG_29_0001_max_476x317.jpeg"
