id,city,propertyType,displayAddress,price,priceQualifier,bedrooms,bathrooms,summary,propertyUrl,firstVisibleDate,addedOrReduced,listingUpdate,formattedBranchName,branchDisplayName,latitude,longitude,propertyImages
"166780670","Bedfordshire","Light Industrial","Units 4 & 5, T C Ginn Estate, Murdock Road, Manton Industrial Estate, Bedford, Bedfordshire, MK41","£3,125 pcm","","","","The property offers a well-balanced mix of workshop, office, and storage space, making it suitable for a variety of commercial occupiers under Use Class B8/B1/E. The accommodation extends to 2,977 sq. ft. of workshop space, which includes two partitioned rooms and a full-height roller shutter do...","https://www.rightmove.co.uk/properties/166780670#/?channel=COM_LET","2025-09-09T15:26:17Z","","new","Marketed by Stimpsons Eves, Bedford","","52.153538","-0.475796","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/166780670/287522_1532LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/166780670/287522_1532LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/166780670/287522_1532LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/288k/287522/166780670/287522_1532LH_IMG_03_0000_max_476x317.jpeg"
"722869229751568","Bedfordshire","Light Industrial","Goodman London Luton, Luton Road, Chalton, Luton, LU4 9TT","POA","","","","Industrial Development Opportunity: Goodman London Luton - Pre-let opportunities from 200,000 - 1,200,000m sq ft","https://www.rightmove.co.uk/properties/722869229751568#/?channel=COM_LET","2025-12-03T11:52:06Z","","new","Marketed by CBRE Industrial, London","","51.928334","-0.502044","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/2a7d1a553/722869229751568/2a7d1a55323ed4142f5dee6bcba91483_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/4db1dc085/722869229751568/4db1dc0854d7c3181c48b33420cf8bfd_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/fb77afb2a/722869229751568/fb77afb2a17db79f9368a4e9a6665153_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/0f6ca3fce/722869229751568/0f6ca3fceaecfa3634e3f30803807929_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/property-photo/785ab3cea/722869229751568/785ab3cea70ed2d58253266a0343a227_max_476x317.jpeg"
"169932122","Bedfordshire","Warehouse","UTAC Millbrook, Station Lane, Millbrook, Bedford, MK45 2JQ","POA","","","","Millbrook Proving Ground provides one of Europe's leading sites for the development and demonstration of all types of land vehicles.","https://www.rightmove.co.uk/properties/169932122#/?channel=COM_LET","2025-12-02T17:02:49Z","","new","Marketed by Bidwells LLP, Milton Keynes","","52.040132","-0.528974","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_25_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/282k/281036/169932122/281036_280145-2_IMG_26_0000_max_476x317.jpeg"
"169911122","Bedfordshire","Office","Nelson House , Alington Road , St Neots , Cambridgeshire , PE19 6RE","POA","","","","A freshly refurbished modern property providing a variety of flexible office accommodation. - On-site parking - Meeting rooms - Kitchen/break areas - Riverside setting - Easy in, Easy out tenancy - Close to A1 and A428 - Amenities close by - Passenger lift access","https://www.rightmove.co.uk/properties/169911122#/?channel=COM_LET","2025-12-02T11:45:13Z","","new","Marketed by Eddisons Commercial Limited, Huntingdon","","52.208468","-0.272846","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/237k/236927/169911122/236927_3023447LH_IMG_13_0000_max_476x317.jpeg"
"169893719","Bedfordshire","Warehouse","Vision 44, Woodside Industrial Estate, Humphrys Road, Dunstable, LU5 4TP","POA","","","","A new unit under construction, offering a best in class specification, ready for occupation in Jan 2026.","https://www.rightmove.co.uk/properties/169893719#/?channel=COM_LET","2025-12-01T17:46:02Z","","size_change","Marketed by Hollis Hockley, Reading","","51.895337","-0.509437","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893719/297365_299516-2_IMG_05_0000_max_476x317.jpeg"
"169893695","Bedfordshire","Warehouse","Unit 36 Woodside Industrial Estate, Verey Road, Dunstable, LU5 4TT","£38,497 pcm","","","","A detached, fully refurbished industrial/warehouse unit at Woodside Industrial Estate, Dunstable with a large secure yard.","https://www.rightmove.co.uk/properties/169893695#/?channel=COM_LET","2025-12-01T17:45:29Z","","new","Marketed by Hollis Hockley, Reading","","51.894126","-0.512922","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893695/297365_299503-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893695/297365_299503-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893695/297365_299503-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893695/297365_299503-2_IMG_03_0000_max_476x317.jpeg"
"169893140","Bedfordshire","Warehouse","Unit 11, Woodside Industrial Estate, Humphrys Road, Dunstable, LU5 4TP","POA","","","","Undergoing a comprehensive refurbishment. The unit will be ready to occupy Q1 2026.","https://www.rightmove.co.uk/properties/169893140#/?channel=COM_LET","2025-12-01T17:37:02Z","","new","Marketed by Hollis Hockley, Reading","","51.895522","-0.50772","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893140/297365_333158-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893140/297365_333158-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893140/297365_333158-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893140/297365_333158-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169893140/297365_333158-2_IMG_04_0000_max_476x317.jpeg"
"169892297","Bedfordshire","Warehouse","Unit 2 Woodside Industrial Estate, Humphrys Road, Dunstable, LU5 4TP","£39,081 pcm","","","","A detached industrial/warehouse uniton Woodside Industrial Estate, Dunstable, which has been comprehensively refurbished","https://www.rightmove.co.uk/properties/169892297#/?channel=COM_LET","2025-12-01T17:23:05Z","","new","Marketed by Hollis Hockley, Reading","","51.89539","-0.509609","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/298k/297365/169892297/297365_299485-2_IMG_08_0000_max_476x317.jpeg"
"163122110","Bedfordshire","Retail Property (high street)","Eaton Green Road, Luton, Bedfordshire, LU2","£1,200 pcm","","","","Bedfordshire Accommodation proudly offers this rarely available commercial unit on Eaton Green Road. Located near Luton Airport, it enjoys high visibility and heavy footfall-ideal for retail, hospitality, or service businesses. A prime opportunity in a thriving, high-traffic area.","https://www.rightmove.co.uk/properties/163122110#/?channel=COM_LET","2025-06-10T18:53:05Z","","new","Marketed by Bedfordshire Accommodation Bureau Ltd, Luton","","51.88426","-0.38199","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42432/163122110/42432_EatonGreen_IMG_00_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42432/163122110/42432_EatonGreen_IMG_01_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42432/163122110/42432_EatonGreen_IMG_04_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42432/163122110/42432_EatonGreen_IMG_03_0000_max_476x317.png; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/43k/42432/163122110/42432_EatonGreen_IMG_02_0000_max_476x317.png"
"169871609","Bedfordshire","Light Industrial","2-3 Pegasus Mews, Stratton Business Park, Biggleswade, Bedfordshire, SG18","POA","","","","Stratton Business Park forms part of a small development of eight modern industrial/warehouse units. Units 2 & 3 are constructed of a steel portal frame with profiled steel cladding under a pitched profile steel roof. The units benefit from three phase power and gas supply, insulated roller shut...","https://www.rightmove.co.uk/properties/169871609#/?channel=COM_LET","2025-12-01T12:41:38Z","","new","Marketed by Kirkby Diamond, Bedford","","52.075377","-0.238081","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_12_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_13_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_14_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_15_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_16_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_17_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_18_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_19_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_20_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_21_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_22_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_23_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_24_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169871609/148979_24136LH_IMG_25_0000_max_476x317.jpeg"
"163999214","Bedfordshire","Office","Room 4, 5 Grove Place, Bedford, Bedfordshire, MK40","£333 pcm","","","","Town Centre office building with rooms available to lease individually or combined on the ground and first floor. Situated in a popular business location. Room 4 is a First Floor office space.","https://www.rightmove.co.uk/properties/163999214#/?channel=COM_LET","2025-07-01T10:03:23Z","","new","Marketed by Kirkby Diamond, Bedford","","52.138115","-0.462475","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/163999214/148979_19812LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/163999214/148979_19812LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/163999214/148979_19812LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/163999214/148979_19812LH_IMG_00_0000_max_476x317.jpeg"
"169777808","Bedfordshire","Office","King Street, Luton, Bedfordshire, LU1","£2,500 pcm","","","2","Modern, versatile town centre offices at 30 King Street. Bright reception, open-plan workspace, private office, kitchen, WC, and basement storage/server room. approx. 1,334 sq ft. Ideal for professional or creative businesses. Available soon.","https://www.rightmove.co.uk/properties/169777808#/?channel=COM_LET","2025-11-27T13:09:54Z","","new","Marketed by Ultimate Connexions, Luton","","51.87827","-0.4178","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_06_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_07_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_08_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_09_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_10_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_11_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/293k/292826/169777808/292826_30KingSt_IMG_12_0000_max_476x317.jpeg"
"169753709","Bedfordshire","Commercial Property","Leagrave Road Luton LU3 1RF","£1,150 pcm","","","1","Promptmove Limited offers this nicely decorated Commercial Semi-Detached property to let located in the popular Leagrave area of Luton offering close access to the town center, M1, university, local shops & schools...","https://www.rightmove.co.uk/properties/169753709#/?channel=COM_LET","2025-11-26T17:53:46Z","","new","Marketed by Promptmove, Luton","","51.89473","-0.43815","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753709/16010_93315_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753709/16010_93315_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753709/16010_93315_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753709/16010_93315_IMG_03_0000_max_476x317.jpeg"
"169753262","Bedfordshire","Commercial Property","Leagrave Road, Luton, Bedfordshire, LU3","£1,150 pcm","","1","","Promptmove is delighted to present this well-maintained commercial office space located in Leagrave, a highly sought-after area in north-west Luton known for its strong residential community, convenient local amenities, and excellent transport connections. The property benefits from close proximity","https://www.rightmove.co.uk/properties/169753262#/?channel=COM_LET","2025-11-26T17:51:28Z","","new","Marketed by Promptmove, Luton","","51.89473","-0.43815","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753262/16010_PM-372ALeagrave_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753262/16010_PM-372ALeagrave_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753262/16010_PM-372ALeagrave_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/17k/16010/169753262/16010_PM-372ALeagrave_IMG_03_0000_max_476x317.jpeg"
"169724447","Bedfordshire","Retail Property (high street)","8 Greyfriars, Bedford, MK40 1HP","£1,250 pcm","","","","A well-presented retail unit in a prime town centre location on Greyfriars, Bedford. The property features a 15-foot window frontage, roller shutter door, and benefits from kitchen and WC facilities.","https://www.rightmove.co.uk/properties/169724447#/?channel=COM_LET","2025-11-26T09:46:55Z","","new","Marketed by Kirkby Diamond, Bedford","","52.136522","-0.472011","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_04_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_05_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/149k/148979/169724447/148979_3839LH_IMG_06_0000_max_476x317.jpeg"
"719247238688560","Bedfordshire","Mixed Use","Ascent Business Park North Unit 19, Fraserfields Way, Leighton Buzzard, LU7 3RJ","POA","","","","Available immediately, a fully racked & fitted logistics space plus offices from 20,000 to 53,690 sq.ft in Leighton Buzzard close to M1.","https://www.rightmove.co.uk/properties/719247238688560#/?channel=COM_LET","2025-11-13T11:52:09Z","","size_change","Marketed by Brasier Freeth, Kings Langley","","51.919195","-0.627564","https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257342/719247238688560/257342_271780-2_IMG_00_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257342/719247238688560/257342_271780-2_IMG_01_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257342/719247238688560/257342_271780-2_IMG_02_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257342/719247238688560/257342_271780-2_IMG_03_0000_max_476x317.jpeg; https://media.rightmove.co.uk:443/dir/crop/10:9-16:9/258k/257342/719247238688560/257342_271780-2_IMG_04_0000_max_476x317.jpeg"
